thottacharya,தொட்டாச்சார்ய
michaelidase,மைக்கலிடேஸ்
natchaththiratthukkum,நட்சத்திரத்துக்கும்
sarbaththin,சர்பத்தின்
kaavalpadaiyinar,காவல்படையினர்
valimaikkaagach,வலிமைக்காகச்
oozhalkuttrachchaattin,ஊழல்குற்றச்சாட்டின்
selbavargalaik,செல்பவர்களைக்
tirumalaith,திருமலைத்
swaathikku,ஸ்வாதிக்கு
raasathaanigalukkum,இராசதானிகளுக்கும்
tharamuyarththappadaathu,தரமுயர்த்தப்படாது
atthottiyin,அத்தொட்டியின்
sonthaaga,சொந்தாக
navaratname,நவரத்தினமே
kaalaiyandru,காலையன்று
paruththum,பருத்தும்
athikaaraththirkethiraana,அதிகாரத்திற்கெதிரான
aniyae,அணியே
vithittavargalukku,வித்திட்டவர்களுக்கு
sorugappattathu,சொருகப்பட்டது
vachurukkalaamla,வச்சுருக்கலாம்ல
pakuppinul,பகுப்பினுள்
savalagavullathu,சவாலாகவுள்ளது
sethukkumpozhuthu,செதுக்கும்பொழுது
athaividavae,அதைவிடவே
moodapazhakkam,மூடபழக்கம்
udhaikkappadugindranar,உதைக்கப்படுகின்றனர்
krishnanudanaana,கிருஷ்ணனுடனான
nalmarunthaaga,நல்மருந்தாக
veesiyirukkaangka,வீசியிருக்காங்க
erinikazhvu,எரிநிகழ்வு
aathimozhiyilirunthu,ஆதிமொழியிலிருந்து
petrtreduththuk,பெற்றெடுத்துக்
vagikkappoavathai,வகிக்கப்போவதை
paechchukkalirkum,பேச்சுக்களிற்கும்
repoarttukku,ரிப்போர்ட்டுக்கு
suuttoada,சூட்டோட
hospies,ஹாஸ்பிஸ்
amaippugalaiyuma,அமைப்புகளையும
uyirizhanththumullanar,உயிரிழந்துமுள்ளனர்
penkalna,பெண்கள்னா
irunththuvidukiraen,இருந்துவிடுகிறேன்
thiruppaththilirunthu,திருப்பத்திலிருந்து
anganai,அங்கனை
klaakka,கிளாக்க
paarppaniyaththaiyum,பார்ப்பனியத்தையும்
inaippathivaalargal,இணைப்பதிவாளர்கள்
ayanapakkam,அயனப்பாக்கம்
vaelukkul,வேலுக்குள்
kudumbamondre,குடும்பமொன்றே
thariththiruppathaagavum,தரித்திருப்பதாகவும்
yugoslaviavum,யூகோஸ்லாவியாவும்
kavanappaduththugindrana,கவனப்படுத்துகின்றன
arasusollum,அரசுசொல்லும்
vellaikkizhamai,வெள்ளைக்கிழமை
isulaamiyarkku,இசுலாமியர்க்கு
aluvalagamae,அலுவலகமே
ikkurunjchirippil,இக்குறுஞ்சிரிப்பில்
kaaladiyaagavum,காலடியாகவும்
candolim,கெண்டோலிம்
aanmeegamaa,ஆன்மீகமா
eiyalpilthaan,இயல்பில்தான்
ettiyen,எட்டியென்
pazhukkalai,பழுக்களை
thiraipataththil,திரைபடத்தில்
mugaththiraigalaana,முகத்திரைகளான
veerathamizhanaai,வீரதமிழனாய்
moovidangkalil,மூவிடங்களில்
koodiyathumaai,கூடியதுமாய்
niruvanamayappattullana,நிறுவனமயப்பட்டுள்ளன
muraiseitha,முறைசெய்த
uriththullathaaka,உரித்துள்ளதாக
thirumbachcheyya,திரும்பச்செய்ய
vaethanaiyaagaththaan,வேதனையாகத்தான்
ithaanunga,இதானுங்க
sinamezhuppina,சினமெழுப்பின
virippeerkal,விரிப்பீர்கள்
udubanthalava,உடுபந்தலவ
paraiyu,பறையு
paraisaattrap,பறைசாற்றப்
aathurasaalaikkaana,ஆதுரசாலைக்கான
vagukkappadugindranavaa,வகுக்கப்படுகின்றனவா
mudiyaathathunnu,முடியாததுன்னு
urchaakamintrich,உற்சாகமின்றிச்
kindaatha,கிண்டாத
azhaiththuvanthaaraam,அழைத்துவந்தாராம்
selvammuthusamy,செல்வம்முத்துசாமி
maattiyiruppaangka,மாட்டியிருப்பாங்க
thottikalengkum,தொட்டிகளெங்கும்
sollumaiah,சொல்லுமய்யா
seithul,செய்துள்
porimuraiyinaip,பொறிமுறையினைப்
paanduranganukkae,பாண்டுரங்கனுக்கே
padalaiyaip,படலையைப்
ilavarasaraagaththaan,இளவரசராகத்தான்
koottappaduvar,கூட்டப்படுவர்
maanilaththeevugal,மாநிலத்தீவுகள்
maraipulliyum,மறைபுள்ளியும்
inamaelaanmaip,இனமேலாண்மைப்
vazhangumsree,வழங்கும்ஸ்ரீ
muthaliyavargalaith,முதலியவர்களைத்
subuhai,சுபுஹை
kuzhappaththilaaththi,குழப்பத்திலாத்தி
maanavarukkaagavoa,மாணவருக்காகவோ
aandavin,ஆண்டவின்
pizhaiyaanathaa,பிழையானதா
sezhiththongiyathaal,செழித்தோங்கியதால்
poathaipporulinaal,போதைப்பொருளினால்
vithayangkalaiyum,விதயங்களையும்
thodarkoarikkaiyin,தொடர்கோரிக்கையின்
kaathaiyir,காதையிற்
irukkureerkalae,இருக்குறீர்களே
oppamidavillai,ஒப்பமிடவில்லை
vaishaaliyidam,வைஷாலியிடம்
pattiyalilandhen,பட்டியலிலந்தென்
thirukkalyaanamandapam,திருக்கல்யாணமண்டபம்
koththalak,கொத்தளக்
pramasmi,பிரமாஸ்மி
keber,கெபெர்
kookkappadalaam,கோக்கப்படலாம்
kanniyamattru,கண்ணியமற்று
nambavaippavargal,நம்பவைப்பவர்கள்
thiraiththuraikkuth,திரைத்துறைக்குத்
muraiyaeyaagum,முறையேயாகும்
neerurimai,நீருரிமை
maadippadigalaeri,மாடிப்படிகளேறி
koduppukkalaich,கொடுப்புக்களைச்
ninaivaagathaan,நினைவாகதான்
proximity,பிராக்ஸிமிட்டி
koopalapuram,கோபலபுரம்
vanthapinnaadithaan,வந்தபின்னாடிதான்
oaiveduppathaagak,ஓய்வெடுப்பதாகக்
muntraanaigalaal,முன்றானைகளால்
visvaroopaththaip,விஸ்வரூபத்தைப்
navlaagaavaiyum,நவ்லாகாவையும்
veeravansavaich,வீரவன்சவைச்
engirathavira,என்கிறதவிர
mezhugai,மெழுகை
annaattaik,அந்நாட்டைக்
voungkaathu,வௌங்காது
vazhangkaththodangkum,வழங்கத்தொடங்கும்
aerpuththiran,ஏற்புத்திறன்
parisaeyaraal,பரிசேயரால்
padaiththalai,படைத்தலை
sollappogiraargalaa,சொல்லப்போகிறார்களா
vaavathai,வாவதை
anusuja,அனுசுஜா
inththusinthanaikku,இந்துசிந்தனைக்கு
ubayoagappaduththinaalae,உபயோகப்படுத்தினாலே
pullikondathu,புல்லிகொண்டது
kaarkkiyaippattri,கார்க்கியைப்பற்றி
padigiravargal,படிகிறவர்கள்
manithavaazhvilae,மனிதவாழ்விலே
anubavaththaip,அநுபவத்தைப்
kooruvatharkaaga,கூறுவதற்காக
paniyagamondru,பணியகமொன்று
neengkiyavargalai,நீங்கியவர்களை
kizhakkam,கிழக்கம்
thalaimuraiyinaridaththil,தலைமுறையினரிடத்தில்
niruthivitta,நிறுதிவிட்ட
thattanum,தட்டணும்
seithullanathu,செய்துள்ளனது
sundareswarapuram,சுந்தரேஸ்வரபுரம்
thaavarappeyarkal,தாவரப்பெயர்கள்
gomathiachiyin,கோமதியாச்சியின்
koottamandraththil,கூட்டமன்றத்தில்
maruppuraikkum,மறுப்புரைக்கும்
ooraattukkuppai,ஓராட்டுக்குப்பை
yaazhpukaiyiratha,யாழ்புகையிரத
jogini,ஜோகிணி
sikkamaattaargalaa,சிக்கமாட்டார்களா
kaikaalgalilulla,கைகால்களிலுள்ள
maiyappadaiyilirunthu,மையப்படையிலிருந்து
kurunthaesiyaththukku,குறுந்தேசியத்துக்கு
niruththakkoori,நிறுத்தக்கூறி
porpathiyaagiya,பொற்பதியாகிய
pankukoduththu,பங்குகொடுத்து
samanpaadugalukkum,சமன்பாடுகளுக்கும்
pirpaguthigalil,பிற்பகுதிகளில்
thirumbiyathaiyum,திரும்பியதையும்
ammagitte,அம்மாகிட்டே
siththamaruththuvam,சித்தமருத்துவம்
sengli,செங்லி
sarippaduththiyathudan,சரிப்படுத்தியதுடன்
paakkayila,பாக்கயில
adaiyaalangkalukkum,அடையாளங்களுக்கும்
kudilin,குடிலின்
aaviyaayum,ஆவியாயும்
nammiruvar,நம்மிருவர்
pannaiyach,பண்ணையச்
arikkamettil,அரிக்கமேட்டில்
vagaiyilaagavae,வகையிலாகவே
akachchoarvadaivathaik,அகச்சோர்வடைவதைக்
bakraine,பக்ரெய்ன்
enappattathenbar,எனப்பட்டதென்பர்
poathuththaervezhuthaatha,போதுத்தேர்வெழுதாத
urimathaararum,உரிமதாரரும்
pikkaludan,பிக்களுடன்
ninaivillap,நினைவில்லப்
mattuppaduththinaal,மட்டுப்படுத்தினால்
paduththuvatheppadi,படுத்துவதெப்படி
eadu,ஏடு
amaithikaaththuvittaar,அமைதிகாத்துவிட்டார்
thirupthiyaakkuvaar,திருப்தியாக்குவார்
naerththiyaanathaakirathu,நேர்த்தியானதாகிறது
sembagap,செம்பகப்
raajasthireeyaagiya,ராஜஸ்திரீயாகிய
pangkuperuvoam,பங்குபெறுவோம்
parikkappattapinnar,பறிக்கப்பட்டபின்னர்
tharakonam,தாராகோணம்
theerkkaavittaal,தீர்க்காவிட்டால்
kaalavathith,காலாவதித்
paaraikalaalum,பாறைகளாலும்
idaiyaeyirunththu,இடையேயிருந்து
seyalukkaettra,செயலுக்கேற்ற
kattumalavukku,கட்டுமளவுக்கு
ezhuthumpoathum,எழுதும்போதும்
koopammaalaagavum,கோபம்மாளாகவும்
viduvathum,விடுவதும்
ittuchchendrathai,இட்டுச்சென்றதை
nirvaagangkalaiye,நிர்வாகங்களையே
tecasian,டெகாசியன்
naluperi,நாலுபேரி
neelkuriyittu,நீள்குறியிட்டு
vazhikaattiyathaagath,வழிகாட்டியதாகத்
angkeekaaramaagumaa,அங்கீகாரமாகுமா
karektaakach,கரெக்டாகச்
achchanthaeka,அச்சந்தேக
anaagarigaththirkum,அநாகரிகத்திற்கும்
noreo,நோரியோ
koovaatha,கூவாத
rohtang,ரோடாங்
valarnththantru,வளர்ந்தன்று
solliyirunthavaaru,சொல்லியிருந்தவாறு
pidiththuvittatharkaaka,பிடித்துவிட்டதற்காக
kettathaavathu,கெட்டதாவது
thamizhilakkiyak,தமிழிலக்கியக்
centarkalukkup,சென்டர்களுக்குப்
pekkaridhaan,பேக்கரிதான்
prakkalaennaa,பிறக்கலேன்னா
sannathigalaaga,சந்நதிகளாக
saathvathanaal,சாத்வதனால்
kaasumeeril,காசுமீரில்
himbun,ஹிம்புன்
aththeerppum,அத்தீர்ப்பும்
aanaiyaagirathu,ஆணையாகிறது
sokkanur,சொக்கனுார்
needhiyarasarasaraana,நீதியரசரசரான
tholaiyunarvuth,தொலையுணர்வுத்
janaathipathithaan,ஜனாதிபதிதான்
sakthimayap,சக்திமயப்
ettupaerumaaka,எட்டுபேருமாக
kejrivaalgal,கெஜ்ரிவால்கள்
iyakkikkathil,இயக்கிக்கதில்
ilavarasargalukkuth,இளவரசர்களுக்குத்
parvatheem,பார்வதீம்
virkapdavaendum,விற்கப்டவேண்டும்
panakketpu,பணக்கேட்பு
kidaikkavaendumaayin,கிடைக்கவேண்டுமாயின்
vaerupadukintrathoa,வேறுபடுகின்றதோ
ajisukku,அஜிசுக்கு
neranthaal,நேரந்தால்
kuttiyarachi,குட்டியாரச்சி
kaivirikkappattathu,கைவிரிக்கப்பட்டது
nadanthudura,நடந்துடுற
kaithuni,கைத்துணி
niruvappadum,நிறுவப்படும்
sittruyirkalukkoa,சிற்றுயிர்களுக்கோ
ullagaththil,உள்ளகத்தில்
thavaravittuviduvoam,தவறவிட்டுவிடுவோம்
pudhupporulum,புதுப்பொருளும்
thadaipporutkalai,தடைப்பொருட்களை
pusikkavaendum,புசிக்கவேண்டும்
bloomukku,ப்ளூமுக்கு
thirumalammaalukku,திருமாலம்மாளுக்கு
palavaariyaaga,பலவாரியாக
ezhuththumoolamaagak,எழுத்துமூலமாகக்
canyon,கேன்யோன்
thannaikkollavarum,தன்னைக்கொல்லவரும்
mayilkulam,மயில்குளம்
koomathivalliyammai,கோமதிவள்ளியம்மை
tetternatorgalum,டெட்டர்நேட்டர்களும்
pallathooraich,பள்ளத்தூரைச்
kalloorigalvarai,கல்லூரிகள்வரை
vasanthiyidam,வசந்தியிடம்
thadavaiyaaga,தடவையாக
uraiyaaduvaal,உரையாடுவாள்
thuvakkuvathupoal,துவக்குவதுபோல்
pinpattriyiruppoam,பின்பற்றியிருப்போம்
vetrtrippadamaagak,வெற்றிப்படமாகக்
kuvippoa,குவிப்போ
bancourd,பான்கோர்ட்
odachuttu,ஒடச்சுட்டு
sharaful,ஷரபுல்
oottunarae,ஓட்டுநரே
mananthirunthaar,மணந்திருந்தார்
nesamumthaan,நேசமும்தான்
perumaiyadaivathaakavum,பெருமையடைவதாகவும்
oottamavaadi,ஓட்டமவாடி
kandhagaththaik,கந்தகத்தைக்
muttuvathaik,முட்டுவதைக்
iyalaamalirunththaal,இயலாமலிருந்தால்
upendravarma,உபேந்திரவர்மா
vaayakkaalgal,வாயக்கால்கள்
vikkappadugirathu,விக்கப்படுகிறது
enbathaiyaavathu,என்பதையாவது
koattaivittathum,கோட்டைவிட்டதும்
mathamarumalarchiyin,மதமறுமலர்ச்சியின்
serkiromo,சேர்கிறோமோ
kirikkettirkul,கிரிக்கெட்டிற்குள்
theermaanippin,தீர்மானிப்பின்
balri,பல்ரி
sebinai,செபினை
kaividaathu,கைவிடாது
amaividamaanathu,அமைவிடமானது
ezhuvaraikulaththinai,எழுவரைகுளத்தினை
vijegunaratne,விஜேகுணரத்னே
viruppaththinaalum,விருப்பத்தினாலும்
arasanudaya,அரசனுடய
makkaththukkum,மக்கத்துக்கும்
iyalaamaiyilulla,இயலாமையிலுள்ள
saarndhavargal,சார்ந்தவர்கள்
thadaiyillamal,தடையில்லமல்
vihaarayil,விஹாரயில்
velinadappugalai,வெளிநடப்புகளை
odasal,ஒடசல்
veenasin,வீனசின்
nutrician,நியூட்ரீசியன்
nigazhnthathendraal,நிகழ்ந்ததென்றால்
tharvesigal,தர்வேசிகள்
adleast,அட்லீஸ்ட்
avasiyaththirkaagavaa,அவசியத்திற்காகவா
rukmaangathanai,ருக்மாங்கதனை
ethirpaarkkaathavanaay,எதிர்பார்க்காதவனாய்
kaliyugaathi,கலியுகாதி
karumalaigal,கருமலைகள்
therkaasiyaavin,தெற்காசியாவின்
nalankaruthi,நலங்கருதி
ezhunoottriyaimpathu,எழுநூற்றியைம்பது
vetrtriyadainththum,வெற்றியடைந்தும்
endruethaiyaavathu,என்றுஎதையாவது
kelvippattul,கேள்விப்பட்டுள்
electoranics,எலக்டரானிக்ஸ்
konarvathai,கொணர்வதை
paeliyakodaiyilirunthu,பேலியகொடையிலிருந்து
poattiyittullaar,போட்டியிட்டுள்ளார்
vinnaaivi,விண்ணாய்வி
vaardugalkooda,வார்டுகள்கூட
nilaithavarivittaen,நிலைதவறிவிட்டேன்
vihaaraiyondril,விஹாரையொன்றில்
heathrovil,ஹீத்ரோவில்
ventraalumae,வென்றாலுமே
karansigalil,கரன்சிகளில்
pariththavarkal,பறித்தவர்கள்
aasaikolgindranar,ஆசைகொள்கின்றனர்
paattanudan,பாட்டனுடன்
noayullaval,நோயுள்ளவள்
thirutthikkondum,திருத்திக்கொண்டும்
thervaanavan,தேர்வானவன்
malarnthuvittathaiyum,மலர்ந்துவிட்டதையும்
pugazhidamae,புகழிடமே
veeraya,வீரய
mathukkadaikkup,மதுக்கடைக்குப்
udalmozhiyum,உடல்மொழியும்
meettiyullana,மீட்டியுள்ளன
vilaiyaattaagath,விளையாட்டாகத்
paatakanaakkikkaattiya,பாடகனாக்கிக்காட்டிய
saakkadaiyaagip,சாக்கடையாகிப்
sarchchaiyaakiyullathae,சர்ச்சையாகியுள்ளதே
kevalappaduththuraangka,கேவலப்படுத்துறாங்க
iyangkamaattaar,இயங்கமாட்டார்
kurippavargal,குறிப்பவர்கள்
thulirkalilirunthu,துளிர்களிலிருந்து
surandivittaargal,சுரண்டிவிட்டார்கள்
magaanaadaagum,மகாநாடாகும்
kuriththuvizhippudan,குறித்துவிழிப்புடன்
karsaraiye,கர்சரையே
viyin,வியின்
nirmithranidam,நிர்மித்ரனிடம்
satnith,சட்னித்
muthalaanavattrukkuk,முதலானவற்றுக்குக்
sevippathum,சேவிப்பதும்
nunanguvana,நுணங்குவன
agaththalaththilaeyae,அகத்தளத்திலேயே
nattamadainthuvittana,நட்டமடைந்துவிட்டன
meeriyavargalaagak,மீறியவர்களாகக்
sannithigaludan,சந்நிதிகளுடன்
shwarska,ஷ்வார்ஸ்கா
kaamakoattaththu,காமகோட்டத்து
medlin,மெட்லின்
samsuddinukku,சம்சுத்தீனுக்கு
nadamaadumidam,நடமாடுமிடம்
eettathkogaiyaik,ஈட்டத்கொகையைக்
sarukkiyirukkiroam,சறுக்கியிருக்கிறோம்
kachchanaththaththilum,கச்சநத்தத்திலும்
iyoavaavilum,ஐயோவாவிலும்
izhivaagaththaan,இழிவாகத்தான்
eettiththarukirathu,ஈட்டித்தருகிறது
kuraigalul,குறைகளுள்
panimudiththa,பணிமுடித்த
jacqey,ஜாக்கி
thanikkavum,தனிக்கவும்
payilnilaiyil,பயில்நிலையில்
mugamathippu,முகமதிப்பு
araththangkal,அரத்தங்கள்
akkodiyavanaik,அக்கொடியவனைக்
kaattuvatharkaagaththaane,காட்டுவதற்காகத்தானே
padikkasendru,படிக்கசென்று
mulaiththirukkindra,முளைத்திருக்கின்ற
therinthathuthaan,தெரிந்ததுதான்
manavalarchchiyaiyum,மனவளர்ச்சியையும்
apperumbaniyai,அப்பெரும்பணியை
pathikkach,பதிக்கச்
sirikkuthaan,சிரிக்குதான்
kazhainthaal,களைந்தாள்
malgiyirukkiraen,மல்கியிருக்கிறேன்
viruththaagniyaagavum,விருத்தாக்னியாகவும்
nitro,நைட்ரோ
ainthuvayathu,ஐந்துவயது
vishnusidhdharin,விஷ்ணுசித்தரின்
seluththivom,செலுத்திவோம்
thiruchchiyaiyaduththa,திருச்சியையடுத்த
arikkaivittathae,அறிக்கைவிட்டதே
thaamathakaakirathaam,தாமதகாகிறதாம்
puravikkaalkalukku,புரவிக்கால்களுக்கு
udaiyavaal,உடையவால்
inimaelathaan,இனிமேலதான்
selvarasa,செல்வரசா
ennakkoodum,எண்ணக்கூடும்
nigazhkaalath,நிகழ்காலத்
entharoa,எந்தரோ
sarukkiyathaip,சறுக்கியதைப்
payappaduvaargalae,பயப்படுவார்களே
irandoruvaraith,இரண்டொருவரைத்
palathalaththil,பலதளத்தில்
kesavanaal,கேசவனால்
manusukkullae,மனுசுக்குள்ளே
naanayakkarath,நாணயக்காரத்
sangamikkattum,சங்கமிக்கட்டும்
padukiraalaam,படுகிறாளாம்
mayakkamootty,மயக்கமூட்டி
manthiraviththaigal,மந்திரவித்தைகள்
vinaayaganidam,விநாயகனிடம்
inakkuzhuvirkaana,இனக்குழுவிற்கான
enninoamae,எண்ணினோமே
andiyavargalin,அண்டியவர்களின்
pollaangkaana,பொல்லாங்கான
kazhaivaiyum,களைவையும்
arutpaerarasaaga,அருட்பேரரசாக
thirumanaththandrum,திருமணத்தன்றும்
moaganaraavum,மோகனராவும்
siruthulaiyittu,சிறுதுளையிட்டு
sathrasiththin,சத்ரசித்தின்
maattrangkalaith,மாற்றங்களைத்
thozhilkoodaththaith,தொழில்கூடத்தைத்
seezhppunnai,சீழ்ப்புண்ணை
kandivali,கண்டிவழி
adhigappaduththugiraaroa,அதிகப்படுத்துகிறாரோ
erisaaraayaththaik,எரிசாராயத்தைக்
vidumuraikkaalaththai,விடுமுறைக்காலத்தை
noapilirukkira,நோபிலிருக்கிற
varunthakkathu,வருந்தக்கது
wikat,விக்கெட்
mirik,மிரிக்
poattin,போட்டின்
kuzhappappattathu,குழப்பப்பட்டது
paarvaivaiyil,பார்வைவையில்
thinippathaik,திணிப்பதைக்
uduththukkittu,உடுத்துக்கிட்டு
marumalarchiyaal,மறுமலர்ச்சியால்
selippaaga,செலிப்பாக
purandoadiya,புரண்டோடிய
jogihat,ஜோகிஹாத்
leekkaaga,லீக்காக
saakkupoakku,சாக்குபோக்கு
koduppatharkaagap,கொடுப்பதற்காகப்
nilaththagadu,நிலத்தகடு
vaazhvirkena,வாழ்விற்கென
oppukollach,ஒப்புகொள்ளச்
thaavuththai,தாவுத்தை
uyirththezhunthathai,உயிர்த்தெழுந்ததை
vamsamnen,வம்சம்னேன்
kaanbiyangalaiyum,காண்பியங்களையும்
devamaniye,தேவமணியே
padaiyeduththuvantha,படையெடுத்துவந்த
mapsa,மாப்ஸா
thirakkumpozhuthe,திறக்கும்பொழுதே
vizhavugalilum,விழவுகளிலும்
manaththidaiyae,மனத்திடையே
akkatturaikku,அக்கட்டுரைக்கு
executivaga,எக்ஸிகியூட்டிவாக
purindhunarvu,புரிந்துணர்வு
immeenkalai,இம்மீன்களை
thuriyoathananidaththil,துரியோதனனிடத்தில்
aniyathaan,அணியதான்
nirmalaavunthaan,நிர்மலாவுந்தான்
mallikaijeevaa,மல்லிகைஜீவா
kazhanjiyaththukku,களஞ்சியத்துக்கு
nooraayiramkoadimurai,நூறாயிரம்கோடிமுறை
singalavarukkumidaiye,சிங்களவருக்குமிடையே
panpaattaaivin,பண்பாட்டாய்வின்
inbaneer,இன்பநீர்
kadhaippaani,கதைப்பாணி
pirivinairaiyum,பிரிவினைரையும்
aliyattrathu,அளியற்றது
anumathiththapoathae,அனுமதித்தபோதே
maamikalaiyum,மாமிகளையும்
taskil,டாஸ்கில்
mudivukattuvatharkum,முடிவுகட்டுவதற்கும்
aatharavalippathaippoala,ஆதரவளிப்பதைப்போல
vilangkamaattaargal,விளங்கமாட்டார்கள்
nambamudiyaathathaai,நம்பமுடியாததாய்
valiyirunththaalum,வலியிருந்தாலும்
kaettukkollum,கேட்டுக்கொள்ளும்
maraththukkidantha,மரத்துக்கிடந்த
velanmar,வேலன்மார்
kaelvigalukkaavathu,கேள்விகளுக்காவது
kaalasoozhnilaiyil,காலசூழ்நிலையில்
aliththiruppavar,அளித்திருப்பவர்
alusteng,அலூஸ்டெங்
thittamidukiraen,திட்டமிடுகிறேன்
kaiyaalaththudiththathu,கையாளத்துடித்தது
vazhipadappaduvathaagath,வழிபடப்படுவதாகத்
kalvireethiyaana,கல்விரீதியான
payanpadumaam,பயன்படுமாம்
pirandaippazham,பிரண்டைப்பழம்
coron,கோரோன்
arikkaikalila,அறிக்கைகளில
arumaiyaayirukkirathu,அருமையாயிருக்கிறது
thunpappaduth,துன்பப்படுத்
thyagajothi,தியாகஜோதி
keezhmainiraindha,கீழ்மைநிறைந்த
manimudigal,மணிமுடிகள்
thuvaaparayugaththil,துவாபரயுகத்தில்
kattappaduvadhundu,கட்டப்படுவதுண்டு
hongaangil,ஹொங்காங்கில்
athirshtamendrae,அதிர்ஷ்டமென்றே
thoazhigalukkaana,தோழிகளுக்கான
arainilavu,அரைநிலவு
vagaiyaaip,வகையாய்ப்
bullier,புலியர்
adarvathuvarai,அடர்வதுவரை
nilaiyangaloa,நிலையங்களோ
anindhuvaruvathoadu,அணிந்துவருவதோடு
sinthippatharkaagavum,சிந்திப்பதற்காகவும்
kedaakka,கேடாக்க
kalariyin,களரியின்
ilakkangkaloa,இலக்கங்களோ
amaipumuraikkuth,அமைப்புமுறைக்குத்
vaeruthagavalgalaiyoa,வேறுதகவல்களையோ
nanbararum,நண்பரரும்
vaeruaethumillai,வேறுஏதுமில்லை
maavoyistukalin,மாவொயிஸ்டுகளின்
malaiyagaththa,மலையகத்த
vaarathukkum,வாறதுக்கும்
thattuppaattal,தட்டுப்பாட்டல்
entraaraam,என்றாறாம்
manthiriththukoduththa,மந்திரித்துகொடுத்த
naavukalaal,நாவுகளால்
pathiththullathai,பதித்துள்ளதை
saalvanaattilirunthu,சால்வநாட்டிலிருந்து
iruthinilaiyai,இறுதிநிலையை
eedupaadukondulla,ஈடுபாடுகொண்டுள்ள
sollivittena,சொல்லிவிட்டேனா
iyatrtrinar,இயற்றினர்
paettikkodukkum,பேட்டிக்கொடுக்கும்
maarivittathaa,மாறிவிட்டதா
aainththida,ஆய்ந்திட
haarmin,ஹார்மின்
poatharalin,போதரலின்
abaranjiyin,அபரஞ்சியின்
koodiyatharkumaana,கூடியதற்குமான
vaakkiyangkalaikkooda,வாக்கியங்களைக்கூட
sivamatham,சிவமதம்
suttraththaarin,சுற்றத்தாரின்
puthithaanaalum,புதிதானாலும்
climaxuden,கிளைமாக்ஸுடன்
santhiththiththullaar,சந்தித்தித்துள்ளார்
vaikkappattathaip,வைக்கப்பட்டதைப்
reesaarjkalin,ரீசார்ஜ்களின்
pireethaththukkum,பிரீதத்துக்கும்
kaathiruppukkaana,காத்திருப்புக்கான
mathriya,மாத்ரியா
aiyaththukkuriyavattrai,ஐயத்துக்குரியவற்றை
periyavanaagum,பெரியவனாகும்
vizhithiruppiyapoathu,விழிதிருப்பியபோது
perunarkilliyai,பெருநற்கிள்ளியை
kedullathumaaga,கேடுள்ளதுமாக
valicham,வலிச்சம்
eriyambukalukkaanavai,எரியம்புகளுக்கானவை
manachchikkalaakak,மனச்சிக்கலாகக்
pannaiththittaththai,பண்ணைத்திட்டத்தை
naattinmaer,நாட்டின்மேற்
poattruvathen,போற்றுவதென்
celesrina,செலஸ்ரினா
thaedippoathal,தேடிப்போதல்
poantraaraal,போன்றாரால்
iraiyunarvoadum,இறையுணர்வோடும்
manaipirivugalai,மனைபிரிவுகளை
engkappaavaiyum,எங்கப்பாவையும்
surandappadaathu,சுரண்டப்படாது
ariyaenendra,அறியேனென்ற
aruppukku,அறுப்புக்கு
thiraiyulakinmunnani,திரையுலகின்முன்னணி
kudimooppu,குடிமூப்பு
ottraichchendai,ஒற்றைச்செண்டை
thinkalkizhamaiyilum,திங்கள்கிழமையிலும்
idimuzhakkaththil,இடிமுழக்கத்தில்
jappanukuth,ஜப்பானுக்குத்
vivarangkaloadum,விவரங்களோடும்
perithaakkinar,பெரிதாக்கினர்
eedupaadui,ஈடுபாடுஇ
muraiyillaithaan,முறையில்லைதான்
meeruvatharkaakavum,மீறுவதற்காகவும்
pilavusukkullaeyae,பிளவுசுக்குள்ளேயே
olipperu,ஒளிப்பெரு
vaalkkiroam,வாழ்க்கிறோம்
moottarathu,மூட்டறது
padikkaiyai,படிக்கையை
kanavaayilirunthu,கணவாயிலிருந்து
thoalviyuttrathudan,தோல்வியுற்றதுடன்
thalaimaippirathinithi,தலைமைப்பிரதிநிதி
iyil,இயில்
poanathenpathum,போனதென்பதும்
vaangkittanunga,வாங்கிட்டனுங்க
thaenikaararum,தேனிகாரரும்
yameenukku,யாமீனுக்கு
komavile,கோமாவிலே
rajapatchaevaiyum,ராஜபட்சேவையும்
alluvathaich,அள்ளுவதைச்
irandupaera,இரண்டுபேர
koottangalinaal,கூட்டங்களினால்
wijewardenavukkum,விஜேவர்தனவுக்கும்
keeraikkaaga,கீரைக்காக
kondupoavadhupoala,கொண்டுபோவதுபோல
thaduththathaiyaduththu,தடுத்ததையடுத்து
murpattaarkalaam,முற்பட்டார்களாம்
midali,மிடாலி
samarinbin,சமரின்பின்
peruvathaalthaan,பெறுவதால்தான்
paarppugalum,பார்ப்புகளும்
urpaththiyaagumpoathu,உற்பத்தியாகும்போது
pidigaara,பிடிகார
poornaavil,பூர்ணாவில்
maayakannanudan,மாயகண்ணனுடன்
kalanthukondaargal,கலந்துகொண்டார்கள்
gramsi,கிராம்சி
vaangamudiyaama,வாங்கமுடியாம
chilonis,கைலோனிஸ்
arulpuribavan,அருள்புரிபவன்
appidiyaakkum,அப்பிடியாக்கும்
ottakamandalam,ஒட்டகமண்டலம்
naayanmaarudaiya,நாயன்மாருடைய
petrtrikek,பெற்றிகெக்
tharusaga,தருசக
paadupadugiraar,பாடுபடுகிறார்
