shindhanchem,शिंधांचें
kidyaanich,किड्यांनीच
du,दु
basavanyaabaddal,बसवण्याबद्दल
yusamargalaapan,युसमर्गलापण
charlisarkha,चार्लीसारखा
mansopayan,मानसोपयान
alindapat,अलिंदपट
sagarkakana,सागरकाकांना
sarvesparaache,सर्वेस्पराचें
bhishmacharyanehi,भीष्माचार्यानेही
gelyaanantar,गेल्यानंतर
yuenacheech,युएनचीच
shiranvar,शिरांवर
colesterolchya,कोलेस्टेरॉलच्या
antaraalayaatreenaa,अंतराळयात्रींना
pravachanakaaraachi,प्रवचनकाराची
hirdaram,हिरदाराम
venicheparjeraajaacho,वेनिचेपर्जेराजाचो
actorche,एक्टरचे
namanusar,नामानुसार
adyayaavatach,अद्ययावतच
kallashi,कळशी
rajyapalachya,राज्यपालाच्या
vinamrapanaane,विनम्रपणाने
musaab,मुसाब
bhijaki,भिजकी
popularityt,पॉप्युलॅरिटीत
bhaajunchem,भाजूंचें
churlela,चुरलेला
loksangrah,लोकसंग्रह
mhatarishi,म्हातारीशी
kalavadhit,कालावधीत
aliji,अलीजी
apsaraank,अप्सरांक
preda,प्रेदा
ramochondra,रामचंद्रा
sarthakanirarthakata,सार्थकनिरर्थकता
hechyam,हेच्यां
halayla,हालयलां
kaaryatatvahi,कार्यतत्त्वही
aapovanche,आपोवनचे
guptyaankade,गुप्त्यांकडे
natyashastracha,नाट्यशास्त्राचा
panpattihi,पानपट्टीही
udargatichoy,उदरगतीचोय
sanvaadaapaasun,संवादापासून
patyavarchya,पात्यावरच्या
spenaacher,स्पेनाचेर
salihi,सालीही
aamriki,आमरिकी
swikaranyachya,स्वीकारण्याच्या
gvotemala,ग्वोतेमाला
calendmadhyehi,कॅलेंडमध्येही
antyayatrechya,अंत्ययात्रेच्या
hyaachaveles,ह्याचवेळेस
punjeevaadaache,पुंजीवादाचे
anandyatrini,आनंदयात्रींनी
khristadaas,ख्रिस्तदास
palanyachya,पळण्याच्या
daakhvaavayaachi,दाखवावयाची
chavinche,चवींचे
shaamatach,शामतच
wallingne,वॉलिंगने
pipanisarkhi,पिपाणीसारखी
decency,डिसेंसी
julvatana,जुळवताना
demonetisationchyaa,डिमॉनेटायझेशनच्या
visvashiponnachea,विस्वाशिपोणाच्या
manoratha,मनोरथा
menanaani,मेननांनी
prabhusaranchya,प्रभुसरांच्या
shaasanasansthecho,शासनसंस्थेचो
havelichi,हवेलीची
jarnalmadhe,जर्नलमधे
valakhataale,वळखताले
hastasamudrikane,हस्तसामुद्रिकाने
vandaavech,वंदावेच
dinakramasarakhya,दिनक्रमासारख्या
pradnyashi,प्रज्ञाशी
raigadala,रायगडाला
kendraancher,केंद्रांचेर
pahechaano,पहेचानो
haleech,हलीच
vaatikeche,वाटिकेचे
tarasaachyo,तरसाच्यो
kshetraachahee,क्षेत्राचही
yanchyakadunatari,यांच्याकडूनतरी
devllabaher,देवळाबाहेर
xetkamakhatir,शेतकामाखातीर
bombalevaadee,बोंबलेवाडी
ilatelolko,इलातेलोल्को
sanjivanicha,संजीवनीचा
potameren,पोटामेरेन
rajkaranababtit,राजकारणाबाबतीत
thambvan,थांबवन
vibhagpramukh,विभागप्रमुख
ultaavan,उलटावन
vimelamaan,विमेलमान
nondavanyas,नोंदवण्यास
rockwar,रॉकवर
nachvanar,नाचवणार
advaninchich,अडवाणींचीच
chulivarla,चुलीवरला
bhaakarach,भाकरच
paryavarnacha,पर्यावरणाचा
vitarakaanchi,वितरकांची
jatkavar,जातकावर
karmakaandaachaach,कर्मकांडाचाच
cabrecha,कॅब्रेचा
deygen,देगेन
nigrahaachi,निग्रहाची
hindolyaavar,हिंदोळ्यावर
vuksha,वुक्षा
kaikashe,कैकशे
rangshiletil,रंगशिलेतील
maagaasalelo,मागासलेलो
polisachaukichi,पोलिसचौकीची
pashanache,पाशाणाचे
naakaaranem,नाकारणें
khunamage,खुनामागे
appresiation,अप्रेसिएशन
varsukii,वर्सूकी
dekharek,देखरेक
indoneshiyamadhye,इंडोनेशियामध्ये
satatyane,सातत्यांने
tondafaatestovar,तोंडफाटेस्तोवर
mohilikadun,मोहिलीकडून
loliyem,लोलयें
atryani,अत्र्यानी
tyagto,त्यागतो
shikkaache,शिक्काचे
talganv,ताळगांव
kalikallit,कळीकळीत
jahalmatvadacho,जहालमतवादाचो
dhanevaad,धनेवाद
dwaarapatteekevareel,द्वारपट्टीकेवरील
udhixht,उद्दिश्ट
maagnyaansah,मागण्यांसह
artwork,आर्टवर्क
hairaam,हैरां
abdalis,अब्दालीस
bakshis,बक्षीस
paavasaapurvichi,पावसापुर्वीची
prasaranachya,प्रसारणाच्या
raabavalyaamule,राबवल्यामुळे
sukhvastunchi,सुखवस्तूंची
kumbale,कुंबळे
saitanasarkha,सैतानासारखा
gorilaak,गोरिलाक
itzikel,इत्झीकेल
vibhaktiche,विभक्तीचे
panzhadi,पानझडी
aatmavichaaraapeksha,आत्मविचारापेक्षा
dainyaamule,दैन्यामुळे
aadharavina,आधाराविना
iblispane,इब्लिसपणे
samudratla,समुद्रातला
kulfike,कुल्फीके
punarujjeevanavaadee,पुनरुज्जीवनवादी
ashtapradhanapaiki,अष्टप्रधानांपैकी
chandraavailem,चंद्रावयलें
kapmadhli,कपमधली
bolanyatala,बोलण्यातला
ugavanyaaadheech,उगवण्याआधीच
impulse,इम्पल्स
mundakyaavar,मुंडक्यावर
nikaalaavishayi,निकालाविषयी
idalichya,इडलीच्या
lashimulle,लशीमुळे
vatantalem,वतांतलें
chitrakarasarkha,चित्रकारासारखा
rukminiche,रुक्मिणीचे
hastaantaraachi,हस्तांतराची
tanavmukti,तणावमुक्ती
daayakveree,डायक्वेरी
swikaaroon,स्विकारून
fasun,फसून
pracheetagadaavishayee,प्रचीतगडाविषयी
kamababatit,कामाबाबतीत
kaajvyaachi,काजव्याची
skandpurvaja,स्कंदपुर्वजा
manuchi,मनुची
chauthyadivashi,चौथ्यादिवशी
companynintuy,कंपनींतूय
soyarikahi,सोयरीकही
mahapranancha,महाप्राणांचा
dusaryaanchem,दुसऱ्यांचें
sainikaanvaril,सैनिकांवरील
helaavanari,हेलावणारी
zannvai,जाणवाय
collegech,कॉलेजच
dhanvlem,धांवलें
primiarkarita,प्रिमिअरकरिता
harayalyat,हरयल्यात
protestantaachee,प्रोटेस्टंटाची
gondhalaatunach,गोंधळातूनच
adivasim,आदिवासीं
muktafale,मुक्तफळे
servaalo,सेर्वालो
ghasran,घसरान
hadraila,हादरायला
thambvatil,थांबवतील
ichcheviruddh,इच्छेविरुद्ध
gajgauri,गजगौरी
baiyaa,बैया
julichya,जुलीच्या
margaparyant,मार्गापर्यंत
mukhyantryaankade,मुख्यंत्र्यांकडे
bevadimule,बेवडीमुळे
bolaichahi,बोलायचाही
bhinataat,भिनतात
rahvalech,राहवलेच
khajinane,खजिनने
jaavuyaat,जावूयात
chitrakalechyo,चित्रकलेच्यो
nakatli,नाकातली
pachnadarmyan,पचनादरम्यान
ferafatakyaant,फेरफटक्यांत
enk,एंक
sukhasanvaadaamule,सुखसंवादामुळे
ayurved,आयुर्वेद
avataranarya,अवतरणाऱ्या
gantvyanvar,गंतव्यांवर
aadilshahaakade,आदिलशहाकडे
vengurlyaaparyant,वेंगुर्ल्यापर्यंत
unhaalyaamule,उन्हाळ्यामुळे
rakshasabarobar,राक्षसाबरोबर
dhingrani,धिंग्रांनी
vikisachya,विकिसाच्या
mastanichi,मस्तानीची
netraat,नेत्रात
gulvyaache,गुळव्याचे
gauravikaranaacham,गौरवीकरणाचं
tachevailea,ताचेवयल्या
angvastranchi,अंगवस्त्रांची
danuche,दानूचे
prasiddhahi,प्रसिद्धही
jenkins,जेंकिन्स
saakeri,साकेरी
himpravaahaabarobar,हिमप्रवाहाबरोबर
sanghatanaank,संघटनांक
bababuvancha,बाबाबुवांचा
ravalsarkhya,रावळसारख्या
lekhanikaani,लेखनिकांनी
rajkaranakadehi,राजकारणाकडेही
vichitraviryala,विचित्रवीर्याला
mandaleensamor,मंडळींसमोर
avtaravar,अवतारावर
gheel,घील
balius,बॅलियस
aaisabaathamadhye,आईसबाथमध्ये
dhaagyaachi,धाग्याची
karyakalapanchya,कार्यकलापांच्या
bongey,बोंगे
khargenchya,खर्गेंच्या
tapichya,तापिच्या
chandravaril,चंद्रावरील
ukadichya,उकडीच्या
maadhyamaavarvim,माध्यमावरवीं
vaaparanyaasaathichan,वापरण्यासाठीचं
gavheraane,गव्हेराने
rekmand,रेकमंड
chaturthasthanala,चतुर्थस्थानाला
mahayuticha,महायुतीचा
swaasaantalyaan,स्वासांतल्यान
kavyasampada,काव्यसंपदा
shankardevani,शंकरदेवांनी
tukadebandicha,तुकडेबंदीचा
pattyaabarobarach,पत्त्याबरोबरच
lutaruch,लुटारूच
vaalayaankadun,वालयांकडून
drudhatven,दृढत्वेन
saageetale,सागीतले
vinamrateche,विनम्रतेचे
ldf,एलडीएफ
pankhyachach,पंख्याचाच
navaraatreacho,नवरात्रेचो
rupache,रुपांचे
makarandane,मकरंदने
nivadtaat,निवडटात
aapaletar,आपलेतर
ugvinne,उगविणे
flatsarkhe,फ्लॅटसारखे
vanijyanitichim,वाणिज्यनितीचीं
shaktirupat,शक्तीरूपात
buddhibalaanchi,बुद्धिबळांची
bakareed,बकरीद
vastumanache,वस्तुमानाचे
shikshebaabat,शिक्षेबाबत
swadasturachaa,स्वदस्तुरचा
shimpal,शिंपळ
naamneychim,नामनेचीं
kharedidarababat,खरेदीदाराबाबत
aurangabadamarge,औरंगाबादमार्गे
chotaassaa,छोटास्सा
nyayalayani,न्यायालयांनी
forbsachyaa,फोर्ब्सच्या
tarjaanipaasun,तर्जानिपासून
vikhaak,विखाक
kundyaachi,कुंड्याची
lashkaraantun,लष्करांतून
nirodhanaache,निरोधनाचे
jagtaacho,जगताचो
pathakant,पथकांत
shastrachyach,शस्त्राच्याच
grahakamandalee,ग्राहकमंडळी
tujaa,तुजा
sarbattichi,सरबत्तीची
forummadhalya,फोरममधल्या
kapalmadhli,कपलमधली
dauryaache,दौऱ्याचे
naasio,नासिओ
okland,ऑकलंड
namogat,नमोगत
chaptit,चपटीत
totyaanbaddal,तोट्यांबद्दल
pranaalint,प्रणालींत
lonachyaacho,लोणच्याचो
topings,टोपिंग्स
dolarsamadhe,डॉलर्समधे
jidnyaasunaa,जिज्ञासूना
sanketasthalaanpaikee,संकेतस्थळांपैकी
sangeetkaaraanaa,संगीतकाराना
ruchona,रुचना
ethiopian,इथियोपियन
visaraayacho,विसरायचो
denvtya,देंवत्या
atharavya,अठाराव्या
ghanerade,घाणेरडे
vargatala,वर्गातला
gaayenaani,गायेनानी
angabalachya,अंगबळाच्या
lagnaavaroon,लग्नावरून
editarsanee,एडिटर्सनी
rukhachi,रुखांची
sherchea,शेरच्या
brahmandasarkhe,ब्रम्हांडासारखे
humanities,ह्यूमॅनिटीज
arthingsah,अर्थिंगसह
lihelelyaa,लिहेलेल्या
chitramadhun,चित्रामधून
vyaktala,व्यक्ताला
vinashache,विनाशाचे
pakshanetyanchya,पक्षनेत्यांच्या
shwaasaamaarfat,श्वासामार्फत
chotyaashyaa,छोट्याश्या
tikebarobar,टीकेबरोबर
ekmukhi,एकमुखी
yaayaache,यायाचे
lenishi,लेणीशी
istrichyaa,इस्त्रिच्या
gunjavanyat,गुंजवण्यात
shikvatahi,शिकवतही
betaanaa,बेटाना
vadyapasun,वाड्यापासून
aarambhilyaa,आरंभिल्या
ulgadlai,उलगडलाय
nyamka,न्यामका
veshyaachitran,वेश्याचित्रण
ekatmik,एकात्मिक
yogeelaa,योगीला
kriketavedaane,क्रिकेटवेडाने
lakadipulavarun,लकडीपुलावरून
ghusto,घुसतो
ranganchyamadhye,रंगांच्यामध्ये
livhaale,लिव्हाले
chanduche,चंदूचे
inflation,इन्फ्लेशन
nivalestovar,निवळेस्तोवर
shikshanavyavasthemadhye,शिक्षणव्यवस्थेमध्ये
tutne,तुटणे
kirananchem,किरणांचें
kensasarke,केंसासारके
aayalolo,आयलोलो
asatyana,असत्याना
kesharishi,केशरीशी
vratanchya,व्रतांच्या
khelapan,खेळपण
bhaaratiyaansandarbhat,भारतीयांसंदर्भात
amrutvahini,अमृतवाहिनी
dhvanis,ध्वनिस
avataaraavarun,अवतारावरुन
railwaysondorbhat,रेल्वेसंदर्भात
chadantchad,चडांतचड
orowilechyaan,ऑरोविलेच्यान
jaaiparyantach,जाईपर्यंतच
naamibiyaavirudh,नामिबियाविरुद्ध
vasven,वसवेन
vistavaachi,विस्तवाची
vahanachalakane,वाहनचालकाने
melyaach,मेल्याच
deveesamaan,देवीसमान
huskavun,हुसकावून
iglu,इग्लू
casinochi,कॅसिनोची
vhavem,व्हावें
yurepantatya,युरेपांतत्या
nfection,न्फॅक्शन
pathevarchya,पाठेवरच्या
barobbarach,बरोब्बरच
naatyaanmule,नात्यांमुळे
lalsecha,लालसेचा
jantyachya,जाण्ट्याच्या
jagoy,जागोय
vanunu,वानुनू
namrapanaachaa,नम्रपणाचा
paavhanech,पाव्हणेच
vidvaananchem,विव्दानांचें
ghadavalyaas,घडवल्यास
mendeet,मेंदीत
vivaahach,विवाहच
pratikriyana,प्रतिक्रियांना
thodijari,थोडीजरी
doctorlokaani,डॉक्टरलोकांनी
kharedikshamta,खरेदीक्षमता
parisima,परिसीमा
kinaaryaajaval,किनार्याजवळ
annkarlam,अणकारलां
dongratlean,दोंगरातल्यान
sanrakshanaakartaa,संरक्षणाकरता
nhidtaat,न्हिदतात
dharmasattela,धर्मसत्तेला
nachanipith,नाचणीपीठ
shayanasthitint,शयनस्थितींत
naatyashunyatechi,नाट्यशून्यतेची
takraareemule,तक्रारीमुळे
ransangar,रणसंगर
gharchyasathi,घरच्यासाठी
shenkdyacho,शेंकड्याचो
rashiyentale,रशियेंतले
nhayaacher,न्हंयाचेर
bibatyaahi,बिबट्याही
sajanaache,सजनाचे
techbhashen,तेचभाशेन
laako,लाको
cartoonistalaach,कार्टूनिस्टलाच
kathaasangrahaatun,कथासंग्रहातून
busaabaa,बुसाबा
aayadiyaanchyaa,आयडीयांच्या
soharaabuddin,सोहराबुद्दीन
aplyachya,आपल्याच्या
fyoo,फ्यू
nadarakakshecher,नदरकक्षेचेर
dhirayosathi,धिरयोसाठी
khandavarti,खंडावरती
majacham,मजाचां
tamilnadupasun,तमिळनाडूपासून
shodhelach,शोधेलच
shokaachi,शोकाची
aathvaach,आठवाच
kavyagrantha,काव्यग्रंथ
kanhala,कान्हाला
santyaasodun,संत्यासोडून
ardhavat,अर्धवत
laaluch,लालूच
popo,पोपो
nimistishk,निमिस्तिष्क
tannaachey,तणाचे
falayer,फळयेर
pernna,पेरणा
shabdakodyaasaarakhe,शब्दकोड्यासारखे
lokapratinidhinaahie,लोकप्रतिनिधीनाही
vevasthaapakeey,वेवस्थापकीय
vyaavasaayikaansamori,व्यावसायिकांसमोरी
cameliday,कॅमेलिडे
kartupaacher,कर्तुपाचेर
bhaashaanchyaa,भाशांच्या
kavyaprakaranchya,काव्यप्रकारांच्या
vichaaraamadhyech,विचारामध्येच
dharmatli,धर्मातली
dantkarmi,दंतकर्मी
kavyakshetratach,काव्यक्षेत्रातच
thokarom,ठोकरों
mhanavanaryanchi,म्हणवणाऱ्यांची
putalyaanpekshaa,पुतळ्यांपेक्षा
aparadhyachi,अपराध्याची
naradhami,नराधमी
paraspaarik,परस्पारिक
kiristanva,किरिस्तांवां
chearmanpad,चेअरमनपद
vaalivar,वालीवर
banavalay,बनवलय
ravivaariche,रविवारीचे
prasutaa,प्रसुता
thandoba,थंडोबा
ibolachya,इबोलाच्या
biyaanbarobar,बियांबरोबर
shaaleparyant,शाळेपर्यंत
badalaachi,बदलाची
sainyaantargat,सैन्यांतर्गत
shleshahee,श्लेषही
josinaalaa,जोसिनाला
netvarkvarchya,नेटवर्कवरच्या
ghabrayla,घाबरायला
bhayaane,भयाने
bandakhanantalyan,बंदखणांतल्यान
badalalaat,बदललात
vyasanaakhaatir,व्यसनाखातीर
grahamaitree,ग्रहमैत्री
aadavtaanaa,आडवताना
alektroniks,एलेक्ट्रॉनिक्स
kuthalyasha,कुठल्याशा
purvajaapaasun,पूर्वजापासून
faalechee,फालेची
hovachaa,होवचा
gaavakaryaansaathi,गावकऱ्यांसाठी
pattaabhi,पट्टाभी
tiguk,तिगूक
drushyavarnan,दृश्यवर्णन
satraanantar,सत्रांनंतर
khandkavyant,खंडकाव्यांत
parom,परोम
aapjeen,आपजीण
daavaache,डावाचे
belchahi,बेलचाही
jahangirak,जहांगीराक
nailonche,नायलॉनचे
fanasaabarobarach,फणसाबरोबरच
tatvagyaachaa,तत्त्वज्ञाचा
jalmabhumi,जल्मभूमी
janvay,जाण्वाय
bhudhichya,बुद्धीच्या
skechabukavar,स्केचबुकवर
vadilaansaarakhanch,वडिलांसारखंच
bedhadakapanaane,बेधडकपणाने
shankit,शंकीत
mutual,म्युचुअल
rivakyu,रिवक्यू
reejarveshan,रीजर्वेशन
chettinaad,चेट्टीनाद
darapokapaanaavar,डरपोकपानावर
parvangyanchi,परवानग्यांची
kaaryakaalaachi,कार्यकाळाची
mulilaa,मुलिला
parighaanch,परिघांच
tyaambaddal,त्यांबद्दल
janmatithi,जन्मतिथी
anuraadh,अनुराध
badmingtonlaa,बॅडमिंग्टनला
chhaburaavakade,छबुरावकडे
kolambichi,कोलंबीची
eks,एक्स
kusheetach,कुशीतच
mahamudasobat,महमूदसोबत
ponchmanx,पंचमांश
fidback,फिडबॅक
sandhyaane,संध्याने
gorakhanathak,गोरखनाथाक
vhanisachya,व्हॅनिसाच्या
asafzahi,असफजाही
adhyakshamandal,अध्यक्षमंडळ
adakalepanaa,अडकलेपणा
sadasyankarta,सदस्यांकरता
saayakaleenkade,सायकलींकडे
operatoraak,ऑपरेटराक
gharavaril,घरावरील
ninju,निंजू
vaprillya,वापरिल्ल्या
estatisathi,इस्टेटीसाठी
manavandanecha,मानवंदनेचा
paausaraatree,पाऊसरात्री
anukendrakaavar,अणुकेंद्रकावर
nissandigdhapane,निस्संदिग्धपणे
badalayalahi,बदलायलाही
pranyant,प्राण्यांत
chitpavanapramane,चित्पावनांप्रमाणे
bildingasaarakhan,बिल्डिंगसारखं
annadhaanyaaivajee,अन्नधान्याऐवजी
gairasamajaatach,गैरसमजातच
nijaswartha,निजस्वार्था
sanskrutas,संस्कृतास
cheheryaanishich,चेहेर्यानिशीच
peashvyaak,पेश्व्याक
sukoreenaak,सुकोरीनाक
deshaavar,देशावर
kayademandalache,कायदेमंडळाचे
ghurr,घुर्र
tikonala,तिकोनाला
pavatinusar,पावतीनुसार
dhope,धोपे
infrastucture,इन्फ्रास्टक्चर
depressant,डिप्रॅशन
huchchabhruni,हुच्चभ्रुंनी
cybersel,सायबरसेल
barayallenshen,बरयल्लेंशें
ghoktach,घोकतच
ashvashaktiche,अश्वशक्तीचे
alaneech,अळणीच
aarshyaavar,आरश्यावर
koityala,कोयत्याला
roxnai,रोशनाय
shiraychi,शिरायची
alageekaranaachi,अलगीकरणाची
hedgevaarchyaa,हेडगेवारच्या
sinflex,सिंफ्लेक्स
vyakteey,व्यक्तीय
baaisaahebaanshi,बाईसाहेबांशी
kaidyapraman,कायद्याप्रमाण
europantlean,युरोपांतल्यान
tankanyaaadhee,टंकण्याआधी
pitambaru,पीतांबरू
karataye,करतये
gumfaamandir,गुंफामंदिर
mysurla,म्हैसुरला
bhikunaancho,भिकुणांचो
dhaamvataleem,धांवतलीं
mothepanihi,मोठेपणीही
asthitvaalaa,अस्थित्वाला
aambovan,आंबोवन
kulupaat,कुलूपात
lihtaat,लिहतात
aambhlo,आंबलो
panchyaache,पंच्याचे
suvatechi,सुवातेची
valesaraafude,वळेसराफुडे
bandukbaajaani,बंदूकबाजांनी
karkunavarun,कारकूनावरून
vevsaiyk,वेवसायाक
mtdct,एमटीडीसीत
ghadavanyapasun,घडवण्यापासून
bhitur,भितूर
livhalaach,लिव्हलाच
chitrapatasarakhya,चित्रपटासारख्या
saantantrya,सांतंत्र्य
zopataat,झोपतात
savvaab,सव्वाब
mashindware,मशीनद्वारे
trolabhairavaanee,ट्रोलभैरवांनी
gatapramukhaachi,गटप्रमुखाची
kapardikahi,कपर्दिकही
andyaanvaratich,अंड्यांवरतीच
glades,ग्लेडस
gpschyaa,जीपीएसच्या
canadaatale,कॅनडातले
laavapaakooch,लावपाकूच
aavaashyak,आवाश्यक
firangi,फिरंगी
dilleechyaan,दिल्लीच्यान
gavakadchi,गावाकडची
dhukyaa,धुक्या
bolaavine,बोलाविणे
minalkade,मिनलकडे
sarvaankadunach,सर्वांकडूनच
postamen,पोस्टमेन
guntavanukidvaare,गुंतवणुकीद्वारे
kaavyaspardhetil,काव्यस्पर्धेतील
asahishnutechi,असहिष्णूतेची
moders,मदर्स
mehemet,मेहेमेत
javalachaach,जवळचाच
sankalkavar,संकलकावर
tanajinchya,तानाजींच्या
tyabhovaticha,त्याभोवतीचा
bilalaa,बिलला
kotchya,कोटच्या
tapaasanyaahi,तपासण्याही
mayasarkhach,मायासारखाच
contactne,कॉन्टॅक्टने
tameej,तमीज
spardheshi,स्पर्धेशी
trafiking,ट्रॅफिकिंग
yavishayee,यविषयी
primeeyaralaach,प्रिमीयरलाच
udavanyaapurvich,उडवण्यापूर्वीच
varyasarkha,वाऱ्यासारखा
chatrena,छत्रेंना
maarine,मारीने
shriramchandrani,श्रीरामचंद्रांनी
exertanalaa,एक्सर्टनला
svarupachi,स्वरुपाची
yuddhviram,युद्धविराम
mandalaatmaa,मंडळात्मा
sankataasaathee,संकटासाठी
haripurlak,हरिपूरलाक
galyavarchi,गळ्यावरची
bharatavari,भारतावरी
abhinetrimadhye,अभिनेत्रींमध्ये
aswasthet,अस्वस्थेत
paisenjar,पैसेंजर
gunganasathi,गुणगाणासाठी
badhirataach,बधिरताच
sigiriyachya,सिगिरियाच्या
ghadhnookaancher,घडणुकांचेर
judevaanchee,जुदेवांची
paishaanchyaasaathi,पैशांच्यासाठी
shrishwara,श्रीश्वरा
reportala,रिपोर्टला
haddibaaherache,हद्दीबाहेरचे
samratchya,सम्राटच्या
divasaantar,दिवसांतर
marihaa,मरिहा
yoarkashaayaralaahee,याॅर्कशायरलाही
steshanachem,स्टेशनाचें
dadasarkhich,दादासारखीच
shikonvak,शिकोंवक
mansika,मानसिका
tyachyavachun,त्याच्यावाचून
nemlai,नेमलाय
imaarateenshee,इमारतींशी
ubhaach,उभाच
uralelyat,उरलेल्यात
ajastrabaahu,अजस्त्रबाहू
mangalacharanaane,मंगलचरणाने
aarkitekchar,आर्किटेक्चर
ujavevatenachyan,उजवेवटेनच्यान
sulakshanee,सुलक्षणी
shodhanyababat,शोधण्याबाबत
gifts,गिफ्ट्स
paraasabharach,परासभरच
ubgat,उबगत
ghargadyasarkhech,घरगड्यासारखेच
durbuddhinchi,दुर्बुद्धींची
podyant,पद्यांत
mathapramukhaanee,मठप्रमुखांनी
binasanyaachee,बिनसण्याची
strishikshanaachyaa,स्त्रीशिक्षणाच्या
madhyamatli,माध्यमातली
saimpaakaavar,सैंपाकावर
zamayla,जमायला
aadoshi,आदोशी
yanchekadun,यांचेकडून
bhashantaratla,भाषांतरातला
ammalbajavnent,अंमलबजावणेंत
tisaryaas,तिसऱ्यास
mumbryala,मुंब्र्याला
costaa,कॉश्ता
falivaril,फळीवरील
saakinaakyaavar,साकीनाक्यावर
prakashakirananche,प्रकाशकिरणांचे
badalaantun,बदलांतुन
ahilyaach,अहिल्याच
grahasthashram,ग्रहस्थाश्रम
baadshaan,बादशान
indoneshiyaatil,इंडोनेशियातील
aarakhadyaat,आराखड्यात
spardhakaansaathee,स्पर्धकांसाठी
upaharagruhatahi,उपहारगृहातही
annapurnaabaai,अन्नपूर्णाबाई
makharachya,मखराच्या
fimaa,फिमा
upbhogto,उपभोगतो
madyapanapeksha,मद्यपानापेक्षा
histograam,हिस्टोग्राम
kasarateepurataach,कसरतीपुरताच
paungandaavasthet,पौंगंडावस्थेत
brahmanmuni,ब्राह्मणमुनी
sangrahaant,संग्रहांत
mcartherla,मॅकआर्थरला
faarmahaausavarach,फार्महाऊसवरच
khushgavaar,खुशगवार
jaipurwala,जयपूरवाला
jagaytat,जागयतात
kamaldallala,कमळदळाला
hazaaraavaroon,हझारावरून
ananditache,आनंदिताचे
vatvaglank,वटवागळांक
sthapja,स्थापजा
aasanaam,आसनां
ofasetachyaa,ऑफसेटच्या
baanel,बाणेल
thipakyaanpramaane,ठिपक्यांप्रमाणे
kashaachyaahi,कशाच्याही
dhvaniyojanaa,ध्वनियोजना
doctormitraachi,डॉक्टरमित्राची
peeyaa,पीया
natyagruhancha,नाट्यगृहांचा
gajaanukarn,गजानुकर्ण
ramchandradevan,रामचंद्रदेवान
kumbharavishim,कुंभाराविशीं
ganapyaakade,गणप्याकडे
kamkoti,कामकोटी
porkida,पोरकिडा
sanaasudinantar,सणासुदीनंतर
dakhvavech,दाखवावेच
sinetars,सिनेटर्स
aarvilo,आर्विलो
papbhar,पापभार
preran,प्रेरण
ramchandradev,रामचंद्रदेव
icharla,इचारला
vithobaache,विठोबाचे
misescha,मिसेसचा
bhuragemanaache,भुरगेमनाचे
itihasshastra,इतिहासशास्त्र
shaukinaansaathi,शौकिनांसाठी
baapukade,बापूकडे
nemaavalintalyaan,नेमावळींतल्यान
eknantar,एकनंतर
sataao,सताओ
befikri,बेफिक्री
vhupar,व्हूपर
ruhjovapie,रूजोवपी
bighadghavun,बिघडघवून
kamoshan,कमोशन
maatechim,मातेचीं
krantikarkat,क्रांतिकारकात
aleek,अलीक
mudritshodhanala,मुद्रितशोधनाला
cotradictory,कॉट्राडिक्टरी
munjabala,मुंजाबाला
buddhibhramachya,बुद्धिभ्रमाच्या
sabhaasadatva,सभासदत्त्व
modeenvirodhak,मोदींविरोधक
chalansatha,चलनसाठा
paakaleesaarakhaa,पाकळीसारखा
pratrikepramaane,प्रत्रिकेप्रमाणे
kutuhalatene,कुतूहलतेने
postabaddal,पोस्टाबद्दल
udayapramaane,उदयप्रमाणे
kunkalli,कुंकळ्ळी
bhendke,भेंडके
upcharapeksha,उपचारांपेक्षा
sodavataach,सोडवताच
fatraak,फातराक
dvandvahi,द्वंद्वही
ambesamor,अंबेसमोर
kathiyavangda,काठियावांगडा
ghatanaaduroosteeshivaay,घटनादुरूस्तीशिवाय
uphargruhachi,उपहारगृहाची
sampatiye,संपतीये
onkaaranaathajeenee,ओंकारनाथजींनी
dashillo,दशिल्लो
jodnnihi,जोडणीही
pattikade,पट्टीकडे
ghatakasathi,घटकासाठी
kodulla,कोडुल्ला
kahichyakahi,काहिच्याकाही
reraa,रेरा
nemavarla,नेमावरला
kalaavantaankadun,कलावंतांकडून
aarkitektsakade,आर्किटेक्ट्सकडे
durbinichoch,दुर्बिणीचोच
haalaita,हालयता
beeareechyaa,बीअरीच्या
dhenukaakataa,धेनुकाकटा
taplyane,तापल्याने
chitranalikentali,चित्रनलिकेंतली
vyakya,व्याक्या
ujvaadaavpi,उजवाडावपी
tyagampurn,त्यागंपूर्ण
pudachya,पुडाच्या
nirupaayaane,निरूपायाने
karho,करहो
baaneshwaraakade,बाणेश्वराकडे
bolerobaddalahee,बोलेरोबद्दलही
munshyank,मुनश्यांक
renault,रेनॉल्ट
pareshcha,परेशचा
hastaandolanaamule,हस्तांदोलनामुळे
mrutyunantarcha,मृत्यूनंतरचा
madhyabhagat,मध्यभागात
talamalanarya,तळमळणाऱ्या
kurughir,कुरुघीर
vichaaratarangadekhil,विचारतरंगदेखील
puribhajila,पुरीभाजीला
badlap,बदलप
tadoparant,तदोपरांत
frankla,फ्रँकला
bimbavinyaachaa,बिंबविण्याचा
tantrashastrat,तंत्रशास्त्रात
profsar,प्रोफसर
