namdharirao,নামধারীরাও
reginade,রেজিনাড
hritobitto,হৃতবিত্ত
sahakaripradhan,সহকারীপ্রধান
iftareo,ইফতারেও
moyolapurno,ময়লাপূর্ণ
prarambhiker,প্রারম্ভিকের
admirao,আদমিরাও
terrihat,টেরিহাট
shahjahanke,শাহজাহানকে
doze,ডোজ
shakhamuti,শাখামুটি
alisarkul,আলীসারকুল
swalanke,স্বলনকে
shoshonero,শোষণেরও
basomalikpokkho,বাসমালিকপক্ষ
amader,আমদের
haujer,হাউজের
purshaharke,পুরশহরকে
mritoderguli,মৃতদেরগুলি
gorta,গর্তা
adhghantao,আধঘণ্টাও
budhir,বুধির
skulpath,স্কুলপথ
segura,সেগুরা
italil,ইতালীল
kalamegha,কালমেঘ
chunnuke,চুন্নুকে
deshbrotider,দেশব্রতীদের
ainguli,আইনগুলি
onogrogotir,অনগ্রগতির
harare,হারারি
khaila,খাইলা
dharabhasshokorera,ধারাভাষ্যকরেরা
kanyasantaneri,কন্যাসন্তানেরই
porpompora,পরপম্পরা
sulemoner,সুলেমনের
mohaporidoftor,মহাপরিদফতর
poksopaater,পক্ষপাতের
biduroner,বিদূরণের
uthachchi,উঠাচ্ছি
shrofora,শ্রফরা
kritoghnotai,কৃতঘ্নতায়
mangedar,মানগেদার
bhatara,ভাতারা
agaichen,আগাইছেন
goldblat,গোল্ডব্লাট
kobir,কবীর
islaponthider,ইসলাপন্থীদের
nirner,নির্ণের
praisab,প্রাইসব
avengersay,এভেঞ্জার্সে
stepany,স্টেপানি
drakkharser,দ্রাক্ষারসের
bibahitader,বিবাহিতাদের
minkal,মিনকাল
shulapani,শূলপাণি
bitanani,বিতানানি
muktijuddhey,মুক্তিযুদ্ধে
jounouddipok,যৌনউদ্দীপক
sushmitke,সুস্মিতকে
bohutoliyo,বহুতলীয়
byadhihin,ব্যাধিহীন
jelanetritwer,জেলানেতৃত্বের
khenksheyalke,খেঁকশেয়ালকে
malikanadheen,মালিকানাধীন
ajagyata,অযোগ্যতা
ontorvedi,অর্ন্তভেদী
mogalderke,মোগলদেরকে
stetasa,স্টেটস
potheghatei,পথেঘাটেই
tantrapradhan,তন্ত্রপ্রধান
swarthandhata,স্বার্থান্ধতা
gilafi,গিলাফি
kharizider,খারিজিদের
attache,অ্যাটাচ
paposporsho,পাপস্পর্শ
poromakeo,পরমাকেও
ulqisingh,উলকিসিংহ
marketader,মার্কেটাদের
agragonno,অগ্রগণ্য
kulaghater,কুলাঘাটের
prothateo,প্রথাতেও
terroristora,টেরোরিস্টরা
machatri,মাছত্রী
versini,ভার্সিনি
lekhagulotei,লেখাগুলোতেই
firstlookei,ফার্স্টলুকেই
injectionei,ইনজেকশনেই
felaitam,ফেলাইতাম
etzion,এতজায়ন
mormobostute,মর্মবস্তুতে
srinivaspuri,শ্রীনিবাসপুরী
charthen,চার্থেন
dampatyojivane,দাম্পত্যজীবনে
arunyer,অরুণ্যের
aalochinchu,আলোচিঞ্চু
ambedka,আম্বেডকা
shaktibahinir,শক্তিবাহিনীর
latarza,লাতারজা
mahakashcharidero,মহাকাশচারীদেরও
scultz,স্কালটজ
ruprampur,রুপরামপুর
sangaskritipran,সংস্কৃতিপ্রাণ
zuktibadii,যুক্তিবাদী
sangbede,সংবেদে
fatehveer,ফতেবীর
talukgram,তালুকগ্রাম
bhongokarira,ভঙ্গকারীরা
durbyaboharti,দুর্ব্যবহারটি
henkale,হেনকালে
kalon,কালোন
kukurder,কুকুরদের
tarokabishishto,তারকাবিশিষ্ট
borishonmukhorito,বরিষনমুখরিত
serageldin,সেরাগেল্ডিন
taikonde,তাইকোন্ডে
democrats,ডেমোক্র্যাটসহ
uposthanai,উপস্থানায়
sagarji,সাগরজি
alpoggo,অল্পজ্ঞ
ahafo,আহাফো
ghonisthobhabeo,ঘনিষ্ঠভাবেও
bajiapta,বাজিয়াপ্ত
livim,লিভিম
harnoli,হার্নোলি
harishchandre,হরিশ্চন্দ্রে
ensab,এনসাব
somudropathe,সমুদ্রপথে
muktamahadal,মুক্তমহাদল
dhobole,ধবলে
shantonabanir,শান্তনাবাণীর
dorsonechchu,দর্শনেচ্ছু
byuhamadhye,ব্যূহমধ্যে
chandauli,চান্দৌলি
chengannur,চেঙ্গান্নুর
bhadramat,ভদ্রমত
khoabyi,খোয়াবই
osthirotabihin,অস্থিরতাবিহীন
bhangonkobolito,ভাঙ্গনকবলিত
boxke,বক্সকে
ramanandakathi,রামানন্দকাঠি
mishorer,মিশরের
sahapur,শাহাপুর
dharmatmanang,ধর্মাত্মনাং
tabul,তবুল
nyerere,নায়ারেরে
poschimabonglar,পশ্চিমাবংলার
ekhater,এখাতের
kekhono,কেখনো
nidanshastro,নিদানশাস্ত্র
jarnalgulir,জার্নালগুলির
satkurshi,সাতকুর্শী
qyata,ক্যাট
ramiee,রেমি
bodonamgulo,বদনামগুলো
ekodanei,একদানেই
fanner,ফ্যানার
mehkator,মেহকাতর
nishedhagyasangkranta,নিষেধাজ্ঞাসংক্রান্ত
sagarkanyake,সাগরকন্যাকে
enginguli,ইঞ্জিনগুলি
enginike,ইঞ্জিনিকে
antiviruser,এ্যান্টিভাইরাসের
deshpremnirbhar,দেশপ্রেমনির্ভর
majbar,মাজবার
velli,ভেল্লি
nikva,নিকভা
udvidtattik,উদ্ভিদতাত্ত্বিক
songbaddatasoho,সংবাদদাতাসহ
intanireo,ইন্টানিরেও
autophagic,অটোফেজিক
kinhal,কিন্নাল
onupojati,অনুপজাতি
battingter,ব্যাটিংটার
chhatrochatrirasoho,ছাত্রছাত্রীরাসহ
sajoaler,সাজোয়ালের
neuromedicine,নিউরোমেডিসিন
chamlingder,চামলিংদের
hirei,হিরেই
sadrishyapurno,সাদৃশ্যপূর্ণ
dottokgrohoner,দত্তকগ্রহণের
duimushti,দুইমুষ্টি
jagged,জ্যাগড
toali,টোয়ালি
netreetwe,নের্তৃত্বে
bhagoa,ভাগোয়া
dhenuke,ধেনুকে
gudholi,গুধোলী
pudiyechhe,পুড়িয়েছে
dweepshohore,দ্বীপশহরে
jirail,জিরাইল
aristegui,আরিস্তেগি
urubamba,উরুবাম্বা
alarming,অ্যালার্মিং
mohitulke,মোহিতুলকে
moitrobagane,মৈত্রবাগানে
dutarikhe,দুতারিখে
amagir,আমাগির
mallikerao,মল্লিকেরাও
officetyler,অফিসটিলার
dardevils,ডেয়ারডেভিলস
selebke,সেলেবকে
postab,পোস্টাব
lekhapath,লেখাপাঠ
supremistder,সুপ্রিমিস্টদের
itcher,ইচার
nawrsh,নর্স
ushukara,উশুকারা
cinemajiboner,সিনেমাজীবনের
gauder,গাউডের
ninistore,নিনিস্তোর
bindhilam,বিন্ধিলাম
maracanaso,মারাকানাসো
storyline,স্টোরিলাইন
melhig,মেলহিগ
harbabu,হরবাবু
rafeke,রাফেকে
golsankhyar,গোলসংখ্যার
chintagulo,চিন্তাগুলো
liton,লিটন
alimer,আলিমের
rajibra,রাজিবরা
harush,হারুশ
pollibidyute,পল্লীবিদ্যুতে
ontorbohischo,অন্তর্বহিশ্চ
bongshoshara,বংশধররা
atiprasangik,অতিপ্রাসঙ্গিক
kabborupe,কাব্যরূপে
kishmishe,কিশমিশে
tughalqabad,তুঘলকাবাদ
sarsabaz,সর্সবজ
eguner,এগুনের
chagall,চাগল
mangalmajhi,মঙ্গলমাঝি
ashlilatao,অশ্লীলতাও
jogpur,যোগপুর
manubazar,মনুবাজার
uporipatoner,উপরিপাতনের
daktarar,ডাক্তারার
bongojer,বঙ্গজের
jamirta,জামির্তা
bilborakopra,বিলবোরাকোপরা
gorolgachhar,গরলগাছার
pintoder,পিন্টোদের
kasaipattir,কসাইপট্টির
abhaibabur,অভয়বাবুর
ranishwar,রানিশ্বর
hurihan,হুরিহান
romera,রোমেরা
sumitamasi,সুমিতামাসি
kulshipa,কুলশীপা
behrendtsen,বেরেন্ডটসেন
komolangma,কোমোলাঙ্গমা
jhotu,ঝটু
birhank,বিরহাঙ্ক
tamraliptir,তাম্রলিপ্তির
herhanj,হেরহাঞ্জ
shivdeep,শিবদীপ
vobganer,ভবগানের
upodeshprodankale,উপদেশপ্রদানকালে
soinoder,সৈনদের
cmmcourte,সিএমএমকোর্টে
chillar,চিল্লার
trampobhokto,ট্রাম্পভক্ত
jibmatre,জীবমাত্রে
natakmandali,নাটকমণ্ডলী
sujanpure,সুজানপুরে
gojipure,গজিপুরে
akhtaruzzaman,আখতারুজ্জামন
matriprem,মাতৃপ্রেম
angshiker,আংশিকের
mahuadke,মাহুয়াদকে
poramorshodane,পরামর্শদানে
khopkata,খোপকাটা
mishrabhab,মিশ্রভাব
rajballavpure,রাজবল্লভপুরে
sparmatheca,স্পার্মাথেকা
mekaulir,মেকাউলির
academyteo,অ্যাকাডেমিতেও
kabirdasji,কবীরদাসজী
malpuske,ম্যালপাসকে
telecomke,টেলিকমকে
pratibandhakata,প্রতিবন্ধকতা
kobitano,কবিতানো
footbreeze,ফুটব্রীজে
dhongsolila,ধ্বংসলীলা
tughiya,তুঘিয়া
tanganica,ট্যাঙ্গানিকা
shringohin,শৃঙ্গহীন
rupbodher,রূপবোধের
jeebongram,জীবনগ্রাম
protijanihi,প্রতিজানীহি
sribhai,শ্রীভাই
sainyadhyakkhader,সৈন্যাধ্যক্ষদের
sindhung,সিন্ধুং
mahmudullahkeo,মাহমুদুল্লাহকেও
jyotishchandrer,জ্যোতিষচন্দ্রের
latynina,লাতিনিনা
blessing,ব্লেসিং
ojibwa,ওজিবওয়া
methikandai,মেথিকান্দায়
valara,ভালারা
pelez,পেলেইজ
farakgulo,ফারাকগুলো
aolenden,আওলেনডেন
tlaib,তালিব
ghoshalbongsher,ঘোষালবংশের
kobirajoi,কবিরাজই
khunke,খুঁকে
chandul,চান্দুল
shaktishalikaran,শক্তিশালিকরণ
bochoreryi,বছরেরই
pricess,প্রাইসেস
lipbame,লিপবামে
transeunte,ট্রানসুনেট
maranmukhi,মরণমুখী
somomboye,সমম্বয়ে
shartkhana,শার্টখানা
docufilmta,ডকুফিল্মটা
nalting,নল্টিং
anchalsanglagna,অঞ্চলসংলগ্ন
rajyopalkeo,রাজ্যপালকেও
shubhendubikash,শুভেন্দুবিকাশ
runcorn,রানকর্ন
padagre,পাদাগ্রে
cosmologister,কসমোলজিস্টের
naushiner,নওশিনের
sayak,সায়ক
khormashar,খোরমাশার
traflogger,ট্রাফলগারের
arsus,আরসাস
bhuchui,ভুচুই
sondhyadike,সন্ধ্যাদিকে
bagankarmidero,বাগানকর্মীদেরও
telanganateo,তেলাঙ্গানাতেও
ontorip,অন্তরীপ
chorachalani,চোরাচালনী
punibaheeto,পানিবাহিত
sulur,সুলার
swaponbabui,স্বপনবাবুই
ujjabal,উজ্জবল
atoratre,অতরাত্রে
bristles,ব্রিসলস
sinning,সিনিং
konoker,কোণকের
zonitai,যোনিটাই
sarabjit,সর্বজিত
sarchinjina,সার্চিঞ্জিন
srishtijagato,সৃষ্টিজগত
rogsomuhoke,রোগসমূহকে
beragi,বেরাগী
helmend,হেলমেন্দ
jummarghar,জুম্মারঘর
kalpanak,কল্পনাক
datafort,ডেটাফোর্ট
kulluk,কুল্লুক
jeebbolbidya,জীববলবিদ্যা
criminologyte,ক্রিমিনোলজিতে
juktakkhorohin,যুক্তাক্ষরহীন
leemputten,লিমপুটিন
jeebojibon,জীবজীবন
sarugaon,সরুগাঁও
attarni,অ্যাটর্নি
dristantosoho,দৃষ্টান্তসহ
miraflores,মিরাফ্লোরেস
cognizance,কগনিজেন্স
agnisanjogkarir,অগ্নিসংযোগকারীর
ondhosongskarmukto,অন্ধসংস্কারমুক্ত
tarakhan,তারাখান
poaitukhum,পোয়াইতুখুম
kommppiutartir,কম্পিউটারটির
robbaar,রোববার
nyayamate,ন্যায়মতে
jankjomokpurnobhabei,জাঁকজমকপূর্ণভাবেই
paruli,পারুলী
sharmisthadir,শর্মিষ্ঠাদির
rukminikeo,রুক্মিণীকেও
athare,আথারে
bibekbodhe,বিবেকবোধে
hortonville,হরটনভিলে
lalbiharibabuke,লালবিহারীবাবুকে
sohopalok,সহপালক
kasparek,কাসপারেক
amarilla,আমারিল্লা
konorokomer,কোনরকমের
sotir,সতীর
sgrube,স্গ্রুব
sobnis,সবনিস
rajahnate,রাজনাট
obhiggotatei,অভিজ্ঞতাতেই
kuniser,কুনিসের
markekti,মার্কেকটি
aposcho,আপশ্চ
swachchode,স্বচ্ছদে
deborah,ডেবোরাহ্
sauber,সৌবার
patrogulio,পাত্রগুলিও
hazap,হাজাপ
kalankamakha,কলঙ্কমাখা
persuit,পারসুইট
lermontov,লেরমন্তোভ
anarjo,অনার্য
jakhili,জাখিলী
nirdishtorupe,নির্দিষ্টরূপে
faliguloke,ফালিগুলোকে
agrippa,আগ্রিপ্প
rahajani,রাহাজানী
vollman,ভলম্যান
modhyaho,মধ্যাহ
shotfilmti,শটফিল্মটি
pakhitkhi,পাখিটখি
sorbokaron,সর্বকারণ
mccarthivad,ম্যাকার্থিবাদ
torminalgulote,টর্মিনালগুলোতে
shringkholagulo,শৃঙ্খলাগুলো
protikriashilderke,প্রতিক্রিয়াশীলদেরকে
japonoto,যাপনত
shilpanukul,শিল্পানুকূল
ditar,দিতার
snoqualmie,স্নোক্লোমি
masvingo,ম্যাসভিংগো
kenji,কেঞ্জি
porichitite,পরিচিতিতে
chhatasoho,ছাতাসহ
klasikbhab,ক্লাসিকভাব
karamji,করমজি
guhachitravali,গুহাচিত্রাবলী
motaharke,মোতাহারকে
takuman,তাকুমান
sensta,সেন্সটা
mulyabriddhikei,মূল্যবৃদ্ধিকেই
ashesh,অশেষ
stancer,স্ট্যান্সের
productguli,প্রোডাক্টগুলি
velvator,ভেলভেটর
trika,ত্রিকা
mallikarjun,মাল্লিকার্জুন
ston,স্তন
lakhpati,লাখপতি
twiti,ত্বিতি
krantadarshi,ক্রান্তদর্শী
chhohel,ছোহেল
smritimoyota,স্মৃতিময়তা
borgokkhetre,বর্গক্ষেত্রে
busoner,বুসনের
poropkarita,পরোপকারিতা
bhumimantri,ভূমিমন্ত্রী
costractor,কস্ট্রাক্টর
bondinider,বন্দিনিদের
shadlir,শাদলির
sangkhepikaraner,সংক্ষেপীকরণের
molir,মলির
blackholer,ব্ল্যাকহোলের
pokimon,পোকিমন
rabangana,রাবাঙ্গনা
shuhd,শুহুদ
protibadolipitei,প্রতিবাদলিপিতেই
uchchoshikkhito,উচ্চশিক্ষিত
donguan,ডংগুয়ান
smwritiguli,স্মৃতিগুলি
gilbe,গিলবে
pillakandi,পিল্লাকন্দি
muzammel,মুজাম্মেল
bertrand,বারট্র্যান্ড
geetorochonai,গীতরচনায়
prizety,প্রাইজটি
foramsamuher,ফোরামসমূহের
bongoprasaagare,বঙ্গোপ্রসাগরে
ninaithale,নিনাইথাল
detentionzogya,ডিটেনশনযোগ্য
badridas,বদ্রীদাস
boyoskobhab,বয়স্কভাব
mojirmafik,মজির্মাফিক
porosporbirodhitay,পরস্পরবিরোধিতায়
enizi,ইনিজি
porichalonkarira,পরিচালনকারীরা
meyerhoff,মেয়ারহফ
debochoritre,দেবচরিত্রে
chuktipatrei,চুক্তিপত্রেই
lokhondoke,লোখন্ডকে
conservance,কনজারভেন্স
dandyashcha,দণ্ড্যশ্চ
lemaitrer,লেমাইত্রের
upojatguloke,উপজাতগুলোকে
mahicharan,মহিচরণ
arozanemar,আরোজানেমার
apraptou,অপ্রাপ্তৌ
ramdeve,রামদেবে
dadapir,দাদাপীর
telenganajude,তেলেঙ্গানাজুড়ে
pratakala,প্রোটোকল
greenfell,গ্রিনফেল
mrityubaroner,মৃত্যুবরণের
torokman,তোরোকমান
ichchuder,ইচ্ছুদের
bosongti,বসংতি
vishkhana,বিশখানা
soumitra,সৌমিত্রা
chaloy,চালয়
tamvi,তামভি
majhibashbaganer,মাঝিবাঁশবাগানের
nakgaon,নাকগাঁও
mohatarkader,মহাতারকাদের
catterton,কেটারটন
polypathorer,পলিপাথরের
sudhirkakar,সুধীরকাকার
rakkhao,রক্ষাও
floridasaha,ফ্লোরিডাসহ
amanake,আমানাকে
kitgulir,কিটগুলির
mungaolir,মুঙ্গাওলির
shilpobigyani,শিল্পবিজ্ঞানী
sushrinkhol,সুশৃঙ্খল
chamino,চ্যামিনো
jyotiri,জ্যোতিরই
eusilomates,ইউসিলোমেটস
sergi,সেরগি
modhakrame,মোধাক্রমে
luganiser,লুগানিসের
manchesterey,ম্যানচেস্টারে
thaltamajhgram,থালতামাঝগ্রাম
pushtihinotasoho,পুষ্টিহীনতাসহ
budhbarbar,বুধবারবার
muniya,মুনিয়াকে
grandstande,গ্র্যান্ডস্ট্যান্ডে
nrimedh,নৃমেধ
khalakwa,খালাক্বা
curstee,কার্স্টি
malsir,মালসির
tomtomei,টমটমেই
temperament,টেম্পারামেন্ট
spotgulir,স্পটগুলির
saraikelara,সরাইকেলার
smolnikov,স্মোলনিকোভ
upolokkhoke,উপলক্ষকে
bidyapitthe,বিদ্যাপিঠে
darajer,দারাজের
shashimohan,শশীমোহন
vedivelu,বেদিভেলু
mondoligulike,মণ্ডলীগুলিকে
rotariyan,রোটারিয়ান
rameshbhaike,রমেশভাইকে
punyodhame,পুণ্যধামে
pranyi,প্রাণই
gainesville,গাইনেসভিল্লে
benerpota,বেনেরপোতা
tirondajike,তিরন্দাজিকে
sangabhabe,সঙ্গভাবে
mayadwara,মায়াদ্বারা
datalink,ডাটালিংক
jugnipasha,যুগ্নিপাশা
thunderball,থাণ্ডারবল
jutiachilo,জুটিয়াছিল
bcsa,বিসিএসএ
issuguliteo,ইস্যুগুলিতেও
dharmapanthi,ধর্মপন্থী
sadhutar,সাধুতার
podyonatok,পদ্যনাটক
peshashrenir,পেশাশ্রেণির
sitamurthy,সীতামূর্তি
sajgare,সাজগরে
doharti,দোহারটি
aventicer,এভেন্টিসের
kaliaganjabasir,কালিয়াগঞ্জবাসীর
ianske,আইএএনএসকে
tipite,টিপিতে
deese,ডিসে
sommanota,সম্মানতা
omke,ওমকে
guspert,গাসপার্ট
fidam,ফিদম
sabyanker,সব্যাঙ্কের
mollobriddhir,মল্যবৃদ্ধির
moji,মোজি
ghumega,ঘুমেগা
takarrush,তাকাররুশ
distinguisher,ডিসটিংগুইশার
nindao,নিন্দাও
landauer,ল্যান্ডাওয়ার
stricker,স্ট্রিকার
clips,ক্লিপস
shamchudeen,শামছুদ্দিন
zaikatul,জাইকাতুল
koyekporbe,কয়েকপর্বে
natsijamer,নাৎসিজমের
boleron,বলেরন
bhagchandani,ভাগচন্দানি
independents,ইন্ডিপেনডেন্টসহ
paikgon,পাইকগণ
dothraki,ডথোরাকি
panditammanya,পণ্ডিতম্মন্য
leopards,লেপার্ডসহ
bikkhovkaridero,বিক্ষোভকারীদেরও
jhapalo,ঝাপালো
michhama,মিছামা
swasthojonok,স্বাস্থ্যজনক
karmapranali,কর্মপ্রণালী
atitsarbaswa,অতীতসর্বস্ব
posaidona,পোসাইডোন
arthroscope,আর্থ্রোস্কোপ
mandalay,মানডাল
kagojshilpe,কাগজশিল্পে
shaplabagh,শাপলাবাগে
stevia,স্টিভিয়া
parsib,পারসিব
lyon,লিয়োঁ
neoajsaho,নেওয়াজসহ
kusadanga,কুসাডাঙ্গা
bhashontohe,ভাষণতহে
orthoshongthan,অর্থসংস্থান
dwimona,দ্বিমনা
noborte,নবরতে
darlinglatin,ডার্লিংল্যাটিন
bendic,বেন্ডিক
barkelir,বার্কেলির
satyabartir,সত্যবর্তীর
rinke,রিংকে
genarkeo,জেনারকেও
patabe,পাতাবে
abbs,এবিবিএস
beautyra,বিউটিরা
blackhat,ব্ল্যাকহ্যাট
pujarati,পূজারতি
sadharal,সাধারল
perloi,পেরলোই
uagadugur,উয়াগাদুগুর
nadipraban,নদীপ্রবণ
kebinei,কেবিনেই
diagram,ডায়াগ্রাম
incoterms,ইনকোটার্মস
oodarathuammava,ওওদারথুয়াম্বা
kabitapanktir,কবিতাপঙ্ক্তির
saltaneter,সালতানেতের
majaharul,মাজাহারুল
seigeler,সেইগেলের
obamababu,ওবামাবাবু
biramgame,বীরামগামে
thekek,থেকেক
toptopanir,তপ্তপানির
pahararoto,পাহাড়ারত
nashim,নাশিম
rajdharpur,রাজধরপুর
kothadhormo,কথাধর্ম
naeema,নাইমা
khaig,খাইগ
ghumaina,ঘুমাইনা
mukhyosochibke,মুখ্যসচিবকে
mashrufa,মাশরুফা
lestranger,লেস্ট্রেঞ্জের
foodser,ফুডসের
hajatbandi,হাজতবন্দি
madakmukhi,মাদকমুখী
accellatore,অ্যাক্সেলেটরে
perech,পেরেচ
oporibortonier,অপরিবর্তনীয়ের
prophessor,প্রফেসর
belkasemy,বেলকাসেমি
sorbobhute,সর্বভূতে
khadail,খাদাইল
shonaiten,শোনাইতেন
janalar,জানালার
janmograhonkari,জন্মগ্রহণকারী
pentagons,পেন্টাগনসহ
beliabeda,বেলিয়াবেড়া
paribarok,পারিবারক
senaghatir,সেনাঘাটির
dhormobolider,ধর্মবলীদের
nirdeshtao,নির্দেশটাও
rixatike,রিক্সাটিকে
workshoper,ওয়ার্কশপের
restaurantkeo,রেস্টুরেন্টকেও
entellia,এনটেলিয়া
remir,রেমির
edhor,এধর
didesh,দিদেশ
digorer,দিগরের
biborttote,বিবর্ত্ততে
uilkhana,উইলখানা
ratnadhan,রত্নধন
goair,গোএয়ার
proluter,প্রলুতের
bosal,বোসাল
dhamakiswarup,ধমকিস্বরূপ
shambhuk,শম্ভুক
badhagrostokari,বাধাগ্রস্তকারী
chitraratha,চিত্ররথ
balumath,বালুমাঠ
hatf,হাতফ
badambhaza,বাদামভাজা
anchalikbhabe,আঞ্চলিকভাবে
musonye,মুসনই
serves,সার্ভিস
sanskaranti,সংস্করণটি
ochini,ওচিনি
shilposhorte,শিল্পশর্তে
kolgulio,কলগুলিও
kemister,কেমিস্টের
ritiksaho,ঋতিকসহ
bartenderke,বার্টেন্ডারকে
sangsariko,সাংসারিকও
ghotihatar,ঘটিহাতার
poritratader,পরিত্রাতাদের
tipperah,টিপ্পারহ
uthilei,উঠিলেই
slomotione,স্লোমোশনে
dhanbader,ধানবাদের
bhotobhukto,ভোটভুক্ত
porikolpe,পরিকল্পে
uhaimir,উহাইমির
gontobyote,গন্তব্যতে
mistah,মিসতাহ
suchandrima,সুচন্দ্রিমা
bishwokhyato,বিশ্বখ্যাত
trivendrapurame,ত্রিবেন্দ্রপুরমে
salatsamuho,সালাতসমূহ
gokhra,গোখরা
bipi,বিপি
mandana,মনদানা
pratyasannang,প্রত্যাসন্নং
bendre,বিন্দ্রে
jeyechilen,যেয়েছিলেন
jomkaloi,জমকালোই
kingdomke,কিংডমকে
teno,টাইনো
kanthalichapar,কাঁঠালীচাপার
kwarito,ক্বরিত
uporjupor,উপর্যুপর
mohanlaler,মোহনলালের
charjankei,চারজনকেই
porikkhongulo,পরীক্ষণগুলো
baduriate,বাদুরিয়াতে
aizner,আইজনার
keela,কেল
babadhamer,বাবাধামের
abdf,এবিডিএফ
samajtanrik,সমাজতান্রিক
ratrakale,রাত্রকালে
qumran,কুমরান
bokover,বোকোভার
koyektir,কয়েকটির
againtst,এগেইন্টস্ট
jaffana,জাফানা
morcher,মর্চার
pectory,পেক্টরি
jeebonbhorti,জীবনভর্তি
somopodadhikari,সমপদাধিকারী
shikkhapranali,শিক্ষাপ্রণালী
khadgulor,খাদগুলোর
bhabaghuretai,ভবঘুরেটাই
tejgaonsth,তেজগাঁওস্থ
sribijoye,শ্রীবিজয়ে
dapayer,দপায়ের
dostour,দস্তুর
shord,শর্ড
civita,সিভিটা
soharada,সোহারাদা
chakrikeo,চাকরিকেও
pittotholite,পিত্তথলীতে
antarin,অন্তরীন
chaailei,চাইলেই
alekjandrovich,আলেকজান্দ্রোভিচ
asahamat,অসহমত
janiyechilo,জানিয়েছিলো
staaten,স্ট্যাটেন
annannoder,আন্যান্যদের
duchokhovore,দুচোখভরে
edvaner,এডভানের
metasystemer,মেটাসিস্টেমের
camerabihin,ক্যামেরাবিহীন
nilavumi,নীলাভূমি
oushodhobiggan,ঔষধবিজ্ঞান
felgenhaur,ফেলগেনহাউর
agerbochor,আগেরবছর
campser,ক্যাম্পসের
premhara,প্রেমহারা
karlam,করলাম
hogg,হগ
bonorajipurno,বনরাজিপূর্ণ
manabbandhar,মানববন্ধর
udaharane,উদাহরণে
fulcourter,ফুলকোর্টের
gheralo,ঘেরালো
potromichilo,পত্রমিছিল
tataten,তাতাতেন
somobedonamulok,সমবেদনামূলক
swakkhordatader,স্বাক্ষরদাতাদের
harishda,হরিশদা
paloani,পালোয়ানি
nausadhanodyatan,নৌসাধনোদ্যতান
anuprobeshkarimukto,অনুপ্রবেশকারীমুক্ত
tanujao,তনুজাও
cple,সিপিএলই
dirozake,ডিরোজাকে
kerliner,কেরলাইনের
jabde,জাবদে
dasia,দাসিয়া
kaajkormeri,কাজকর্মেরই
bishwoporashoktir,বিশ্বপরাশক্তির
portugiz,পোর্তুগিজ
lalchulo,লালচুলো
prakaranam,প্রকরণম্
fulanira,ফুলানিরা
nikumana,নিকুমানা
khoshamud,খোশামুদ
bamnabasir,বামনাবাসীর
bondhusneher,বন্ধুস্নেহের
kolambka,কোলাম্বকা
fraternity,ফ্রাটেরনিটি
tasker,তাস্কের
lesham,লেশম
porigothone,পরিগঠনে
akashebatase,আকাশেবাতাসে
uizden,উইজডেন
madhukhalir,মধুখালীর
masroor,মাসরূর
tribhubonbishruto,ত্রিভুবনবিশ্রুত
upogrohor,উপগ্রহর
bapirajer,বাপিরাজের
prothomjon,প্রথমজন
todontobirodhi,তদন্তবিরোধী
madhayapur,মধ্যপুর
poribarbirodhi,পরিবারবিরোধী
chhandoshil,ছন্দশীল
kutro,কুতরো
partizaner,পার্টিজানের
harizantal,হরাইজন্টাল
jarikarokder,জারিকারকদের
andishe,আন্দিসে
atyacharider,অত্যাচারিদের
flushlight,ফ্লাশলাইট
samarili,সামারিলি
thissaldowner,থিসলডাউনের
driverguli,ড্রাইভারগুলি
ongkolalito,অঙ্কলালিত
proshasonkortrik,প্রশাসনকর্তৃক
rajnetao,রাজনেতাও
natyodorshok,নাট্যদর্শক
bimalguhe,বিমলগুহে
bobir,ববির
jabder,যাবদের
broadke,ব্রডকে
stylist,স্টাইলিস্ট
marhaura,মারহাউরা
neshadwar,নেশাদ্বার
maues,মাউয়েস
muader,মুয়াদের
chhapilei,ছাপিলেই
pilkingtoner,পিলকিংটনের
alkakuz,আলকাকুজ
jaunadevi,যৌনদেবী
daudpure,দাউদপুরে
directorsder,ডিরেক্টরসদের
ismet,ইসমেত
khaadyaavyaas,খাদ্যাভ্যাস
protidwonditati,প্রতিদ্বন্দ্বিতাটি
deyalkei,দেয়ালকেই
sottar,সত্তার
hakuruker,হাকুরুকের
juddhojonito,যুদ্ধজনিত
tenham,টেনহ্যাম
devikulame,দেবীকুলামে
moshfequr,মোশফেকুর
khatbe,খাটবে
harnathbabu,হরনাথবাবু
purchased,পারচেজড
chintajgoto,চিন্তাজগত
yeah,হাহা
upomane,উপমানে
doralen,ডরালেন
duttafield,ডাটাফিল্ড
bitoronbyobosthai,বিতরণব্যবস্থায়
sontoshjonokbhabe,সন্তোষজনকভাবে
shikalevandi,শিকলেবন্দি
ferebbazer,ফেরেব্বাজের
panki,পাঙ্কি
kanchandevi,কাঞ্চনদেবী
qandaharer,কান্দাহারের
lancelot,ল্যান্সলট
praniboichitro,প্রাণীবৈচিত্র্য
enaro,এনারও
mendibagh,মেন্দিবাগ
carala,ক্যারালা
beluchistaan,বেলুচিস্তান
briscikrashi,বৃশ্চিকরাশি
mimlete,মিমলেটে
mikdamer,মিকদামের
bondobostobihin,বন্দোবস্তবিহীন
cosmopolitanism,কসমোপলিটানিজম
