chainij,चाइनिज
kathuayal,कठुआयल
baislathi,बैसलथि
kanek,कनिक
pivaak,पिवाक
jaraunai,जरौनाइ
ikvetar,इक्वेटर
jangv,जङ्गल
pabwala,पबवाला
chikitsiya,चिकित्सीय
guwatta,गुवात्ता
dipo,डिपो
trinetradharee,त्रिनेत्रधारी
bindurbindurev,बिन्दुरबिन्दुरेव
mamkha,माम्खा
maryadaken,मर्यादाकेँ
lraik,लडाईक
panchmane,पाँचमाने
pachhuaone,पछुअओने
garjeu,गर्जेउ
bhagpar,भागपर
aestal,एस्टल
muakkiv,मुअक्किव
shatmanyuken,शतमन्युकेँ
dhadhaki,धधकि
valuvatarme,वालुवाटारमे
jangananake,जनगणनाके
veerajee,वीराजी
rishisut,ऋषिसुत
nishpkshtame,निष्पक्षतामे
purneemak,पूर्णिमाक
daurabai,दौड़बै
manitahi,मनितहि
karveney,करवेनै
shringaarak,शृंगारक
bhupi,भूपी
monmouthshire,मोनमाउथशायर
eriyarak,एरियरक
ganaime,गनैमे
kheenchay,खींचय
menkac,मेनकाक
garchhan,गर्छन्
dramook,द्रमुक
vimlaganga,विमलागंगा
jingeepar,जिनगीपर
dootavasme,दुतावासमे
pirolee,पिरोली
mojambikk,मोजाम्बिकक
ogarlak,ओगरलक
deshbhaktison,देशभक्तिसँ
pratiroopame,प्रतिरूपमे
bhailabadoo,भेलाबादो
gifted,गिफ्टेड
atitonmukhtak,अतीतोन्मुखताक
balibedee,बलिबेदी
nxtme,एनएक्सटीमे
bhavnaanusar,भावनाअनुसार
patutaa,पटुता
sersafai,सरसफाई
nibhengee,निभेंगी
internal,इंटरनल
levegi,लेवेगी
vidwansabhak,विद्वानसभक
ilazme,इलाजमे
ghraaree,घराड़ी
dhartri,धर्त्री
somanken,सोमनकेँ
indranarayan,इन्द्रनारायण
jaimal,जैमल
distreebyutar,डिस्ट्रीब्युटर
patrakarita,पत्रिकारिता
ajeern,अजीर्ण
sukhkarini,सुखकारिणी
athart,अर्थात््
putravan,पुत्रवान्
bujhelaithi,बुझेलैथि
aliot,एलियट
mahatmapar,महात्मापर
shoonyavaad,शून्यवाद
chhathm,छठम्
lokkey,लोककें
hetar,हेटर
sarvadatt,सर्वदत्त
numberke,नंबरके
tatsaviturvarenyam,तत्सवितुर्वरेण्यं
mahashakhasabh,महाशाखासभ
intensive,इन्टेन्सिव
hvaat,ह्वाट
chikurbharandhkarah,चिकुरभारान्धकारः
bhaiyaken,भैयाकेँ
lodiyo,लोडियो
samvidhaansabha,संविधानसभा
orisak,ओडिशाक
bagana,बगाना
aardee,आरडी
buddhinath,बुद्धिनाथ
nukoune,नुकौने
sifaarisame,सिफारिसमे
sanskritochch,संस्कृतोच्च
jameenke,जमीनके
sasurarik,ससुरारिक
aatmbal,आत्मबल
muskilsan,मुस्किलसँ
chheetait,छीटैत
avaidhaniktaak,अवैधानिकताक
kathmandukendrit,काठमाण्डुकेन्द्रित
maanabaa,मानबा
uddharkarmi,उद्धारकर्मी
mahotsabak,महोत्सबक
filmmaker,फ़िल्ममेकर
korniya,कोर्निया
kamlanath,कमलानाथ
patankalasya,पतनकालस्य
kettari,केत्तारी
mukhotarik,मुखोतरिक
bhashachintan,भाषाचिन्तन
chakarkichhu,चाकरकिछु
chhoravaa,छोड़वा
bajaulaine,बजौलैने
onghdayal,ओंघडायल
icra,आइसीआरए
amritvarsha,अमृतवर्षा
devanandu,देवानन्दु
hariamvalsan,हरिअम्वलसँ
sadhyon,साध्यों
nibaddhit,निबद्धित
mangraunee,मङ्गरौनी
shikshitum,शिक्षितुम्
iredikeshan,इरेडिकेशन
karwali,करवाली
ramra,राम्रा
eyee,एई
sochitiyaik,सोचितियैक
bihulaak,बिहुलाक
panditain,पण्डिताइन
stests,स्टेस्ट्स
utsavsan,उत्सवसँ
mugluna,मुग्लुङ
pranvayuken,प्राणवायुकेँ
lethen,लेथिन
jumi,जुमि
sabhyataaen,सभ्यताएं
shriramkrishnak,श्रीरामकृष्णक
gafaansur,गफाँसुर
singhee,सिङ्ही
spashtam,स्पष्टं
vigrahsandhau,विग्रहसन्धौ
upparvatiya,उपपर्वतीय
jaeveeyar,जेवीयर
vivanandu,विवानन्दु
kamebaak,कमेबाक
juwame,जुवामे
krishnarjunyoh,कृष्णार्जुनयोः
akinchanken,अकिञ्चनकेँ
sayeshaa,सायेशा
panrh,पनरह
pahadiyasabh,पहाडियासभ
prakashnamae,प्रकाशनमे
baadmas,बदमास
naatinon,नातिनों
dhaadar,धादर
nibhrit,निभृत
sarlahijillako,सर्लाहीजिल्लाको
kusahaa,कुसहा
thaakupr,थाकउपर
arghai,अरघै
kashinatho,काशीनाथो
seroo,सेरू
golardhmein,गोलार्धमे
karbabaichh,करबाबैछ
akritya,अकृत्य
mathno,मथनो
dainia,डायनिया
dudhkosee,दुधकोशी
bilti,बिलटि
jobsdvara,जब्सद्वारा
nanilai,नानीलाई
krishnikumar,कृष्णीकुमार
taakbak,ताकबाक
arghyapaatrasan,अर्घ्यपात्रसँ
marudbhayah,मरुद्भयः
jenahite,जेनाहिते
shitaab,शिताब
bachchanke,बच्चनके
abhiyansabh,अभियानसभ
khakha,खाखा
mahakavyaprabandhah,महाकाव्यप्रबन्धः
afganistanki,अफगानिस्तानकी
rudradhar,रुद्रधर
madridme,म्याड्रिडमे
taplapar,तपलापर
kokhmae,कोखमे
pongapanthi,पोंगापन्थी
samjhavael,सम्झावेल
fattejang,फत्तेजङ्ग
karkatken,कर्कटकेँ
raakhieko,राखिएको
khoyenge,खोएंगे
sambhinanah,सम्भिन्नः
dubukee,डुबुकी
chaabal,चाबल
jeps,जेप्स
tredeeshanak,ट्रेडीशनक
padeos,पड़ेओस
tarhatthis,तरहत्थिस
mutheen,मुठीन
haichhih,हैछि
kosme,कोसमे
bhasiyail,भसियैल
pantisav,पाँतिसभ
vidvatak,विद्वताक
paadya,पाद्य
bmw,बीएमडब्ल्यु
maayadevik,मायादेवीक
darat,दरत
sanskriterangam,संस्कृतेरङ्गम्
mejo,मेजो
chuinee,चुइनी
kotturpuram,कोट्टुरपुरम
roopaiyam,रूपैयाँ
vicharhinta,विचारहीनता
paschatapa,पश्चाताप
panjiyan,पंजियन
sudharlani,सुधारलनि
joraiye,जोडैए
yamanak,यमनक
paryavekshanme,पर्यवेक्षणमे
bhulik,भुलिक
sinhdarvar,सिंहदरवार
barahaakim,बडाहाकिम
jgarnath,जगरनाथ
kothaliye,कोठलिये
petkatti,पेटकट्टी
taarsabh,टारसभ
ghaptay,घपटाय
bahutrasme,बहुतरासमे
geejee,गीजी
sanphlaaor,सन्फ्लाओर
elenus,एलेनुस
daurana,दौड़ाना
dru,ड्रु
hetars,हेटर्स
smaranyogyata,स्मरणयोग्यता
maareech,मारीच
tilbila,तिलबिला
trivenikantas,त्रिवेणीकान्तस
loksarokarak,लोकसरोकारक
kohaan,कोहान
nabujhe,नबुझे
chakshush,चाक्षुष
punyadnath,पुण्यदनाथ
samacharak,समाचारक
bachendri,बछेन्द्री
kuptanaak,कप्तानक
ghatnasbhka,घटनासभक
gahanaak,गहनाक
laavi,लावि
bachhiya,बच्चिया
ranadiya,रनडिया
kalpanashoonya,कल्पनाशून्य
okaar,ऒकर
belgret,बेलग्रेट
aajuke,आजुके
vipalv,विपल्व
taankij,टाँकिज
pontikal,पोन्टिकल
bujhetah,बुझेतह
facebookak,फेसबुकक
chainpiyan,चैंपियन
prarthnapoorvak,प्रार्थनापूर्वक
prakashmasaditeyam,प्रकाशमासादितेयम्
aandolankarta,आंदोलनकर्ता
karbhou,करभौ
odhabathi,ओढाबथि
rajgram,राजग्राम
khaylaah,खयलाह
bareleek,बरेलीक
shrinkhla,श्रृखंला
vaetaan,वेतान
shekhiyan,शेखियाँ
sangatime,सङ्गतिमे
bhaalo,भालो
tajatarin,ताजातरीन
markandechay,मार्कण्डेचय
futlai,फुटलै
toru,तोरू
aavedakak,आवेदकक
kafn,कफन
omanuk,ओमानक
richmand,रिचमण्ड
sugaulee,सुगौली
kakshamitra,कक्षामित्र
vidyapatikrit,विद्यापतिकृत
karampura,करमपुर
ayyub,अय्युब
anirakaranmastu,अनिराकरणमस्तु
chainee,चैनी
aakashadi,आकाशादि
jhadewa,झडेवा
majaan,मजान
mandaelak,मण्डेलाक
alpamatak,अल्पमतक
yuddhwadhya,युद्धवाद्य
punyadayak,पुण्यदायक
karnahgotr,कर्णःगोत्र
samasy,समस्य
srishtiker,सृष्टिकेर
shriramjik,श्रीरामजीक
lipiyukt,लिपियुक्त
thegandwara,ठेगानद्वारा
punrikshan,पुनरीक्षण
vayumandaliya,वायुमण्डलीय
lagbitahun,लगबितहुँ
jaebapar,जएबापर
dupannaa,दुपन्ना
bahanaken,बहानाकेँ
sukauraa,सुकौरा
saundhuro,साँघुरो
kawasuli,कवासुली
sanyojkah,संयोजकः
samjhab,समझब
bandargahsabhme,बंदरगाहसभमे
aaiemef,आईएमएफ
gumaulak,गुमौलक
shrishreeshree,श्रीश्रीश्री
dukhbhjan,दुखभजन
saharsavmaleek,सहरसभमालीक
muddahrooma,मुद्दाहरूमा
ghatelo,घटेलो
vaneshwari,वनेश्वरी
chaturshu,चतुर्षु
bhuktti,भुक्ति
parakashthak,पराकाष्ठाक
sajaniye,सजनिये
bodhnath,बोधनाथ
vyaktiuparak,व्यक्तिउपरक
shastrarthee,शास्त्रार्थी
vittho,विट्ठो
lyuis,ल्युइस
gaarahi,गारहि
thamhue,थम्हू
ughaait,उघैत
jawabdehi,जवाबदेही
abhendra,अभेन्द्र
andhiyaro,अँधियारो
sunalak,सुनलाक
hibharan,हिभरण
saddike,सदीके
albaniyak,अल्बानियाक
badnee,बदनी
thithuret,ठिठुरेत
shivshankarshrinivas,शिवशंकरश्रीनिवास
nirashray,निराश्रय
shraddhamay,श्रद्धामय
karmparayanta,कर्मपरायणता
sreejanaka,सृजनक
meediyayukt,मीडियायुक्त
paago,पागो
maitreepalaa,मैत्रीपाला
usanala,उसनल
fasakkar,फसक्कर
navotkarsh,नवोत्कर्ष
preshthasya,प्रेष्ठस्य
babeja,बाबेजा
deuva,देउवा
miguail,मिगुएल
nanwetawatprayojanam,नन्वेतावत्प्रयोजनम्
barki,बडकी
chupechap,चुपेचाप
mukutdhaari,मुकुटधारी
sameli,समेली
hytomi,हितोमी
kaccho,कच्चो
gururaja,गुरुराज
akhunkaa,अखुनका
agnishikha,अग्निशिखा
grihimani,गृहिमणि
sanishchari,सनिश्चारी
aaipiae,आइपिए
giriyo,गिरियो
jagatam,जगतम
udarapeedhaa,उदरपीड़ा
acsident,एक्सीडेंट
lokanandat,लोकानन्दत
paksheek,पक्षीक
faharbithun,फहरबितहुँ
saajhe,साझे
bhrityah,भृत्यः
watuk,वटुक
lagakay,लगाके
radhabhav,राधाभाव
uttamkumar,उत्तमकुमार
dhaaial,ढाएल
rakhabai,राखबै
vidhivyavasthaa,विधिव्यवस्था
nataykala,नाटयकला
chainpurak,चैनपुरक
sarvoparita,सर्वोपरिता
siddhiyoginee,सिद्धियोगिनी
bharshtachaar,भर्ष्टाचार
derayal,डेरायल
angvikshep,अंगविक्षेप
mahelake,महिलाकें
vimansthalaka,विमानस्थलक
aae,आइ
bhawat,भावत
sangathaatmak,संगठात्मक
praarambhak,प्रारम्भक
maakar,माकर
risaaikling,रिसाइकिलिंग
chokdaek,चोकदेक
gumaanu,गुमानु
tyubak,ट्यूबक
vanshakae,वंशके
doshsan,दोषसँ
panjariya,पंजरिया
puraskaarit,पुरस्कारित
vishnubrahmanutan,विष्णुब्रह्मनुतं
nosteljiya,नॉस्टेल्जिया
jaando,जाँदो
falwale,फालवाले
manavkrit,मानवकृत
charbaahe,चरबाहे
thaathi,ठाठि
nauratn,नौरत्न
bhartaik,भरतैक
batoulk,बतौलक
rahoome,रहूमे
satyamkrodho,सत्यमक्रोधो
pratahsmaraniya,प्रातःस्मरणीय
karyakartasabhdwara,कार्यकर्तासभद्वारा
ajiteshbhai,अजितेशभाइ
shabbo,शब्बो
virano,विराणो
abih,अबिह
producshansak,प्रोडक्शन्सक
janaone,जनओने
amartatwak,अमरतत्त्वक
karaywalak,करयवालाक
baspa,बसपा
ramnavmik,रामनवमीक
devendrarnath,देवेन्द्ररनाथ
karvachouth,करवाचौथ
prayikta,प्रायिकता
bhainsa,भैँस
raghuramo,रघुरामो
gatimaytak,गतिमयताक
khadija,खदीजा
bandhe,बन्धे
naayrnamatales,नायरनमतलेस
purushpariksha,पुरूषपरीक्षा
ghinayab,घिनायब
charnath,चारनाथ
mantreeparishad,मन्त्रिपरिषद्
saldekhi,सालदेखि
arvindar,अरविंदर
gaayo,गायो
domaloor,दोमलूर
melaulik,मेलौलीक
brijak,ब्रिजक
chadrabadi,छदराबादी
janailani,जनैलनि
sunaait,सुनाइत
sonet,सोनेट
pitr,पिट्र
dhupait,धुपैत
netasabhdvara,नेतासभद्वारा
dronaachaaryake,द्रोणाचार्यके
kanvariya,कँवरिया
kshitijasau,क्षितिजसँ
maheshvayar,महेश्वयर
merok,मेट्रोकऽ
soyam,सोयम
todnay,तोडनाए
durgaadatto,दुर्गादत्तो
pestis,पेस्टिस
prayassabhak,प्रयाससभक
mamedugra,ममेदुग्र
rockstark,रकस्टारके
kriyakalapken,क्रियाकलापकेँ
jhalke,झलके
pravardhan,प्रवर्द्धन
amavasyaka,अमावस्याक
baletaksar,बलेटक्सार
pchhbariya,पछबरिया
shreshthadisan,श्रेष्ठादिसँ
chharailale,छारएलेल
poney,पोने
dekhnaiye,देखनाइये
kilometerme,किलोमीटरमे
morita,मोरिटा
manavdehak,मानवदेहक
aanandsundari,आनन्दसुन्दरी
shoshnabhavah,शोषणाभावः
rohininakshatra,रोहिणीनक्षत्र
grahasth,ग्रहस्थ
nyootanak,न्यूटनक
mandeliya,मंडेलिया
joharoo,जोहारू
hridayeish,हृदयेश
yuktcheshtasya,युक्तचेष्टस्य
purukhaa,पुरुखा
pidhivisheshak,पीढ़ीविशेषक
lapkee,लपकी
karwakar,करवाकर
jhampal,झाँपल
rashtrakavach,राष्ट्रकवच
muhpochhuaa,मुहपोछुआ
faikts,फैक्ट्स
myaanluna,म्याङ्लुङ
muntriharu,मन्त्रीहरू
mayame,मायामे
aargument,आर्गुमेन्ट
vyavharparak,व्यवहारपरक
ganvaarak,गँवारक
laagani,लागनि
jumaanu,जुमानु
yoojar,यूजर
adhiniyamke,अधिनियमके
valiken,वालीकेँ
kainaa,कैना
barasyau,बरस्यौ
gathanken,गठनकेँ
prayogasthal,प्रयोगस्थल
ssuonaa,सुमोना
jauraa,जौड़ा
mushkiaaet,मुश्किआएत
ottek,ओत्तेक
chapetle,चपेटले
ramchandraji,रामचंद्रजी
khuntaa,खुंटा
kilebandee,किलेबंदी
tharu,थारू
cheelon,चीलों
kaagajaatakean,कागजातकेँ
jaladhikar,जलाधिकार
taitil,टाइटिल
dhuraa,धुरा
khangale,खंगाले
bhitaraq,भीतरक
shaayare,शायरे
pensionsan,पेंशनसँ
gorakhnathaka,गोरखनाथक
kiseese,किसीसे
dahlasan,डाहलासँ
shailputrik,शैलपुत्रीक
pujwa,पुजवा
sambhalak,संभाललक
pachhuaaelo,पछुआएलो
shivanidwara,शिवानीद्वारा
chikneek,चिकनीक
nadysabhake,नदिसभके
karyasiddhik,कार्यसिद्धिक
taalasabhak,तालसभक
eeranak,ईरानक
rooldaar,रूलदार
mhendra,महेन्द्रा
museumme,म्यूजियममे
angneme,अंगनेमे
barkhurdar,बरखुरदार
satamaaesan,सतमाएसँ
uncontar,अनकन्टार
sarkil,सर्किल
baarbrdiya,बारबर्दिया
samnewala,सामनेवाला
dunu,दूनो
baisalhoon,बैसलहुँ
jinhone,जिन्होंने
prdh,प्रध
prapanchsan,प्रपञ्चसँ
latrait,लतरैत
motocurp,मोटोकर्प
pavaime,पावैमे
aatmesh,आत्मेश
vishwakalyaan,विश्वकल्याण
manmukhi,मनमुखी
pathhyakramme,पाठ्यक्रममे
prajatik,प्रजातिक
anuvadkaritak,अनुवादकारिताक
shrenihnagarpalikasabh,श्रेणीःनगरपालिकासभ
lipikar,लिपिकार
khurpujai,खुरपुजाइ
madheshiye,मधेशिये
kantirba,कंटिरबा
deveshwa,देवेश्व
tenshan,टेन्शन
chonchwali,चोंचवाली
vritrasurak,वृत्रासुरक
kahalaaenge,कहलाएँगे
atikramit,अतिक्रमित
jotetai,जोतेतै
gariyaayat,गरियायत
charandhwanisan,चरणध्वनिसँ
chakorau,चकोरौ
vargdvara,वर्गद्वारा
smarikak,स्मारिकाक
devannani,देवान्नानि
kaychikitsa,कायचिकित्सा
milaleeh,मिललीह
yatibela,यतिबेला
mundali,मुंडली
maitriprastaven,मैत्रीप्रस्तावेन
mankha,मांखा
mrdsabh,मर्दसभ
mulhathee,मुलहठी
pressan,प्रेससँ
ldakoo,लडाकू
banavatk,बनावटक
koormraajken,कूर्मराजकेँ
bardghat,बर्दघाट
manaktasan,मानकतासँ
thiruvannamlai,थिरुवन्नामलाई
pahunchabathi,पहुँचाबथि
pokhariyaa,पोखरिया
unescok,युनेस्कोक
kunwaridwara,कुँवरीद्वारा
bhadavmas,भादवमास
brihat,बृहत्
apuchha,अपूछा
motiyao,मोतियाओ
noint,नोंत
ageet,अगीत
jimhar,जिम्हर
avaitkaal,आवैतकाल
kaureesan,कौड़ीसँ
harineeken,हरिणीकेँ
thakurahbhalchandra,ठाकुरःभालचन्द्र
unkaar,उनकार
aanandan,आनन्दन
jhijjhirkona,झिज्झिरकोना
ganipatisut,गणिपतिसुत
purooka,पुरूक
halyaa,हल्या
sphotsiddhi,स्फोटसिद्धि
siddhikahkanholi,सिद्धिकःकन्होली
gobhakti,गोभक्ति
oumprakash,ओमप्रकाश
siharkar,सिहरकर
gols,गोल्स
kulbhushana,कुलभूषण
jeevanyapanken,जीवनयापनकेँ
jinigiya,जिनिगिया
raajsabhamein,राजसभामे
mangken,मांगकेँ
mrigdav,मृगदाव
adhael,अढ़ाएल
keses,केसेस
dulleen,दुल्लीन
abhiyojanasheelataa,अभियोजनशीलता
aailyabs,आइल्याब्स
kaleeb,कलीब
mohanpra,मोहनप्र
premeekak,प्रेमिकाक
aatmatanmaatramevedam,आत्मतन्मात्रमेवेदं
majhveliya,मझवेलिया
mokshapraaptik,मोक्षप्राप्तिक
madhvendra,माधवेन्द्र
nudhiaail,नुड़िआइल
vetanmanahrajyakarmi,वेतनमानःराज्यकर्मी
hengaa,हेंगा
harinathapatya,हरिनाथापत्य
nootanmansasya,नूतनमानसस्य
oriyent,ओरियन्ट
fusi,फुसि
kunyj,कुनिज
sachchaiken,सच्चाइकेँ
raajnand,राजनन्द
raambhadrdasak,रामभद्रदासक
deit,दइत
swikaran,स्वीकरण
meelayel,मिलाएल
vyakhyaken,व्याख्याकें
kalpait,कल्पैत
bhukampavaigyanik,भूकंपवैज्ञानिक
sadasyapar,सदस्यपर
aashcharyasan,आश्चर्यसँ
karbaknirdesh,करबाकनिर्देश
ramjanki,रामजानकी
hadapi,हडपि
traiktaro,ट्रैक्टरो
punchme,पंचमे
magdad,मगदाद
vidusha,विदुषा
karayke,करयके
phaislaabadke,फैसलाबादके
bnaaul,बनाउल
shriradhikak,श्रीराधिकाक
ghode,घोडे
barmelee,बर्मेली
vurg,वर्गः
kudana,कुदाना
dheeral,घिरल
dosteeke,दोस्तीके
chandamamake,चन्दामामाके
brahmarshi,ब्रह्मर्षि
dhyanchnd,ध्यानचन्द
aarvya,आरव्य
kajsabh,काजसभ
darael,डराएल
ashamen,आशामे
pradarshansan,प्रदर्शनसँ
dakshineshwarak,दक्षिणेश्वरक
deenbandhud,दीनबन्धुद
manharsuto,मनहरसुतो
sarvasvo,सर्वस्वो
vireshwanrau,विरेश्वनरौ
dilabaime,दिलाबैमे
khagnarayan,खगनारायण
ghoshnapatrak,घोषणापत्रक
balemu,बलेमु
chaklon,चकलों
sesaa,सेसा
indijdwara,इन्डिजद्वारा
heerodotas,हीरोडोटस
yatatmanah,यतात्मानः
ghumayabani,घुमयबनि
senevado,सेनेवाडो
medals,मेडल्स
kanbaak,कनबाक
maranshilta,मरणशीलता
shopme,शॉपमे
lutataa,लुटता
rudragan,रुद्रगण
medlist,मेडलिस्ट
bujhtaaken,बुझताकेँ
kusumak,कुसुमक
dhorjaur,धोरजौर
eksapainshan,एक्सपैंशन
girjakumar,गिरजाकुमार
chhatayal,छटायल
puratatvsashtra,पुरातत्त्वशास्त्र
bachelkauk,बचेलकौक
puryaane,पुर्याने
jankibhakt,जानकीभक्त
darshniktasan,दार्शनिकतासँ
shataneek,शतानीक
chhipao,छिपाओ
piboo,पिबू
untee,उन्टी
parishdek,परिषदेक
khojkar,खोजकर
krishnabhaktishakha,कृष्णभक्तिशाखा
roosaka,रूसक
adhikaritak,अधिकारिताक
patliputrak,पाटलिपुत्रक
prayagmay,प्रयागमे
natyavidha,नाट्यविधा
khandghabala,खण्डघबला
jeevanbala,जीवनबला
kabje,कब्जे
basen,बसें
gumkee,गुमकी
congreske,कांग्रेसके
boyz,ब्वाइज
aagyaak,आज्ञाक
sahassan,साहससँ
jakhira,जखीरा
aaluchap,आलूचप
sochalo,सोचलो
kanikonna,कानिकोन्ना
byatsmyanak,ब्याट्सम्यानक
kshanen,क्षणें
chataie,चटैए
danmanparigrahaih,दानमानपरिग्रहैः
dikhaav,दिखाव
chokshanda,चोकशानडा
aprisal,एप्राइजल
gurukripa,गुरूकृपा
seekho,सीखो
alpsnkhyak,अल्पसङ्ख्यक
mairejak,मैरेजक
sarvsamarthta,सर्वसमर्थता
shivjisan,शिवजीसँ
nindrak,निन्द्राक
integreted,इन्टिग्रेटेड
niwasiyone,निवासीयों
moomal,मूमल
maneetaring,मानीटरिंग
chinhab,चिन्हब
kadikapur,कादिकापुर
pamariya,पमारिया
aantak,अन्तक
ampowerment,एम्पावरमेंट
whatsapp,ह्वाट्सअप
aleeke,अलीके
prajapat,प्रजापत
majadorin,मजदूरिन
barsoge,बरसोगे
somaliyake,सोमालियाके
sankochken,संकोचकेँ
maatri,मातृ
nagama,नगमा
aamavasyak,आमावस्याक
vibheeshane,विभीषणे
jugeshwar,जुगेश्वर
fadhichhayal,फड़िछायल
rajmargma,राजमार्गमा
acromigely,एक्रोमिगेली
gabhastimaan,गभस्तिमान
varaahapuraanak,वराहपुराणक
sitajiken,सीताजीकेँ
vadhooma,वधूमा
dhwanisav,ध्वनिसभ
satpathi,सतपथी
jyau,ज्यौ
kapildevah,कपिलदेवः
suniyat,सुनियत
reega,रीगा
tangdasti,तंगदस्ती
apneaap,अपनेआप
bhagde,भागदे
hyaabh,ह्याभ
grahaksavak,ग्राहकसभक
gaafil,गाफिल
resrurantasabh,रेष्टुरेन्टसभ
ateetken,अतीतकें
laaval,लावल
bhramardwara,भ्रमरद्वारा
adiyok,अडियोक
pahiyonvali,पहियोंवाली
lankaaka,लंकाक
ahoraat,अहोरात
puralekhvid,पुरालेखविद्
nimnatam,निम्नतम्
hunsakne,हुनसक्ने
kalyanvikram,कल्याणविक्रम
naint,नैंत
sarvagatatva,सर्वगतत्व
karnaatavanshee,कर्णाटवंशी
gangarama,गंगारामा
srotaak,स्रोताक
vishweshwarprasad,विश्वेश्वरप्रसाद
eenarak,इनारक
jeevanjha,जीवनझा
mounjee,मोन्जी
jaiwaalaa,जाइवाला
glanik,ग्लानिक
purukhwadi,पुरुखवादी
mahasabhasan,महासभासँ
kabitaak,कबिताक
dichhan,दिछन
patrabhoote,पात्रभूते
abhinetridwara,अभिनेत्रीद्वारा
muluksabhdhari,मुलुकसभधरि
namankansabhak,नामाङ्कनसभक
bharatwarshsan,भारतवर्षसँ
vanshnaas,वंशनास
jutait,जुटैत
vicharpradan,विचारप्रदान
bisriga,बिसरिगा
dushkarya,दुष्कार्य
bhagaiye,भागैए
banhayal,बन्हायल
katohu,कतोहु
vasovas,वसोवास
lehuaayal,लेहुआयल
sahiyara,सहियारा
nahardwara,नहरद्वारा
jepisi,जेपीसी
dabangak,दबंगक
arishtnemi,अरिष्टनेमी
ninjanah,निञ्जनः
julaan,जलान
budbudelih,बुदबुदेलीह
uthaitachhi,उठैतअछि
upariullikhit,उपरिउल्लिखित
adhyatmakshetrasy,अध्यात्मक्षेत्रस्य
maithlee,मैथली
baloowa,बलुवा
rangchitra,रंगचित्र
aheem,अहिम
ambarpar,अम्बरपर
atrik,अत्रिक
dhauvadee,धौवादी
staig,स्टैग
kshutpiditanam,क्षुत्पीडितानां
poochi,पूछी
chhichila,चिचिला
seemanamnyupanyase,सीमानाम्न्युपन्यासे
hindivyakhyaa,हिन्दीव्याख्या
sauhriday,सौहृदय
subidhabhogi,सुबिधाभोगी
haltalbime,हलतलबीमे
haluk,हलुक
vidhyasabhak,विद्यासभक
alavark,अलवरक
commentke,कमेन्टके
dekhinihaar,देखिनिहार
dekhailgel,देखाइलगेल
khojpore,खोजपुर
maddyson,म्याडिसन
dachhinmunhe,दछिनमुँहे
encarta,एनकार्टा
vyaparma,व्यापारमा
dharmikpanchangma,धार्मिकपञ्चाङ्गमा
vishwahik,विश्वहिक
dhohi,धोहि
nyujileaandk,न्युजिल्यान्डक
maayasn,मायासँ
potret,पोट्रेट
gurubani,गुरबाणी
sugarwe,सुगरवे
doohjar,दूहजार
sambhoug,सम्भोग
karaimae,करैमे
gharwal,घरवाल
oopari,ऊपरि
biplaw,बिप्लब
hulaaq,हुलाक
tafteeshak,तफ्तीशक
rupankit,रुपाङ्कित
charlee,चार्ली
vimukta,विमुक्त
bhaktjanaka,भक्तजनक
havaaiajahaajame,हवाइजहाजमे
muktichetna,मुक्तिचेतना
kristin,क्रिस्टिन
ekkaissan,एक्कैससँ
jagatale,जगतले
niskieko,निस्किएको
patrakarwargak,पत्रकारवर्गक
chhiriyayab,छिरियायब
prishthaken,पृष्ठकें
bharide,भरिदे
pratirakshaak,प्रतिरक्षाक
ibrahimpattik,इब्राहिमपट्टीक
chorukka,चोरूक्का
dekhabito,देखाबितो
saevasabh,सेवासभ
horeshwanar,होरेश्वनर
mahadebadanda,महादेबडाँडा
swabhaviko,स्वाभाविको
rikshak,रिक्शाक
gadhgar,गढगर
extreem,एक्स्ट्रीम
dekhbome,देखबोमे
asmastanta,असमस्तनता
cga,सीजीए
bhineskanam,भिनेसकनम
swajo,स्वजो
jaldharaak,जलधाराक
maiyakae,मैयाके
pyalaisak,प्यालेसक
kyoor,क्यूर
bhijab,भिजब
pensionme,पेंशनमे
dhokee,धोकी
fatuwaa,फतुवा
shreekrishnab,श्रीकृष्णब
bhishmapitamah,भीष्मपितामह
chetkak,चेतकक
pachhiba,पछिबा
maanchitraka,मानचित्रक
dinsbhak,दिनसभक
karmatolisan,कर्मटोलीसँ
siujee,सिउजी
ekshrut,एकश्रुत
jooribaela,जुडिबेला
lagtainh,लगतैन्ह
manushken,मनुषकेँ
sumant,सुमंत
kodhiyaa,कोढ़िया
jatwe,जतवे
astitvo,अस्तित्वो
satyikik,सात्यिकीक
maroom,मरूम
jhelalaahu,झेललाहु
laukaha,लौकाहा
bonime,बोनिमे
polyand,पोल्यान्ड
telko,तेलको
shikaraq,शिकारक
seechen,सीचें
gatirekaiv,गतिरेकैव
duhavan,दुहावन
aandolankariko,आन्दोलनकारीको
sanshleshanak,संश्लेषणक
dhuttar,धुत्तर
aalepan,आलेपन
vidyapatisuta,विद्यापतिसुता
dekhnaiyo,देखनाइयो
naashi,नाशि
akhandit,अखण्डित
sadaanan,सदानन
deejie,दीजिए
nijatwarupi,निजत्वरूपी
rajyayak,राज्ययक
mohpashen,मोहपाशेन
biharipan,बिहारिपन
aakashvanime,आकाशवाणीमे
mufaak,मुफाक
dhoshnapatra,धोषणापत्र
achhamk,अछामक
bachwaak,बचवाक
todhik,तोड़िक
