natiji,ਨਤੀਜੀ
sukhna,ਸੁਖਨਾ
colida,ਕੋਲੀਡਾ
googler,ਗੂਗਲਰ
greencards,ਗਰੀਨਕਾਰਡਜ਼
sindhanta,ਸਿੰਧਾਂਤਾ
bromphenol,ਬਰੋਮਫੇਨੋਲ
sinop,ਸਿਨੋਪ
salagha,ਸਲਾਘਾ
lalremsanga,ਲਾਲਰੇਮਸੰਗਾ
broadways,ਬਰੌਡਵੇਅਜ਼
mahavidyalaya,ਮਹਾਵਿਦਿਆਲਿਆ
diaper,ਡਾਇਪਰ
smikern,ਸਮਾਈਕਰਨ
bugdhu,ਬੁਗਧੂ
aishan,ਐਸ਼ਨ
haukan,ਹੌਕਾਂ
braber,ਬ੍ਰਾਬਰ
nirmulan,ਨਿਰਮੂਲਨ
terrethanian,ਟੇਰੇਥਨੀਅਨ
hikers,ਹਾਈਕਰਸ
padamshree,ਪਦਮਸ਼੍ਰੀ
ferling,ਫੇਰਲਿੰਗ
shrebsbury,ਸ਼ਰੇਬਸਬਰੀ
aetom,ਐਟਮ
dunghan,ਡੁੰਘਾਂ
boothing,ਬੂਥਿੰਗ
lava,ਲਵਾ
sapphira,ਸਫ਼ੀਰਾ
subhalta,ਸੁਭਲਤਾ
partoqal,ਪਾਰਟੀਕਲ
badheshan,ਬਧੇਸ਼ਾਂ
wooko,ਵੂਕੋ
phixer,ਫਿਕਸਰ
nayapul,ਨਯਾਪੁਲ
virsaviaa,ਵਿਰਸਾਵਿਆ
sadarjit,ਸਦਰਜੀਤ
yachika,ਯਾਚਿਕਾ
lollipop,ਲੌਲੀਪੌਪ
dastgiri,ਦਸਤਗੀਰੀ
jishtu,ਜਿਸ਼ਟੂ
milapian,ਮਿਲਾਪੀਆਂ
lagwaude,ਲਗਵਾਉਦੇ
motli,ਮੋਟਲੀ
shahit,ਸ਼ਹਿਤ
tarsaae,ਤਰਸਾਏ
guzro,ਗੁਜ਼ਰੋ
monts,ਮੌਂਟਸ
satikaramai,ਸਤਿਕਾਰਮਈ
kolmaen,ਕੋਲਮੈਨ
tandez,ਟੈਂਡੇਜ਼
narainn,ਨਰੈਣ
seenam,ਸੀਨਮ
prajit,ਪ੍ਰਜੀਤ
blogging,ਬਲੋਗਿੰਗ
vaso,ਵਾਸੋ
bolaria,ਬੁਲਾਰੀਆ
annupur,ਅਨੂਪੁਰ
miraraj,ਮਿਰਾਰਾਜ
strape,ਸਟ੍ਰੇਪ
harkut,ਹਰਕੁਟ
jindi,ਜਿੰਦੀ
jhaunpade,ਝੌਂਪੜੇ
sarbot,ਸਰਬੋਟ
ikjutda,ਇਕਜੁਟਦਾ
jhanerwali,ਝਨੇਰਵਾਲੀ
khabbran,ਖੱਬਰਾਂ
sevavahini,ਸੇਵਾਵਾਹਿਨੀ
ediesway,ਐਡੀਜ਼ਵੇ
anayath,ਅਨਾਯਥ
veerjatinder,ਵੀਰਜਤਿੰਦਰ
reboots,ਰੀਬੂਟਸ
tolfree,ਟੋਲਫ੍ਰੀ
aatiaan,ਆਟੀਆਂ
misiaar,ਮਿਸਿਆਰ
kalyanikari,ਕਲਿਆਣੀਕਾਰੀ
thakavat,ਥਕਾਵਟ
kinder,ਕਿੰਦਰ
diagnosnic,ਡਾਇਓਗਨੋਸਨਿਕ
viangamaee,ਵਿਅੰਗਮਈ
garbine,ਗਾਰਬਾਈਨ
ponzi,ਪੋਂਜ਼ੀ
takhtmalana,ਤਖ਼ਤਮਲਾਣਾ
savdhanivadi,ਸਾਵਧਾਨੀਵਾਦੀ
durkas,ਦੁਰਕਾਸ
kurili,ਕੁਰੀਲੀ
glardia,ਗਲਾਰਡੀਆ
kashgar,ਕਾਸ਼ਗਰ
statment,ਸਟੈਟਮੈਂਟ
sarnioo,ਸਰਨਿਊ
volodymyr,ਵੋਲੋਦੀਮੀਰ
pestana,ਪੇਸਟਾਨਾ
khatwal,ਖਟਵਾਲ
khobragade,ਖੋਬਰਗੜੇ
phenolyzed,ਪੇਨੋਲੇਜਡ
parshasal,ਪ੍ਰਸ਼ਾਸਲ
mashike,ਮਾਸ਼ੀਕੇ
bulakan,ਬੁਲਾਕਾਂ
pardih,ਪਾਰਡੀਹ
galiaare,ਗਲਿਆਰੇ
muskaundi,ਮੁਸਕਾਉਂਦੀ
baitullah,ਬੈਤੁੱਲਾਹ
poetica,ਪੋਇਟਿਕਾ
lanchberg,ਲੈਂਚਬਰਗ
prostait,ਪ੍ਰੋਸਟੈਟ
harnaib,ਹਰਨਾਇਬ
munix,ਮਿਊਨਿਕਸ
charnara,ਚਰਨਾਰਾ
daahke,ਦਾਹਕੇ
broncos,ਬ੍ਰੋਂਕੋਸ
pantings,ਪੈਂਟਿੰਗਸ
auregno,ਔਰੇਗਨੋ
plomoro,ਪਲੋਮੋਰੋ
stakato,ਸਟਾਕਾਟੋ
kurio,ਕੁਰੀਓ
campo,ਕੈਂਪੋ
younus,ਯੂਨਸ
acverves,ਐਕਵਰਵਸ
globav,ਗਲੋਬਵ
interplep,ਇੰਟਰਪਲੇਪ
fotoga,ਫੋਟੋਗਾ
doddle,ਡੌਡਲ
bahiju,ਬਹਿਜੂ
suiters,ਸੂਟਰਜ਼
atlat,ਅਟਲਾਟ
logievind,ਲੋਗੀਵਿੰਡ
himman,ਹਿੰਮਾਨ
robinjot,ਰੋਬਿਨਜੋਤ
hirms,ਹਿਰਮਜ਼
karmathata,ਕਰਮਠਤਾ
jaipeli,ਜੈਪੇਲੀ
thysophate,ਥਾਈਸੋਫੇਟ
dupin,ਦੁਪਿਨ
dharamgarh,ਧਰਮਗੜ੍ਹ
parmukhan,ਪ੍ਰਮੁੱਖਾਂ
radakada,ਰੜਕਦਾ
pichho,ਪਿਛੋ
vichaardharan,ਵਿਚਾਰਧਾਰਾਂ
subramanian,ਸੁਬ੍ਰਾਮਨੀਅਨ
khichvi,ਖਿੱਚਵੀ
detiaan,ਦੇਤਿਆਂ
malagaon,ਮਾਲਾਗਾਓਂ
aspress,ਐਸਪ੍ਰੈੱਸ
nayiyar,ਨਈਅਰ
vasanthi,ਵਸੰਤੀ
floping,ਫਲੋਪਿੰਗ
tunnels,ਟਨਲਜ਼
thopange,ਥੋਪਣਗੇ
storen,ਸਟੋਰੇਨ
dukkadi,ਦੁੱਕੜੀ
ronic,ਰੋਨਿਕ
pangwin,ਪੈਂਗਵਿਨ
poetier,ਪੋਇਟੀਅਰ
boleli,ਬੋਲੇਲੀ
baithdan,ਬੈਠਦਾਂ
rohanpreet,ਰੋਹਨਪਪ੍ਰੀਤ
qualcomm,ਕੁਆਲਕੌਮ
batire,ਬਤੀਰੇ
vuch,ਵੁੱਚ
adhiaapakta,ਅਧਿਆਪਕਤਾ
viaakhiaashil,ਵਿਆਖਿਆਸ਼ੀਲ
meytt,ਮੈਟ
lawai,ਲਵਾਈ
vilopan,ਵਿਲੋਪਨ
polipiaan,ਪੌਲੀਪੀਆਂ
cured,ਕਉਰਡ
progonochelli,ਪ੍ਰੋਗੋਨੋਚੇਲੀ
lahiraven,ਲਹਿਰਾਵੇਂ
naujuaan,ਨੌਜੁਆਨ
alau,ਅਲਾਉ
nfhs,ਐਨਐਫਐਚਐਸ
toojst,ਟੂਜਸਟ
chetanan,ਚੇਤਾਨਾਂ
sauraiaan,ਸੌਰਾਈਆਂ
marven,ਮਾਰਵੇਨ
katave,ਕਟਾਵੇ
khadkavegi,ਖੜਕਾਵੇਗੀ
vikhai,ਵਿਖਾਈ
blossoms,ਬਲੌਜ਼ਮਜ਼
dilvaiaan,ਦਿਲਵਾਇਆਂ
sirname,ਸਿਰਨਾਮੇ
mayflise,ਮੇਫਲਾਈਜ਼
vild,ਵਾਇਲਡ
vihtar,ਵਿਹਤਰ
multistaran,ਮਲਟੀਸਟਾਰਾਂ
landmine,ਲੈਂਡਮਾਇਨ
folger,ਫੋਲਗੇਰ
manidrapal,ਮਨਿੱਦਰਪਾਲ
kichho,ਕਿੱਛੋ
ganil,ਗਨਿਲ
commentatoran,ਕਮੈਂਟੇਟਰਾਂ
utsha,ਉਤਸ਼ਾ
hudre,ਹੁਦਰੇ
rickshae,ਰਿਕਸ਼ੇ
magga,ਮੱਗਾ
griddo,ਗਰਿੱਡੋ
niraniaa,ਨਿਰਾਣਿਆ
todado,ਤੋੜਦੋ
fooming,ਫੂਮਿੰਗ
sochega,ਸੋਚੇਗਾ
surfest,ਸਰਫੈਸਟ
satyavaranjit,ਸਤਿਆਵਰਣਜੀਤ
lootas,ਲੋਟਸ
seefly,ਸੀਫਲੀ
suspension,ਸਸਪੈਂਸ਼ਨ
cameron,ਕੈਮਰੌਨ
nihonji,ਨਿਹੋਨਜੀ
lisse,ਲਿੱਸੇ
selections,ਸਿਲੈਕਸ਼ਨਜ਼
malori,ਮਲੋਰੀ
gangaraam,ਗੰਗਾਰਾਮ
malte,ਮਲਤੇ
sevakpuram,ਸੇਵਕਪੁਰਮ
luten,ਲੁਟੇਨ
gursadpur,ਗੁਰਸਾਦਪੁਰ
hirschel,ਹਿਰਸ਼ਲ
mariate,ਮੇਰੀਏਟ
paramjivi,ਪਰਮਜੀਵੀ
epd,ਈਪੀਡੀ
vijvasana,ਵਿਜਵਾਸਨ
patsahu,ਪਾਤਸਾਹੁ
mahlo,ਮਾਹਲੋ
hypoplasia,ਹਾਈਪੋਪਲਾਸੀਆ
mahattvan,ਮਹੱਤਵਾਂ
shone,ਸ਼ੋਨ
katrao,ਕਤਰਾਓ
udeshit,ਉਦੇਸ਼ਿਤ
karanvarge,ਕਰਨਵਰਗੇ
gargareen,ਗਾਰਗਰੀਨ
tharsana,ਥਰਸਾਨਾ
durgiana,ਦੁਰਗਿਆਣਾ
kirkus,ਕਿਰਕੁਸ
kharomecheko,ਖਰੋਮੇਚੇਕੋ
sadeyaa,ਸਾੜਿਆਂ
bidts,ਬਿਡਟਸ
delmi,ਡੇਲਮੀ
bagiaan,ਬਗੀਆਂ
drishtikrit,ਦ੍ਰਿਸ਼ਟੀਕ੍ਰਿਤ
baluna,ਬਲੁਆਨਾ
chukka,ਚੁੱਕਾ
kalpitt,ਕਲਪਿੱਤ
vistula,ਵਿਸਟੁਲਾ
maricapa,ਮੈਰੀਕਾਪਾ
maujoodtatmak,ਮੌਜੂਦਤਾਤਮਕ
pesina,ਪੇਸੀਨਾ
mavuta,ਮਾਵੁਤਾ
chijjak,ਝਿਜਕ
gonococks,ਗੋਨੋਕੌਕਸ
dhatura,ਧਤੂਰਾ
sadmatano,ਸਦਮਾਤਾਨੋ
kulusum,ਕੁਲੁਸੁਮ
tannuli,ਤੰਨੂਲੀ
headstes,ਹੈੱਡਸਟੇਸ
geotsna,ਜੀਓਤਸਨਾ
aaunwale,ਆਉਣਵਾਲੇ
asitang,ਅਸਿਤਾਂਗ
malusar,ਮਲੂਸਰ
dhannoye,ਧੰਨੋਏ
scavetta,ਸਕੈਵੇਟਾ
darzebandi,ਦਰਜ਼ੇਬੰਦੀ
icei,ਆਈਸੀਈਆਈ
analogical,ਐਨਾਲੋਜੀਕਲ
jatheda,ਜਥੇਦਾ
paikatlalis,ਪੈਕਟਲਾਲਿਸ
jaukia,ਜੌਕੀਆ
unstral,ਅਨਸਟ੍ਰਾਲ
cib,ਸੀਆਈਬੀ
cartridge,ਕਾਰਟ੍ਰਿਜ
stanza,ਸਟੈਂਜ਼ਾ
somyavardhan,ਸੋਮਿਆਵਰਧਨ
gizele,ਗਿਜ਼ੇਲ
ambha,ਅੰਭਾ
andrakalekudrat,ਅੰਦਰਕਾਲੇਕੁਦਰਤ
gohram,ਗੋਹਰਾਮ
nakuleshwar,ਨਕੂਲੇਸ਼ਵਰ
faugi,ਫੌਗੀ
sudheendra,ਸੁਧਿੰਦਰ
mortgage,ਮੋਰਟਗੇਜ
kohlapuri,ਕੋਹਲਾਪੁਰੀ
livelihood,ਲਾਇਵਲੀਹੁੱਡ
sattasin,ਸੱਤਾਸੀਨ
lubricants,ਲੁਬਰੀਕੈਂਟਸ
nirankaria,ਨਿਰੰਕਾਰੀਆ
tamankar,ਤਮਨਕਰ
rlv,ਆਰਐਲਵੀ
rukav,ਰੁਕਾਵ
ampersor,ਐਂਪਰਸਰ
gorikambdegrup,ਗੋਰੀਕੰਬਦੇਗਰੁੱਪ
goldmack,ਗੋਲਡਮੈੱਕ
lagri,ਲਾਗਰੀ
nakeria,ਨਕੇਰੀਆ
babaldeep,ਬਬਲਦੀਪ
focusfery,ਫੋਕਸਫਰੀ
tafateesh,ਤਫ਼ਤੀਸ਼
jhajj,ਝੱਜ
vasantriye,ਵਸੰਤਰੀਏ
tawajja,ਤਵੱਜਾ
pulbama,ਪੁਲਬਾਮਾ
achetata,ਅਚੇਤਤਾ
hazlesburg,ਹੇਜਲਸਬਰਗ
shorio,ਸ਼ੋਰੀਓ
cinethpone,ਸਿਨੇਥਪੋਨ
slobodan,ਸਲੋਬੋਦਾਨ
natorvial,ਨਾਟੋਰਵੀਅਲ
mathun,ਮਥੁਨ
luisha,ਲੁਈਸ਼ਾ
pechorin,ਪੇਚੋਰਿਨ
akma,ਅਕਮਾ
karispai,ਕਰਿਸਪਾਈ
chhad,ਛਾੜ
soundex,ਸਾਊਂਡੈਕਸ
bindak,ਬਿੰਦਕ
manshahiaa,ਮਨਸ਼ਾਹੀਆ
scmp,ਐੱਸਸੀਐੱਮਪੀ
icl,ਆਈਸੀਐੱਲ
tipura,ਤਿਪੁਰਾ
solho,ਸੋਲ੍ਹੋ
bawling,ਬੌਲਿੰਗ
investigations,ਇਨਵੈਸਟੀਗੇਸ਼ਨਜ਼
particulate,ਪਾਰਟੀਕੂਲੇਟ
jurel,ਜੁਰੇਲ
kediaa,ਕੇਡਿਆ
jakkade,ਜੱਕੜੇ
counters,ਕਾਉਂਟਰਸ
visoa,ਵਿਸੋਆ
ferranti,ਫੇਰੰਟੀ
karvaiya,ਕਰਵਾਇਆ
attacking,ਅਟੈਕਿੰਗ
smack,ਸਮੈਕ
oligo,ਓਲੀਗੋ
glant,ਗਲੈਂਟ
tolcha,ਤੋਲਚਾ
sinhami,ਸਿੰਹਮੀ
blinds,ਬਲਾਇੰਡਜ਼
reeh,ਰੀਹ
ffi,ਐੱਫਐੱਫਆਈ
kroeber,ਕਰੋਬਰ
hirilf,ਹਿਰਿਲਫ
rsd,ਆਰਐੱਸਡੀ
gavarpuna,ਗਵਾਰਪੁਣਾ
berdnikova,ਬਰਡਨੀਕੋਵਾ
pononium,ਪੋਨੋਨੀਅਮ
singhara,ਸਿੰਘਾਰਾ
poshtmartem,ਪੋਸ਼ਟਮਾਰਟਮ
kyomizu,ਕਿਓਮੀਜ਼ੂ
kulikova,ਕੁਲਿਕੋਵਾ
mohair,ਮੋਹੈਰ
srigner,ਸ੍ਰੀਗਨਰ
nency,ਨੈਨਸੀ
ghungan,ਘੁੰਗਣ
alsace,ਅਲਸੇਸੇ
nikotiana,ਨਿਕੋਤਿਆਨਾ
seconded,ਸੈਕੰਡਿਡ
karurbandi,ਕਰੂਰਬੰਦੀ
centrefigration,ਸੈਂਟਰਫਿਗਰੇਸ਼ਨ
headquarteran,ਹੈਡਕੁਆਰਟਰਾਂ
occupancy,ਓਕੁਪੈਂਸੀ
walliner,ਵਾਲਿਨਰ
shaubi,ਸ਼ੌਬੀ
namaha,ਨਮਾਹਾ
nohura,ਨੋਹੁਰਾ
casto,ਕਾਸਤੋ
yardbirds,ਯਾਰਡਬਰਡਜ਼
fulvilar,ਫੁਲਵਿਲਰ
pisol,ਪਿਸੋਲ
baghora,ਬਘੌਰਾ
palanwala,ਪਲਾਨਵਾਲਾ
khulaun,ਖੁਲਾਉਣ
khiwapur,ਖੀਵਾਪੁਰ
dafftri,ਦਫ਼ਤਰੀ
icf,ਆਈਸੀਐੱਫ
mokhibar,ਮੋਖੀਬਰ
vipinder,ਵਿਪਿੰਦਰ
broncos,ਬਰੋਨਕੋਸ
aanuu,ਅਨੂ
buhkara,ਬੁਖਾਰਾ
implanted,ਇੰਪਲਾਂਟਿਡ
aiskin,ਏਸਕਿਨ
ravideep,ਰਵੀਦੀਪ
bhagaulik,ਭਗੌਲਿਕ
khadkainti,ਖੜਕੈਂਤੀ
rrs,ਆਰਆਰਐਸ
kalkan,ਕਾਲਕਾਂ
feswash,ਫੇਸਵਾਸ਼
kamalhir,ਕਮਲਹੀਰ
amteshwar,ਅਮਤੇਸ਼ਵਰ
bedajoz,ਬੇਦਾਜੋਜ਼
rehil,ਰੇਹਿਲ
aggretator,ਐਗਰੀਟੇਟਰ
valipur,ਵਾਲੀਪੁਰ
tonsilities,ਟੌਨਸਿਲਟੀਜ਼
vobis,ਵੋਬਿਸ
mangwe,ਮਾਂਗਵੇ
shinjiyaang,ਸ਼ਿਨਜਿਆਂਗ
duayega,ਦੁਆਏਗਾ
lachkani,ਲਚਕਾਣੀ
platesan,ਪਲਾਟੇਸਨ
vikhaounee,ਵਿਖਾਉਣੀ
vazidke,ਵਜ਼ੀਦਕੇ
taruna,ਤਰੁਨਾ
okeef,ਓਕੀਫ
janbujh,ਜਾਨਬੁੱਝ
cloid,ਕਲੋਇਡ
saunin,ਸੌਣੀਂ
fattuwal,ਫੱਤੂਵਾਲ
houseleek,ਹਾਊਸਲੀਕ
ojain,ਓਜੈਨ
karananraj,ਕਰਨਨਰਾਜ
invental,ਇਨਵੈਂਟਲ
ramain,ਰਾਮਾਇਣ
bhukana,ਭੁਕਾਨਾ
ditzia,ਡੀਟਜ਼ੀਆ
pradsaran,ਪ੍ਰਦਸਰਨ
pevega,ਪੇਵੇਗਾ
grasso,ਗ੍ਰਾਸੋ
alpsankhiakan,ਅਲਪਸੰਖਿਅਕਾਂ
chetanya,ਚੇਤਨਯਾ
baijo,ਬੈਜੋ
carbert,ਕਾਰਬਰਟ
pahunde,ਪਹੁੰਦੇ
korasan,ਕੋਰਸਾਂ
sangrahur,ਸੰਗਰਾਹੂਰ
susabhiak,ਸੁਸਭਿਅਕ
eloraa,ਏਲੋਰਾ
paltai,ਪਲਟਾਈ
napholithiasis,ਨੈਫੋਲਿਥਿਆਸਿਸ
hogman,ਹੋਗਮੈਨ
samanmanit,ਸਮਨਮਾਨਿਤ
murjhaye,ਮੁਰਝਾਏ
bihe,ਬਿਹੇ
gurugram,ਗੁਰੂਗ੍ਰਾਮ
hanostatic,ਹੈਨੋਸਟੇਟਿਕ
ahiji,ਅਹਿਜੀ
beruz,ਬੇਰੁਜ਼
parauntha,ਪਰੌਂਠਾ
gddi,ਗੱਦੀ
oppertmentan,ਆਪਰਟਮੈਂਟਾਂ
synthetised,ਸਿੰਥੈਟਾਈਜ਼ਡ
freetag,ਫ੍ਰੀਟੈਗ
baazigari,ਬਾਜ਼ੀਗਰੀ
kotkapu,ਕੋਟਕਪੂ
dromir,ਡ੍ਰੋਮਿਰ
dominator,ਡੋਮਿਨੇਟਰ
anjhuaan,ਅੰਝੂਆਂ
yoran,ਯੋਰਨ
gatewalw,ਗੇਟਵਾਲਵ
subinspector,ਸਬਇੰਸਪੈਕਟਰ
tangshan,ਤੰਗਸ਼ਾਨ
puadhan,ਪੁਆਧਾਂ
vespesion,ਵੇਸਪੇਸ਼ਨ
sashki,ਸਾਸ਼ਕੀ
limankaka,ਲਿਮੰਕਾਕਾ
bugdar,ਬੁਗਦਰ
pesharan,ਪੇਸ਼ਾਰਾਂ
ahode,ਅਹੋੜੇ
interdisciplinary,ਇੰਟਰਡਿਸੀਪਲੀਨਰੀ
ansukha,ਅਣਸੁਖਾ
shrotan,ਸ਼੍ਰੋਤਾਂ
husnar,ਹੁਸਨਰ
tracktt,ਟ੍ਰੈਕਟ
raidkalif,ਰੈਡਕਲਿਫ
toim,ਟੋਇਮ
ibhf,ਆਈਬੀਐਚਐਫ
diubandi,ਦਿਉਬੰਦੀ
broma,ਬਰੋਮਾ
kandepi,ਕੰਦੇਪੀ
nirsandeh,ਨਿਰਸੰਦੇਹ
bronchoscopy,ਬ੍ਰੌਨਕੋਸਕੋਪੀ
shardines,ਸ਼ਾਰਡੀਨਜ਼
internee,ਇੰਟਰਨੀ
armament,ਆਰਮਾਮੇਂਟ
biakarna,ਬਿਆਕਰਨਾ
zonki,ਜ਼ੋਨਕੀ
snip,ਸਨਿਪ
hodia,ਹੋਦੀਆ
hardcopy,ਹਾਰਡਕੋਪੀ
karlupia,ਕਰਲੂਪੀਆ
pospisil,ਪੋਸਪਿਸਿਲ
tejraj,ਤੇਜਰਾਜ
jegkar,ਜੇਗਕਰ
kelechi,ਕੈਲੇਚੀ
cottaro,ਕੋਟਾਰੋ
tabdi,ਤਬਦੀ
exponency,ਐਕਸਪੋਨੈਂਸੀ
kehri,ਕੇਹਰੀ
navandeep,ਨਵਨਦੀਪ
sisodhiaa,ਸਿਸੋਧੀਆ
bhopur,ਭੋਪੁਰ
lammee,ਲੰਮੀ
biaakaran,ਬਿਆਕਰਣ
nabalian,ਨਾਬਾਲੀਆਂ
platforman,ਪਲੈਟਫਾਰਮਾਂ
wigner,ਵਿਗਨਰ
ajmaundi,ਅਜਮਾਉਂਦੀ
topical,ਟੋਪੀਕਲ
macintos,ਮੈਕਿਨਟੋਸ
glt,ਜੀਐੱਲਟੀ
gluconic,ਗਲੁਕੋਨਿਕ
raktu,ਰਕਤੂ
aidharle,ਐਧਰਲੇ
hrithik,ਰਿਤੀਕ
badne,ਬੜਨੇ
rajinderbir,ਰਜਿੰਦਰਬੀਰ
boruah,ਬਰੂਆ
albotrus,ਅਲਬੋਟ੍ਰਸ
maur,ਮੌਰ
chikke,ਚਿੱਕੇ
kirnahat,ਕਿਰਨਾਹਟ
silikiaa,ਸਿਲੀਕਿਆ
bouman,ਬਾਊਮਨ
rahiyen,ਰਹੀਏਂ
florates,ਫਲੋਰੇਟਸ
citinst,ਸਾਈਟਿੰਸਟ
keba,ਕੇਬਾ
hillis,ਹਿੱਲਿਸ
sporky,ਸਪੋਰਕੀ
handicraft,ਹੈਂਡੀਕ੍ਰਾਫਟ
shailatkar,ਸ਼ੈਲਾਤਕਰ
dhahna,ਢਾਹਣਾ
releasing,ਰੀਲੀਜਿੰਗ
curbide,ਕਰਬਾਈਡ
inclusive,ਇਨਕਲੂਸਿਵ
diocese,ਡਾਇਓਸਿਜ਼
pranigrah,ਪ੍ਰਾਣੀਗ੍ਰਹਿ
sulface,ਸਲਫੇਸ
karanjagdish,ਕਰਨਜਗਦੀਸ਼
absore,ਅਬਸੋਰ
iaato,ਆਈਏਏਟੀਓ
lifelier,ਲਾਈਫਲਾਇਰ
dirang,ਦਿਰੰਗ
sarili,ਸਰੀਲੀ
jhingu,ਝਿੰਗੂ
aakhirkar,ਆਖਿਰਕਾਰ
sahityarth,ਸਾਹਿਤਿਆਰਥ
bhuntar,ਭੂੰਤਰ
libsked,ਲਿਬਸਕਡ
nivarna,ਨਿਵਾਰਨਾ
carriers,ਕੈਰਿਅਰਸ
monuan,ਮੋਨੁਆਨ
amerin,ਅਮੇਰੀਨ
dhanadhi,ਧਨਾਢੀ
adapted,ਅਡੈਪਟਿਡ
epporce,ਇਪੋਰਸ
umiam,ਉਮਿਆਮ
vasalpur,ਵਾਸਲਪੁਰ
mashhurpiaunpurane,ਮਸ਼ਹੂਰਪਿਆਉਣਪੁਰਾਣੇ
dectol,ਡੈਕਟੋਲ
belco,ਬੇਲਕੋ
munwar,ਮੁਨਵਰ
anookul,ਅਨੂਕੁਲ
tezrar,ਤੇਜ਼ਰਾਰ
alampuru,ਆਲਮਪੁਰੂ
kataragama,ਕਟਾਰਗਾਮਾ
deshbir,ਦੇਸ਼ਬੀਰ
parimarta,ਪਰਿਮਰਤਾ
grse,ਜੀਆਰਐੱਸਈ
umpati,ਉਮਪਤੀ
tankinki,ਟੈਂਕਿੰਕੀ
sankhaip,ਸੰਖੈਪ
shirial,ਸੀਰੀਅਲ
ssps,ਐੱਸਐੱਸਪੀਜ਼
dooziaan,ਦੂਜ਼ੀਆਂ
passivity,ਪੈਸਿਵਿਟੀ
refractometer,ਰੀਫਰੈਕਟੋਮੀਟਰ
sarushi,ਸਰੂਸ਼ੀ
bachanan,ਬਚਨਾਂ
epiplexis,ਐਪੀਪਲੈਕਸਿਸ
pabla,ਪਬਲਾ
bentra,ਬੈਂਟਰਾ
partenkerkan,ਪਾਰਟਨਕੇਰਕਨ
honduram,ਹੋਂਡੁਰਾਮ
parova,ਪਰੋਵਾ
anatomic,ਐਨਾਟੋਮਿਕ
lipiantar,ਲਿਪਿਆਂਤਰ
gurbanguli,ਗੁਰਬਾਂਗੁਲੀ
nikchu,ਨਿਕਚੂ
kazhagam,ਕਜ਼ਗਮ
negotiable,ਨੈਗੋਸ਼ੀਏਬਲ
kahalvan,ਕਹਲਵਾਂ
starshipan,ਸਟਾਰਸ਼ਿਪਾਂ
dostechngenics,ਡੋਸਟੈਕਨਜੈਨਿਕਸ
kharpatvaran,ਖਰਪਤਵਾਰਾਂ
barkara,ਬਰਕਾਰਾ
maindi,ਮੈਂਦੀ
prabhapi,ਪ੍ਰਭਾਪੀ
khaqan,ਖੱਕਾਨ
kaddon,ਕੱਦੋਂ
issf,ਆਈਐਸਐਸਐਫ਼
nadodora,ਨਡੋਦੋਰਾ
easterly,ਈਸਟਰਲੀ
siddhivinayak,ਸਿੱਧੀਵਿਨਾਇਕ
nanaknagri,ਨਾਨਕਨਗਰੀ
chomon,ਚੋਮੋਂ
kalyanshevar,ਕਲਿਆਣਸ਼ੇਵਰ
sargoshiaan,ਸਰਗੋਸ਼ੀਆਂ
khadse,ਖੜਸੇ
jindro,ਜਿੰਦਰੋ
preetibha,ਪ੍ਰੀਤਿਭਾ
pensinsla,ਪੈਨਸਿਨਸਲਾ
santokhgarh,ਸੰਤੋਖ਼ਗੜ੍ਹ
uncia,ਯੂਨੀਸ਼ੀਆ
bhejian,ਭੇਜੀਆਂ
prospect,ਪ੍ਰੋਸਪੈਕਟ
unicole,ਯੂਨੀਕੋਲ
harizan,ਹਰੀਜ਼ਾਂ
umakhanov,ਉਮਾਖਾਨੋਵ
bhruni,ਭ੍ਰੂਣੀ
catalan,ਕੈਟੇਲੋਨ
himminbird,ਹਿਮੀਨਬਰਡ
binaipreet,ਬਿਨੈਪ੍ਰੀਤ
pardaab,ਪਰਦਾਬ
nonicotinoids,ਨੋਨਿਕੋਟਿਨਾਇਡਜ਼
lozovaya,ਲੋਜ਼ੋਵਾਇਆ
samleli,ਸਮਲੇਲੀ
niwiaan,ਨੀਵਿਆਂ
goonvatta,ਗੂਣਵੱਤਾ
extensible,ਐਕਸਟੈਂਸੀਬਲ
vichsa,ਵਿੱਚਸਾ
bhiunde,ਭਿਉਂਦੇ
ratner,ਰਤਨੇਰ
marnadz,ਮਾਰਨਾਡਜ਼
brahban,ਬ੍ਰਾਹਬਣ
ralake,ਰਲਕੇ
milara,ਮਿੱਲਰ
santori,ਸਾਂਤੋਰੀ
vaegevaal,ਵੈਗੇਵਾਲ
dandkari,ਦੰਡਕਾਰੀ
nucomers,ਨਿਊਕਮਰਜ਼
whipper,ਵਿੱਪਰ
paridriti,ਪਰਿਦ੍ਰਿਤੀ
kebar,ਕੇਬਰ
jhulsiaa,ਝੁਲਸਿਆ
khujar,ਖੁਜਰ
boatsvana,ਬੋਤਸਵਾਨਾ
mcdonalds,ਮੈਕਡੋਨਲਡਸ
bhalukpong,ਭਾਲੂਕਪੌਂਗ
banaugiaan,ਬਣਾਉਗੀਆਂ
programmeting,ਪ੍ਰੋਗਰਾਮੀਟਿੰਗ
dumariaganj,ਡੁਮਰਿਆਗੰਜ
sponcership,ਸਪੌਂਸਰਸ਼ਿਪ
geedad,ਗੀਦੜ
jittke,ਜਿੱਤਕੇ
tanbu,ਤੰਬੂ
andari,ਅੰਡਾਰੀ
