kuberastatra,कुबेरस्तत्र
evamabhoot,एवमभूत्
kaalashabdaachcheti,कालशब्दाच्चेति
nivartoni,निवर्तोनि
samupalabdhirnaasti,समुपलब्धिर्नास्ति
meyasiddhih,मेयसिद्धिः
shalivahanakatha,शालिवाहनकथा
drayaanam,द्रयाणं
suvarchasa,सुवर्चस
chanupurvya,चानुपूर्व्या
sandhyaakaaleshu,सन्ध्याकालेषु
tadvishnormama,तद्विष्णोर्मम
paapekshitayute,पापेक्षितयुते
savreedamidam,सव्रीडमिदं
atichaaturee,अतिचातुरी
arunaadhar,अरुणाधर
mukhyanrupa,मुख्यनृप
shashabhrut,शशभृत्
panchakaamaamshcha,पञ्चकामांश्च
bruhadwane,बृहद्वने
bhupatestulya,भूपतेस्तुल्य
tadaatmakarmabhih,तदात्मकर्मभिः
nidraahetornishi,निद्राहेतोर्निशि
prepsateeti,प्रेप्सतीति
kamachchediraja,कामाच्चेदिराज
sthavishthaya,स्थविष्ठाय
smartumicchasi,स्मर्तुमिच्छसि
japenmanum,जपेन्मनुम्
saralasanskrutachandasi,सरलसंस्कृतच्छन्दसि
interpreted,इण्टरप्रेटेड
pretabhootapateenath,प्रेतभूतपतीनथ
raajashareereavadhaatavyaa,राजशरीरेऽवधातव्या
samskrutavyaakaraneshu,संस्कृतव्याकरणेषु
vaidarbheegaudee,वैदर्भीगौडी
gunaastadvyaktam,गुणास्तद्व्यक्तं
kaanchanashrungo,काञ्चनशृङ्गो
shokakaataraah,शोककातराः
karmajam,कर्मजं
chaatooktibhih,चाटूक्तिभिः
shamodamo,शमोदमो
sannagaatrobhudyathaa,सन्नगात्रोऽभूद्यथा
swapranaashanaay,स्वप्रनाशनाय
tatpretaanaamapi,तत्प्रेतानामपि
navayojanasahasrayama,नवयोजनसहस्रायामा
buddhakrutyaaya,बुद्धकृत्याय
tadvaddhara,तद्वद्धर
avateshtilopashche,अवतेष्टिलोपश्चे
dukhabaashpena,दुःखबाष्पेण
tatpranidhaanam,तत्प्रणिधानं
tasminshchetopalabdhih,तस्मिंश्चेतोपलब्धिः
paramaamrutaranjitaayai,परमामृतरञ्जितायै
sandhividaam,सन्धिविदां
suswaraan,सुस्वरान्
ityanvaadeshe,इत्यन्वादेशे
prakruterwikaarah,प्रकृतेर्विकारः
tvityaadisandarbhena,त्वित्यादिसंदर्भेण
apatyaduhkhaikamaye,अपत्यदुःखैकमये
apibansootaputrasy,अपिबन्सूतपुत्रस्य
chaatakashishuh,चातकशिशुः
drudatamam,दृढतमं
padamaanasamah,पदमानसमः
shalyaatmajaa,शल्यात्मजा
nirlobhaanaamapi,निर्लोभानामपि
kadachitkalaparyaye,कदाचित्कालपर्यये
drudapatnee,दृढपत्नी
toottamapoorushaah,तूत्तमपूरुषाः
bhadravraata,भद्रव्रात
pratyangaastroapi,प्रत्यङ्गास्त्रोऽपि
gaurivaakrutaneeshaaraha,गौरिवाकृतनीशारः
kartumihaarhase,कर्तुमिहार्हसे
samoanye,समोऽन्ये
chinnabhah,चिन्नभः
tadbhagnamaanaanapi,तद्भग्नमानानपि
bodhaneeya,बोधनीय
bhaktishraddhaa,भक्तिश्रद्धा
vaagrahanaanuvrutim,वाग्रहणानुवृतिं
jwaladbhushaya,ज्वलद्भूषया
durlanghyaaya,दुर्लङ्घ्याय
kalyaanakrutkleshanaashah,कल्याणकृत्क्लेशनाशः
keshavaaniti,केशवानिति
poorvenaami,पूर्वेणामि
tatyadih,तत्यदिह
kashtaapaayakrute,कष्टापायकृते
gunabhootam,गुणभूतं
pravishyaapastato,प्रविष्यापस्ततो
geetamanvartham,गीतमन्वर्थं
shreernyasyataamiti,श्रीर्न्यस्यतामिति
daarudaaranapathaih,दारुदारणपथैः
shadoormivarjitam,षडूर्मिवर्जितं
vastutastviti,वस्तुतस्त्विति
shareerabhrutkaaye,शरीरभृत्काये
sadityevaabhidheeyate,सदित्येवाभिधीयते
vistarenapraneey,विस्तरेणप्रणीय
atarkyaayaaprameyaay,अतर्क्यायाप्रमेयाय
atirekah,अतिरेकः
darayamasam,दारयामासं
ittvamuchyata,इत्त्वमुच्यत
mucheraunaadikah,मुचेरौणादिकः
oornaavrutagavaakshavat,ऊर्णावृतगवाक्षवत्
buddhirnishchita,बुद्धिर्निश्चिता
janakadika,जनकादिक
shabhaavah,शभावः
vilaset,विलसेत्
paarijaatayutaih,पारिजातयुतैः
hastyashvameva,हस्त्यश्वमेव
kshomakastathaa,क्षोमकस्तथा
takramiti,तक्रमिति
yvorityanuvartate,य्वोरित्यनुवर्तते
papakarini,पापकारिणी
viparitaayaam,विपरीतायां
nishyamdaih,निष्यंदैः
adhishtaanabhoota,अधिष्ठानभूत
maananch,मानञ्च
kuvalayadalasnigdhamadhura,कुवलयदलस्निग्धमधुरा
tadbhavantam,तद्भवन्तं
arpitamiti,अर्पितमिति
krutyatamam,कृत्यतमं
raasakelivardhinee,रासकेलिवर्धिनी
bhuvanapranetuh,भुवनप्रणेतुः
ketumukhyena,केतुमुख्येन
anekaraajanyaah,अनेकराजन्याः
lakshyaalakshyen,लक्ष्यालक्ष्येण
mukhapooranah,मुखपूरणः
bhavedvichaaranaa,भवेद्विचारणा
saptordhvam,सप्तोर्ध्वं
samaadhitritayam,समाधित्रितयं
gunekshanam,गुणेक्षणम्
pradadaavambikaa,प्रददावंबिका
bahujanasya,बहुजनस्य
vivaahasambandham,विवाहसम्बन्धं
sambandhibhiryakaaro,सम्बन्धिभिर्यकारो
padavicchedo,पदविच्छेदो
naashaknavandhaarayitum,नाशक्नवन्धारयितुं
shreebhaaradwaajah,श्रीभारद्वाजः
avalehamapi,अवलेहमपि
mahasara,महासारा
rekhaturityaadi,रेखतुरित्यादि
kevalagyaanamaatram,केवलज्ञानमात्रं
subaukaarah,सुबौकारः
kleshadiparamarsho,क्लेशादिपरामर्शो
sabhyaantare,सभ्यान्तरे
guhalayanirmane,गुहालयनिर्माणे
marvante,मर्वन्ते
nayatyagraam,नयत्यग्रां
paadatvameva,पादत्वमेव
koshnam,कोष्णं
buddhirarbhakasammataa,बुद्धिरर्भकसंमता
tvadanamaadah,त्वदनमादः
harijetaa,हरिजेता
bhagavanparavaanayam,भगवन्परवानयं
saraswateeroopam,सरस्वतीरूपं
dantavidyaalayah,दन्तविद्यालयः
ditihadhamam,दितिहाधमं
hyasminnahamekaiva,ह्यस्मिन्नहमेकैव
taddevamaahaatmyam,तद्देवमाहात्म्यं
bijaapuramandale,बिजापुरमण्डले
mangalaacharana,मङ्गलाचरण
bhujana,भुजना
padaikadeshadoshaah,पदैकदेशदोषाः
anyonyabhakshanasakta,अन्योन्यभक्षणासक्ता
babhrushabdasya,बभ्रुशब्दस्य
upopawishtaah,उपोपविष्टाः
panditvam,पण्डित्वं
kapolasaddeeptih,कपोलसद्दीप्तिः
nashtadrushtipradaatre,नष्टदृष्टिप्रदात्रे
chetahkuranga,चेतःकुरङ्ग
pratisamyukta,प्रतिसंयुक्त
kharasy,खरस्य
manyanto,मन्यन्तो
suvrudashvinaa,सुवृदश्विना
japedudakasheelah,जपेदुदकशीलः
sadyahpeedaaniwaarakah,सद्यःपीडानिवारकः
rachanaasambandheeni,रचनासम्बन्धीनि
chakaaropaattasy,चकारोपात्तस्य
gudadeshamme,गुददेशम्मे
mahapunya,महापुण्य
asanastheshu,आसनस्थेषु
bhattirasmaasu,भत्तिरस्मासु
vaasaroopavidhishch,वासरूपविधिश्च
varadaayine,वरदायिने
prajaavatsalam,प्रजावत्सलं
ikusumasariccham,इकुसुमसरिच्छं
shulotthaa,शूलोत्था
shoolahastanch,शूलहस्तञ्च
paandavasameepaagamanam,पाण्डवसमीपागमनम्
archanasyatishayanat,अर्चनस्यातिशायनात्
daashaarhastava,दाशार्हस्तव
ashtasiddhidaayini,अष्टसिद्धिदायिनि
prastaavanaabhaaga,प्रस्तावनाभाग
vastravisheshe,वस्त्रविशेषे
tejastejaskaro,तेजस्तेजस्करो
nipedha,निपेध
ashneetapibata,अश्नीतपिबत
bhikshucharyaam,भिक्षुचर्यां
kashtataraani,कष्टतराणि
ratnaadibhooshaay,रत्नादिभूषाय
veereshvarapunyaashrame,वीरेश्वरपुण्याश्रमे
sarvocchataapamaatraa,सर्वोच्चतापमात्रा
neereshamegheshwarau,नीरेशमेघेश्वरौ
arunakiranaay,अरुणकिरणाय
sahasyaadeh,सहस्यादेः
avidyaagunem,अविद्यागुणें
varaaharoopadhrugdevassa,वराहरूपधृग्देवस्स
mamopayaane,ममोपयाने
shamishtala,शमिष्ठल
ratnachitram,रत्नचित्रं
paripandukardamam,परिपाण्डुकर्दमं
shubhamangal,शुभमङ्गल
vaapyaparaadhajam,वाप्यपराधजम्
kaapotamiti,कापोतमिति
saambadhyaanaparaayanaah,साम्बध्यानपरायणाः
ahimsrasya,अहिंस्रस्य
daanamaanagyaanamaan,दानमानज्ञानमान
yoshitpriyakaro,योषित्प्रियकरो
bruvataamapriyam,ब्रुवतामप्रियं
lokaamste,लोकांस्ते
vahnanukrutam,वह्ननुकृतम्
durnivaaryam,दुर्निवार्यं
saarangashabdo,सारङ्गशब्दो
vibhinnanaamnaa,विभिन्ननाम्ना
saakshaadashaktaah,साक्षादशक्ताः
chitrarangam,चित्ररङ्गं
sambandhishu,सम्बन्धिषु
devakyaashch,देवक्याश्च
adwaitawedaantah,अद्वैतवेदान्तः
anitya,अनित्य
kshatamaahitam,क्षतमाहितम्
litkaranam,लित्करणम्
sahagu,सहगु
gautamaveshmani,गौतमवेश्मनि
mayikapadam,मायिकपदं
cholkaa,चोल्का
dhavalaaravindamadhareekrutya,धवलारविन्दमधरीकृत्य
golapushpasadaaratih,गोलपुष्पसदारतिः
matiramalaa,मतिरमला
bahupaakee,बहुपाकी
bahukaamadam,बहुकामदम्
shashastathordhoarthah,शषस्तथोर्धोऽर्थः
mrugacharmanee,मृगचर्मणी
yanmayeha,यन्मयेह
aanandamayassavisheshah,आनन्दमयस्सविशेषः
rashmimanuyacchamaanaa,रश्मिमनुयच्छमाना
yantraanusandhaanamiv,यन्त्रानुसन्धानमिव
sadgunena,सद्गुणेन
kuhootthaapadah,कुहूत्थापदः
peepal,पीपल
dvaavalankaaraabhinavau,द्वावलङ्काराभिनवौ
jalakaasaaramanditam,जलकासारमण्डितम्
nityaanandaphalapradaay,नित्यानन्दफलप्रदाय
duhkhakshayah,दुःखक्षयः
avrajan,अव्रजन्
brahmaatmabhaavam,ब्रह्मात्मभावं
sahasrashlokaih,सहस्रश्लोकैः
brahmaandabhaande,ब्रह्माण्डभाण्डे
moolaswaroopam,मूलस्वरूपं
yayistawish,ययिस्तविष
anruksaameti,अनृक्सामेति
pratyaahaaraarthopi,प्रत्याहारार्थोऽपि
krushnanodyaa,कृष्णनोद्या
santatasahachaarine,सन्ततसहचारिणे
kaumudeem,कौमुदीम्
kilaitadatha,किलैतदथ
saavakaashaah,सावकाशाः
carcotahergahan,कार्कोटाहेर्गहन
tamasheshashekharam,तमशेषशेखरं
paaritaah,पारिताः
hesagar,हेसागर
rathaanganemivalaye,रथाङ्गनेमिवलये
haribyaas,हरिब्यास
rtim,र्तिं
pishtarasam,पिष्टरसं
vajradandadharo,वज्रदण्डधरो
rupenendra,रूपेणेन्द्र
japetpraatarutthaay,जपेत्प्रातरुत्थाय
paradewataah,परदेवताः
shubhaasanamaatmano,शुभासनमात्मनो
sooryatejaprataapem,सूर्यतेजप्रतापें
bhavyaamodaih,भव्यामोदैः
jighrukshau,जिघृक्षौ
kaalindeekoolaveekshanah,कालिन्दीकूलवीक्षणः
dvaadashavidha,द्वादशविध
asthaapayan,अस्थापयन्
dehachivaree,देहचिवरी
samuchitamuttaram,समुचितमुत्तरं
paraagu,परागु
kriyateahani,क्रियतेऽहनि
chitkalaayai,चित्कलायै
bharatakatha,भारतकथा
mulapurusham,मूलपुरुषं
bhavetsiddhaa,भवेत्सिद्धा
hutayaa,हुतया
nihsru,निःस्रु
maraateeyato,मरातीयतो
gobrahmanaartham,गोब्रह्मणार्थं
taamupavane,तामुपवने
vaidyakaparibhaashaa,वैद्यकपरिभाषा
varasaava,वरसाव
shadrekhaasu,षड्रेखासु
uddhrutavantah,उद्धृतवन्तः
rashimasayoho,राशिमासयोः
jaatyantar,जात्यन्तर
samastamanorathalaabhe,समस्तमनोरथलाभे
sarvagrahaakaar,सर्वग्रहाकार
kuberoapi,कुबेरोऽपि
tiryagyoniyom,तिर्यग्योनियों
pandusutan,पाण्डुसुतान्
maargapradarshanam,मार्गप्रदर्शनं
vidhaanaparishadah,विधानपरिषदः
pathikochchhvaasakaarinee,पथिकोच्छ्वासकारिणी
parwatawaachinah,पर्वतवाचिनः
midachontyaa,मिदचोऽन्त्या
samvaadaroopam,संवादरूपं
astrashastraadikam,अस्त्रशस्त्रादिकं
lelihanatmane,लेलिहानात्मने
rukmyaa,रुक्म्या
labdhavarnaah,लब्धवर्णाः
vyaavruttaadhyayanam,व्यावृत्ताध्ययनं
mahaabalaadhikrutah,महाबलाधिकृतः
draupadeerakshakashchaiva,द्रौपदीरक्षकश्चैव
saadrushyasambhavamaatren,सादृश्यसंभवमात्रेण
bhaagyayogatah,भाग्ययोगतः
trayovimshatiko,त्रयोविंशतिको
vedavyaasasmrutau,वेदव्यासस्मृतौ
sadasadwilakshanah,सदसद्विलक्षणः
prinaya,प्रीणय
vaasudevarataa,वासुदेवरता
shaatakumbhakalashaamshch,शातकुम्भकलशांश्च
sadanandapradayini,सदानन्दप्रदायिनी
sasaagaravanaam,ससागरवनां
ghrutakulyaa,घृतकुल्या
skanno,स्कन्नो
saadhvimau,साध्विमौ
daurbhaagya,दौर्भाग्य
satri,सत्रि
masadya,मासाद्य
nirudyamaa,निरुद्यमा
niyamaprasangavaaranaaya,नियमप्रसङ्गवारणाय
vishaadeanukampaayaam,विषादेऽनुकम्पायां
vichitramidamaashcharyam,विचित्रमिदमाश्चर्यं
samaswaanandamoortaye,समस्वानन्दमूर्तये
tathaanyaabhih,तथान्याभिः
sankshapet,सङ्क्षपेत्
shuktikaaroopyaaderiv,शुक्तिकारूप्यादेरिव
patyuraagacchati,पत्युरागच्छति
bhadrapeethakrutaawaasaay,भद्रपीठकृतावासाय
sadvratam,सद्व्रतम्
baachu,बाचु
shashashrungaadibhih,शशशृङ्गादिभिः
nanapapasamuhanam,नानापापसमूहानां
temanam,तेमनं
viruvati,विरुवति
chittaantahkaranaani,चित्तान्तःकरणानि
agnishtikaa,अग्निष्ठिका
pitaamahaas,पितामहास्
chaavadheyam,चावधेयं
bhrugorbhaaryaa,भृगोर्भार्या
kshayam,क्षयम्
sandhaavaayushmadyogam,सन्धावायुष्मद्योगं
urugvenadee,उरुग्वेनदी
vaartaalisadanam,वार्तालिसदनम्
haritaadayo,हरितादयो
vipraveerasya,विप्रवीरस्य
mandirasamoohasy,मन्दिरसमूहस्य
abhibhaashet,अभिभाषेत
modakaishcha,मोदकैश्च
vidyaasrotaso,विद्यास्रोतसो
nidhinivahamupaadaaya,निधिनिवहमुपादाय
geetagunaayai,गीतगुणायै
tyuktyaiva,त्युक्त्यैव
hiranyakanishoodhanah,हिरण्यकनिषूधनः
guruvedaantamaanatah,गुरुवेदान्तमानतः
shramaphalah,श्रमफलः
pratastamagatam,प्रातस्तमागतं
gagryaayanah,गग्र्यायणः
ravichandraaderbhaasakam,रविचन्द्रादेर्भासकं
destiny,डेस्टिनी
saptamodhyaayah,सप्तमोध्यायः
asadwastu,असद्वस्तु
vadntyaah,वद्न्त्याः
gaudendra,गौडेन्द्र
dhrutadaksham,धृतदक्षं
ketakisourabhanandi,केतकीसौरभानन्दी
sakanyah,सकन्यः
manoyogakaro,मनोयोगकरो
rogaparikshanam,रोगपरीक्षणम्
pravaasaavaasakaaranam,प्रवासावासकारणं
somaakalitamaulikam,सोमाकलितमौलिकम्
bindunaadakalaa,बिन्दुनादकला
karanavattvamanumeeyate,करणवत्त्वमनुमीयते
shuddhaasane,शुद्धासने
gyaanaagnirdahate,ज्ञानाग्निर्दहते
mantridisiddhabhairavee,मन्त्रिदिसिद्धभैरवी
brahmanavadha,ब्राह्मणवध
vidnyapriyaa,विज्ञप्रिया
vilaksha,विलक्षा
etasyaamawadant,एतस्यामवदन्त
paapapunyavivarjitah,पापपुण्यविवर्जितः
bhedatatvam,भेदतत्वं
tvadabhimatim,त्वदभिमतिं
shabdaadyangaistam,शब्दाद्यङ्गैस्तं
nimeelatyetadakhilam,निमीलत्येतदखिलं
jatyam,जात्यां
nidhikaarah,निधिकारः
aprilia,अप्रिलिया
naagruhnaatpaavnakah,नागृह्णात्पाव्नकः
chaturvimshatigunaaha,चतुर्विंशतिगुणाः
naanaanrupaputrapautraah,नानानृपपुत्रपौत्राः
khyaatiryathaa,ख्यातिर्यथा
pramrushaaya,प्रमृशाय
shirastaadayanprovaach,शिरस्ताडयन्प्रोवाच
mrushtam,मृष्टं
munirmunisattamaah,मुनिर्मुनिसत्तमाः
syaaddhaaranasamyuktah,स्याद्धारणसंयुक्तः
katichinmanipaadarakshe,कतिचिन्मणिपादरक्षे
yadyuttaroayam,यद्युत्तरोऽयं
jaanudvayasam,जानुद्वयसम्
tasminnevaakhilam,तस्मिन्नेवाखिलं
namasukha,नामसुख
bilvakaaya,बिल्वकाय
vividhavidhasevaakulatayaa,विविधविधसेवाकुलतया
asamanjaah,असमञ्जाः
jaanapadajnah,जानपदज्ञः
sarvasmaatsarvanto,सर्वस्मात्सर्वन्तो
auttarapadika,औत्तरपदिक
krutashooraah,कृतशूराः
taamarivraatamardineem,तामरिव्रातमर्दिनीम्
roshaanmunaavabhigacchati,रोषान्मुनावभिगच्छति
yogyataabalaadih,योग्यताबलादिह
rubhukshastho,ऋभुक्षस्थो
pratiyeyaataam,प्रतीयेयातां
tyaj,त्यज्
adrakshyat,अद्रक्ष्यत्
ripulokam,रिपुलोकं
peeyooshamagne,पीयूषमग्ने
aaraadhanaprakaar,आराधनप्रकार
sarvasmaatputro,सर्वस्मात्पुत्रो
jayadrathoapi,जयद्रथोऽपि
yoshitaamanishtadaa,योषितामनिष्टदा
vrushabhiryujaanaha,वृषभिर्युजानः
balayuktaaripatinaa,बलयुक्तारिपतिना
vashchiram,वश्चिरं
neevaaraanaam,नीवाराणां
prasaadayaami,प्रसादयामि
aadaghnaas,आदघ्नास
priyasamaagama,प्रियसमागम
luptasupaawakah,लुप्तसुपावकः
vartamaanakoronaakaale,वर्तमानकोरोनाकाले
virajaasteerthasevayaa,विरजास्तीर्थसेवया
paravyaamohikaa,परव्यामोहिका
mahaanadu,महानदु
lihilem,लिहिलें
namasmin,नामास्मिन्
brahmanandaprakasha,ब्रह्मानन्दप्रकाशा
mahaavaidyapriyaa,महावैद्यप्रिया
paatumudyuktaa,पातुमुद्युक्ता
viduryogatattvadnyaa,विदुर्योगतत्त्वज्ञा
eeshadgunavachanenati,ईषद्गुणवचनेनति
ramatirthamanuttamam,रामतीर्थमनुत्तमम्
laagadamane,लागदमने
chaikatwamarnawaah,चैकत्वमर्णवाः
yadwasawah,यद्वसवः
dharmachatra,धर्मछत्र
bhargoato,भर्गोऽतो
shaunikashaastra,शौनिकशास्त्र
apramaadoashtadoshah,अप्रमादोऽष्टदोषः
lingamityalam,लिङ्गमित्यलं
aasureeshwapsarahsu,आसुरीष्वप्सरःसु
rayaguru,रायगुरु
trilokesham,त्रिलोकेशं
raajaamaadhavakau,राजामाधवकौ
cheshtitum,चेष्टितुम्
gayami,गायामि
mekhalagnishikho,मेखालग्निशिखो
swayambhoopushpasarasyai,स्वयम्भूपुष्पसरस्यै
bhucharanamatipriya,भूचराणामतिप्रिया
shvitrinaam,श्वित्रिणां
eeshwarasyopamaa,ईश्वरस्योपमा
yatkadanam,यत्कदनं
jeevanalingashaktim,जीवनलिङ्गशक्तिं
naraadhipatvadaayakam,नराधिपत्वदायकं
cleve,क्लीव्
nirnayahetubhutaanaam,निर्णयहेतुभूतानां
vairaagyabhaavanaajanyeshu,वैराग्यभावनाजन्येषु
vyagroaham,व्यग्रोऽहं
varadoshaharo,वरदोषहरो
nirvyaapaaro,निर्व्यापारो
upayogino,उपयोगिनो
atmaivatma,आत्मैवात्मा
aatmanirdvayaadbhavati,आत्मनिर्द्वयाद्भवति
himsaasangranthayoh,हिंसासंग्रन्थयोः
hyantarikshagaah,ह्यन्तरिक्षगाः
dakshinaamoortim,दक्षिणामूर्तिं
bhavadvilokaaya,भवद्विलोकाय
ghanavanaani,घनवनानि
bhayabhujah,भयभुजः
manovirahitam,मनोविरहितं
vispashtaarthe,विस्पष्टार्थे
navadurgaanishevitah,नवदुर्गानिषेवितः
ubagu,उबगु
bandhayitam,बन्धयितं
alankaarakairdewadewesh,अलङ्कारकैर्देवदेवेश
eekshayaamrutavarshinyaa,ईक्षयामृतवर्षिण्या
deepadhwaj,दीपध्वज
ekapatraadhikam,एकपत्राधिकं
ardhopabhuktena,अर्धोपभुक्तेन
shaastrapaanipradaanen,शास्त्रपाणिप्रदानेन
chagnisankasham,चाग्निसङ्काशं
baadhyataasadrushi,बाध्यतासदृशी
kartareenirmaanam,कर्तरीनिर्माणम्
punarunmrujanti,पुनरुन्मृजन्ति
nityaaviyoginee,नित्यावियोगिनी
yadnyashishtaashanam,यज्ञशिष्टाशनं
bharadwaajamunih,भरद्वाजमुनिः
chanugruhitasmi,चानुगृहीतास्मि
nihshwaasaayaasanishthah,निःश्वासायासनिष्ठः
baadhyaayai,बाध्यायै
soavyaktatvam,सोऽव्यक्तत्वं
nabhasorubalaanwitah,नभसोरुबलान्वितः
grahanashabdasya,ग्रहणशब्दस्य
dhananjayaanaam,धनञ्जयानां
nirlobhadaataa,निर्लोभदाता
prasabhaadiva,प्रसभादिव
brahmaganaashcha,ब्रह्मगणाश्च
hastakalaayai,हस्तकलायै
shikshakastarah,शिक्षकस्तरः
ashrunvantah,अशृण्वन्तः
beejasamsthamareechaye,बीजसंस्थमरीचये
putraadiyogo,पुत्रादियोगो
yadeeh,यदीह
kalpatarudina,कल्पतरुदिन
gauravagaathaa,गौरवगाथा
apnoti,अप्नोति
sangrahishye,सङ्ग्रहिष्ये
romanaalen,रोमनालेन
chaavyayeebhaavasy,चाव्ययीभावस्य
dwikaraangulibhih,द्विकराङ्गुलिभिः
yayurvajram,ययुर्वज्रं
kraantipaato,क्रान्तिपातो
vaagyataaya,वाग्यताय
bhooyoapyaasaady,भूयोऽप्यासाद्य
tathaivaanakadundubhim,तथैवानकदुन्दुभिम्
satyametatpitaamahaah,सत्यमेतत्पितामहाः
suprajnakagaathaasu,सुप्रज्ञकगाथासु
duryodhanasameehaya,दुर्योधनसमीहया
pradaasyate,प्रदास्यते
evamonkaar,एवमोङ्कार
chaabhavadvrutam,चाभवद्वृतम्
avabhotsyamte,अवभोत्स्यंते
apeeti,अपीति
aksharaakshar,अक्षराक्षर
samvicchatakam,संविच्छतकं
varadasundaree,वरदसुन्दरी
sammataa,संमता
shankhamudraa,शङ्खमुद्रा
etenaivaayatanenaikataram,एतेनैवायतनेनैकतरं
ardhapadyaa,अर्धपद्या
sairibhaasurasanhartree,सैरिभासुरसंहर्त्री
bheemasenamavanchayat,भीमसेनमवञ्चयत्
anantapunyafalado,अनन्तपुण्यफलदो
kathyante,कथ्यन्ते
bhinnabhereesamaswanam,भिन्नभेरीसमस्वनम्
sampradarshite,सम्प्रदर्शिते
khedayantyambudaa,खेदयन्त्यम्बुदा
pranayaprasange,प्रणयप्रसङ्गे
shaktayohashtau,शक्तयोहष्टौ
bhuvanodayaavanakaro,भुवनोदयावनकरो
jaigishavyam,जैगिषव्यं
shadvidhaani,षड्विधानि
vrushagirau,वृषगिरौ
bhuvapati,भुवपति
lokaananyaansamarthosi,लोकानन्यान्समर्थोसि
paramaanandasaagaraayai,परमानन्दसागरायै
indrotsava,इन्द्रोत्सव
samyuktatayaa,संयुक्ततया
preenaasichetvam,प्रीणासिचेत्त्वं
tasminbhaage,तस्मिन्भागे
yadroopaavachinne,यद्रूपावच्छिन्ने
laalitanirjaraveeram,लालितनिर्जरवीरं
ityaadibuddhayah,इत्यादिबुद्धयः
sahadevaprachoditaam,सहदेवप्रचोदिताम्
panchanimittaih,पंचनिमित्तैः
bahumaanye,बहुमान्ये
kharoshtra,खरोष्ट्र
jalaadyaishcha,जलाद्यैश्च
sthoolakarah,स्थूलकरः
karkaadi,कर्कादि
shachee,शची
jaalmak,जाल्मक
saahasaadbhutakhelanaay,साहसाद्भुतखेलनाय
chakraraajaayudhaay,चक्रराजायुधाय
nijaajnaaparipaalakaaya,निजाज्ञापरिपालकाय
hunkrutaye,हुङ्कृतये
vrukshassaaye,वृक्षस्साये
krushnamaagatamaakarny,कृष्णमागतमाकर्ण्य
bhaavanaapekshadnyaanam,भावनापेक्षज्ञानं
naaradasteshaam,नारदस्तेषाम्
vishaalaabhyaamaabhyaam,विशालाभ्यामाभ्यां
bhedaaviroddhyarthah,भेदाविरोद्ध्यर्थः
purushabhyam,पुरुषाभ्यां
vikoshaan,विकोशान्
narksheekaah,नर्क्षीकाः
paandavaanbalavattaraan,पाण्डवान्बलवत्तरान्
noksharata,नोक्षरता
dehaanaaptau,देहानाप्तौ
purushoadwiteey,पुरुषोऽद्वितीय
ruchiyutaa,रुचियुता
prakruteeshtinirnaya,प्रकृतीष्टिनिर्णय
purasamsthitaaya,पुरसंस्थिताय
nakshatraraashivibhaag,नक्षत्रराशिविभाग
samupapadyate,समुपपद्यते
kaaranakaaryavibhaagaaditi,कारणकार्यविभागादिति
saptaabhimantritaanen,सप्ताभिमन्त्रितानेन
madhuraahaaranirataay,मधुराहारनिरताय
sahaapatya,सहापत्य
sambhalagraame,सम्भलग्रामे
duhkhitaasi,दुःखितासि
jamadagnisamaradhyo,जमदग्निसमाराध्यो
muninaaryaam,मुनिनार्याम्
abhivruttihi,अभिवृत्तिः
paramaanandaroopadhruk,परमानन्दरूपधृक्
jayapuravilaasakaavyam,जयपुरविलासकाव्यम्
pramshaayaam,प्रंशायाम्
palayanaparayanan,पलायनपरायणान्
khelaakinnarasundari,खेलाकिन्नरसुन्दरी
bhagavadapachaar,भगवदपचार
yaatanaabhih,यातनाभिः
fenavati,फेनवती
kaavyavichaaraparasyaasy,काव्यविचारपरस्यास्य
daaham,दाहं
darshanashaatrasy,दर्शनशात्रस्य
ratnapriyaaya,रत्नप्रियाय
bhavaadrushyaah,भवादृश्याः
bhedanirmuktaa,भेदनिर्मुक्ता
suhrudbhaktipradaa,सुहृद्भक्तिप्रदा
ravichandraagnilochanah,रविचन्द्राग्निलोचनः
tvadaana,त्वदान
aapaddharmawimokshaay,आपद्धर्मविमोक्षाय
sadaavartetaraajavat,सदावर्तेतराजवत्
kirmeero,किर्मीरो
kaarukarmopajeevinah,कारुकर्मोपजीविनः
ishtatamamityanen,इष्टतममित्यनेन
nagarajakumarena,नागराजकुमारेण
maarjanaklesho,मार्जनक्लेशो
sfutaaksharam,स्फुटाक्षरम्
yacchaanyadupakaarakam,यच्चान्यदुपकारकम्
kamanugenoparuddham,कामानुगेनोपरुद्धां
apatkalika,आपत्कालिका
sumahattejo,सुमहत्तेजो
gurushushrushaa,गुरुशुश्रुषा
kulayauvanaroopasampa,कुलयौवनरूपसम्प
sheetihi,शीतिः
shduhu,ष्डुः
parimeetaani,परिमीतानि
vyaahrutaad,व्याहृताद्
shodashatatvaani,षोडशतत्त्वानि
kalahasthaneshu,कलहस्थानेषु
pradhaanadevataayai,प्रधानदेवतायै
alakshyaarthaay,अलक्ष्यार्थाय
drushtvaamrutam,दृष्ट्वामृतं
twamadhyagaah,त्वमध्यगाः
gudaakeshasahaayo,गुडाकेशसहायो
hrujjaa,हृज्जा
upamaiveyam,उपमैवेयम्
yatparinamaanakam,यत्परिणमाणकं
chitrakarmane,चित्रकर्मणे
