aajolik,আজলিক
dehtut,দেহটোত
bakikeigoraki,বাকীকেইগৰাকী
indhon,ইন্ধন
thuluk,থুলোক
negurokota,নেগুৰকটা
bhobix,ভৱিষ
porixodkeikhonor,পৰিষদকেইখনৰ
companyxomuhe,কোম্পানীসমূহে
ombagaon,অম্বাগাঁও
proyugor,প্ৰয়োগৰ
xomorthonjugyo,সমর্থনযোগ্য
kutirot,কুটিৰত
kexorinath,কেশৰীনাথ
tothyoke,তথ্যকে
bixexogyoru,বিশেষজ্ঞৰো
hasinur,হাছিনুৰ
botahijoni,বতাহীজনী
tuschu,টুচ্ছু
obhimanbur,অভিমানবোৰ
nuluwah,নোলোৱাহ
xoronarthike,শৰণার্থীকে
janili,জানিলি
atoruwat,আঁতৰোৱাত
kamdhenur,কামধেনুৰ
onyarthot,অন্যাৰ্থত
kongrexor,কংগ্রেসৰ
pouruxor,পৌৰুষৰ
patidar,পাতিদাৰ
gourodexor,গৌড়দেশৰ
talikatkoi,তালিকাতকৈ
xiloku,শিলকো
sukroj,চুক্ৰজ
xikhyokpodot,শিক্ষকপদত
nolduwar,নলদোৱাৰ
dangorxokolor,ডাঙৰসকলৰ
potaise,পতাইছে
nothingijom,নথিঙিজম
kawarir,কাৱাৰীৰ
kuxiwara,কুশিৱাৰা
aapottikorbhabe,আপত্তিকৰভাৱে
khetrokhonote,ক্ষেত্ৰখনতে
promanxohokare,প্রমাণসহকাৰে
lokhipujar,লক্ষীপূজাৰ
xombondhito,সম্বন্ধিত
pristhajura,পৃষ্ঠাযোৰা
haatkhen,হাতখেন
temzen,তেমজেন
podmawote,পদ্মাৱতে
ejauri,এজাউৰি
lobone,লবনে
pagor,পাগৰ
moraneu,মৰাণেও
gowexonake,গৱেষণাকে
graame,গ্রামে
kti,ক্তি
dhanxomuh,ধানসমূহ
douril,দৌৰিল
nepkinoku,নেপকিনকো
xutroxomuhe,সূত্ৰসমূহে
tamreswori,তাম্রেশ্বৰী
restor,ৰেষ্টৰ
dekasamor,ডেকাচামৰ
kasot,কাচত
jupuhanire,জোপোহানিৰে
thardhand,থাৰ্ডহেণ্ড
datbihin,দাঁতবিহীন
bipokhyo,বিপক্ষ
xikdar,শিকদাৰ
oxomadha,অসমাধা
sitkaror,চিৎকাৰৰ
bohibgoi,বহিবগৈ
bhumikak,ভূমিকাক
klawore,ক্লাৱৰে
xouhardopurno,সৌহাৰ্দপূৰ্ণ
xongodan,সংগদান
jongholothe,জংঘলতহে
dialogbur,ডাইলগবোৰ
sohide,চহিদে
totkal,তৎকাল
parthoprotimor,পার্থপ্রতিমৰ
jegatur,জেগাটোৰ
satrojonok,ছাত্রজনক
aaiskrim,আইস্ক্ৰিম
pundhorojonoru,পোন্ধৰজনৰো
buluwe,বুলুৱে
ottalikai,অট্টালিকাই
taibrekarotu,টাইব্রেকাৰতো
ijone,ইজনে
muke,মোকে
dwarosto,দ্বাৰস্ত
trainkhon,ট্ৰেইনখন
nixigondha,নিশিগন্ধা
nidanpur,নিদানপুৰ
poriwexonote,পৰিৱেশনতে
kowolor,কৱলৰ
christinak,ক্ৰিষ্টিনাক
jonopriyotat,জনপ্ৰিয়তাত
xutreu,সূত্ৰেও
kekang,কেকাং
bisarilu,বিচাৰিলোঁ
xongbadei,সংবাদেই
adibadi,আদিবাদী
horekrishno,হৰেকৃষ্ণ
xijonok,সিজনক
uttorito,উত্তৰিত
arjoboxoti,আর্যবসতি
aaditei,আদিতেই
doctorator,ডক্টৰেটৰ
ghurapotat,ঘোৰাপটাত
hasmi,হাছমি
xoilpik,শৈল্পীক
momsadulok,মমচাদুলক
nahahi,নাহাঁহি
dalalir,দালালীৰ
mogere,মগেৰে
smritikuna,স্মৃতিকোণা
oxubidhaxomuhu,অসুবিধাসমূহো
sortoxomuh,চর্তসমূহ
jatirokhyar,জাতিৰক্ষাৰ
kalvarir,কালভাৰীৰ
meghdutor,মেঘদূতৰ
kenbhasor,কেনভাচৰ
seherak,চেহেৰাক
xotrokhonito,সত্ৰখনিত
ketherin,কেথেৰিন
tilotai,তিলতাই
bisiair,বিচিআইৰ
kalidaxe,কালিদাসে
atmoxomorpone,আত্মসমৰ্পণে
podomorzyadare,পদমৰ্য্যাদাৰে
rajyobyapi,ৰাজ্যব্যাপি
rituporno,ঋতুপৰ্ণ
porzobekhyone,পর্যবেক্ষণে
balyo,বাল্য
atmoxomorpon,আত্মসমৰ্পণ
poisare,পইছাৰে
tumakei,তোমাকেই
logorkeitak,লগৰকেইটাক
boisyor,বৈশ্যৰ
ekdexdorxi,একদেশদর্শী
chamedur,চামেদুৰ
jakbur,জাকবোৰ
bibekananda,বিবেকানন্দ
plainburor,প্লেনবোৰৰ
blender,ব্লেণ্ডাৰ
xomajkhonoloi,সমাজখনলৈ
probah,প্রবাহ
prohoxonothe,প্ৰহসনতহে
kunjonok,কোনজনক
turf,টাৰ্ফ
jauri,জাউৰি
dhuwatu,ধোৱাটো
gular,গোলাৰ
bhurukat,ভুৰুকাত
kamuddipok,কামোদ্দীপক
bandhotu,বান্ধটো
hilchot,হিলছত
wicketere,উইকেটেৰে
jontrot,যন্ত্রত
dehorokhijonok,দেহৰক্ষীজনক
saknasur,চাকনাচুৰ
rumanchok,ৰোমাঞ্চক
xotyagrohixokole,সত্যাগ্ৰহীসকলে
doirghyot,দৈৰ্ঘ্যত
xewabur,সেৱাবোৰ
dhorara,ধৰাৰা
sromikkeijonok,শ্ৰমিককেইজনক
hraxei,হ্ৰাসেই
rijijuloi,ৰিজিজুলৈ
xamogrixomuhu,সামগ্রীসমূহো
tumat,তোমাত
haatbur,হাতবোৰ
khito,খিত
borowa,বৰৱা
hatikeita,হাতীকেইটা
monimadhob,মণিমাধৱ
pogolai,পগলাই
eibhabe,এইভাৱে
swarthohe,স্বার্থহে
jakjomokotapurno,জাকজমকতাপূৰ্ণ
prorthi,প্ৰৰ্থী
borhiya,বঢ়িয়া
masburu,মাছবোৰো
protipokhyo,প্ৰতিপক্ষ
thruster,থ্ৰাষ্টাৰ
libhaisor,লিভাইছৰ
borombabar,বৰমবাবাৰ
pokhyoxomuh,পক্ষসমূহ
mohapatrai,মহাপাত্ৰাই
hatijoni,হাতীজনী
krishnogirito,কৃষ্ণগিৰিত
xibure,সিবোৰে
khupe,খোপে
koinadhorat,কইনাধৰাত
buwarixokolor,বোৱাৰীসকলৰ
parik,পাৰিক
nironjone,নিৰঞ্জনে
xotyotuke,সত্যটোকে
portaltu,পৰ্টেলটো
koxom,কসম
unnotkoi,উন্নতকৈ
bostut,বস্তুত
probhak,প্ৰভাক
kutit,কোটিত
metrist,মেট্ৰিস্ট
nikhuj,নিখুজ
xogorbha,সগৰ্ভা
uttorakhonde,উত্তৰাখণ্ডে
aathgaot,আঠগাঁৱত
ethenik,এথেনিক
jirabo,জিৰাব
nikulsone,নিকোলছনে
btadk,বিটিএডিকে
borjatrixokolor,বৰযাত্ৰীসকলৰ
jilima,জিলিমা
khulutei,খুলোঁতেই
keme,কেমে
elekatei,এলেকাতেই
gronthakare,গ্ৰন্থাকাৰে
owohelito,অৱহেলিত
durotei,দূৰতেই
pongnyan,পংন্যান
eisthanot,এইস্থানত
bhahkajan,ভাহকাজান
aagerei,আগেৰেই
xorbostoror,সৰ্বস্তৰৰ
internetxoho,ইণ্টাৰনেটসহ
controlere,কন্ট্ৰলেৰে
obhilekhoru,অভিলেখৰো
xotrokhon,সত্রখন
mangxopexik,মাংসপেশীক
fesbukorpora,ফেচবুকৰপৰা
jogabi,জগাবি
mardek,মাৰ্ডেক
dipikhon,ডিপিখন
xunakhyi,সোনাক্ষী
nibonuwabirudhi,নিবনুৱাবিৰোধী
bibahu,বিবাহো
kotharehe,কথাৰেহে
aasola,আছলা
xurzou,সূৰ্যও
tatporjopurno,তাৎপর্যপূৰ্ণ
sautalxokolok,চাওঁতালসকলক
prithokotwo,পৃথকত্ব
xurokhyakobos,সুৰক্ষাকবচ
bastutontror,বাস্তুতন্ত্ৰৰ
aakromonotkoi,আক্ৰমণতকৈ
robhatolot,ৰভাতলত
sarimahot,চাৰিমাহত
okritogyotar,অকৃতজ্ঞতাৰ
dorobtu,দৰবটো
dujonee,দুজনী
manobhikok,মানভিকক
xobdotuu,শব্দটোও
dokhonakhon,দখনাখন
mudili,মুদিলি
narodmuni,নাৰদমুনি
teulukordwara,তেওঁলোকৰদ্বাৰা
ojontai,অজন্তাই
khelapotharot,খেলাপথাৰত
protisrutixomuh,প্ৰতিশ্ৰুতিসমূহ
bonyopranixomuhor,বন্যপ্রাণীসমূহৰ
ontordhyan,অন্তৰ্ধ্যান
bhaku,ভাকু
furnicer,ফাৰ্নিছাৰ
xeleka,সেলেকা
adopt,এডপ্ট
indrodewok,ইন্দ্ৰদেৱক
beparir,বেপাৰিৰ
bojaise,বজাইছে
eite,এইটে
tinitat,তিনিটাত
prodorxonitu,প্ৰদৰ্শনীটো
jotilotaxomuh,জটিলতাসমূহ
nixangke,নিশাংকে
odhisthanbirudhi,অধিষ্ঠানবিৰোধী
sumonikhonot,চোমনিখনত
jonoxomudroi,জনসমুদ্রই
karonbihinbhabe,কাৰণবিহীনভাৱে
uruwa,উৰোৱা
utpadonot,উৎপাদনত
niramix,নিৰামিষ
guhor,গোহৰ
mujid,মুজিদ
tatinga,টাটিঙা
bonno,বন্ন
xombad,সম্বাদ
obogunthito,অৱগুণ্ঠিত
statefed,ষ্টেটফেড
menpawar,মেনপাৱাৰ
oxongotipurno,অসংগতিপূৰ্ণ
maniloi,মানিলৈ
kokakor,ককাকৰ
bamera,বামেৰা
mostiskot,মস্তিষ্কত
dukuha,দোকোহা
deudhai,দেওধাই
xomondhot,সমন্ধত
selunoloi,চেলুনলৈ
tokakeitare,টকাকেইটাৰে
xoujonor,সৌজনৰ
probondhokjonor,প্ৰবন্ধকজনৰ
dristiloi,দৃষ্টিলৈ
dubritto,দুবৃত্ত
xorboxukhanondo,সৰ্বসুখানন্দ
saporiloi,চাপৰিলৈ
bhaskorjo,ভাষ্কৰ্য
bonmalideb,বনমালীদেৱ
tuktukai,টুকটুকাই
nursok,নাৰ্চক
updateot,আপডেটত
jiwanbudh,জীৱনবোধ
birokomai,বিৰকমাই
garjent,গাৰ্জেণ্ট
purnanondor,পূৰ্ণানন্দৰ
nidhir,নিধিৰ
manuholoihe,মানুহলৈহে
xukrobabe,শুক্ৰবাবে
aagathar,আগাথাৰ
brigedor,ব্ৰিগেডৰ
obhikendro,অভিকেন্দ্ৰ
xongbordhonor,সংবৰ্ধনৰ
gourambito,গৌৰাম্বিত
xiddhantokoloi,সিদ্ধান্তকলৈ
sotona,চটনা
patoliya,পাতলীয়া
xoronarthik,শৰণাৰ্থীক
khujkarhiboloi,খোজকাঢ়িবলৈ
punyokanti,পুণ্যকান্তি
kihlo,কিহ্ল
tuboger,টোবগেৰ
duhkhojonok,দুঃখজনক
monostatwik,মনঃস্তাত্ত্বিক
babushaan,বাবুশান
swomohimare,স্বমহিমাৰে
protigyahe,প্রতিজ্ঞাহে
chamedurok,চামেদুৰক
dhongkari,ধ্বংকাৰী
dhyanmogno,ধ্যানমগ্ন
dataxomuh,ডাটাসমূহ
ekebar,একেবাৰ
tripurar,ত্ৰিপুৰাৰ
orthothe,অৰ্থতহে
poristhotit,পৰিস্থতিত
xomodhanot,সমধানত
bongohi,বঙহী
deborai,দেবৰায়
vendibidhor,ভেন্দিবিধৰ
polligit,পল্লীগীত
lakilur,লাকিলুৰ
bitur,বিতুৰ
sopore,চপৰে
aafjole,আফজলে
projaru,প্রজাৰো
kormosarijone,কৰ্মচাৰীজনে
xomporkoburotu,সম্পৰ্কবোৰতো
promulyobudhot,প্ৰমূল্যবোধত
langmilir,লাংমিলিৰ
jiwotkoi,জীৱতকৈ
aahisila,আহিছিলা
xomik,সমিক
debogyan,দেৱজ্ঞান
torar,তৰাৰ
puwakhinike,পোৱাখিনিকে
obodharito,অৱধাৰিত
porzobekhyokxokol,পৰ্যবেক্ষকসকল
kabaitarit,কাবাইটাৰীত
pungkho,পুংখ
undertaking,আণ্ডাৰটেকিং
naure,নাওৰে
khogendronath,খগেন্দ্ৰনাথ
lekhyagaror,লেখ্যাগাৰৰ
stateot,ষ্টেটত
niukolonir,নিউকলনীৰ
sitrot,চিত্রত
imargensic,ইমাৰ্জেন্সিক
nidibi,নিদিবি
kushwa,কুশ্ব
osthirota,অস্থিৰতা
krixikormo,কৃষিকর্ম
bhedai,ভেদাই
xabodhanir,সাৱধানীৰ
rankingor,ৰেংকিঙৰ
bidexikhe,বিদেশীকহে
sengera,চেঙেৰা
kridonto,কৃদন্ত
foyol,ফয়ল
xongkhyau,সংখ্যাও
joleel,জলীল
ondhotai,অন্ধতাই
kondorot,কন্দৰত
dutukuraman,দুটুকুৰামান
jubokxokolu,যুৱকসকলো
dohubon,দহোবন
ekujonoloi,একোজনলৈ
eljaimar,এলজাইমাৰ
bathanot,বাথানত
lukjonoku,লোকজনকো
pritopolor,প্ৰীতপলৰ
solositromor,চলচ্চিত্ৰমৰ
lagoni,লাগনি
puchakbur,পোচাকবোৰ
uddhoton,উদ্ধতন
protisosobik,প্রতিচছবিক
nidrahinotar,নিদ্ৰাহীনতাৰ
xeikeitai,সেইকেইটাই
lekhikaxokolor,লেখিকাসকলৰ
protyaghat,প্ৰত্যাঘাত
esprin,এচপ্ৰিন
aaxonok,আসনক
udreg,উদ্রেগ
musarof,মোছাৰফ
gorhibor,গঢ়িবৰ
hectorman,হেক্টৰমান
komol,কমল
kabangor,কাবাঙৰ
fojol,ফজল
runa,ৰুণা
proityekor,প্রত্যেকৰ
sreelakshmi,শ্ৰীলক্ষ্মী
abhax,আভাষ
sarjeelor,চাৰ্জিলৰ
xongothontir,সংগঠনটিৰ
baburam,বাবুৰাম
xexotu,শেষতো
bisariboi,বিচাৰিবই
porhathe,পঢ়াতহে
bhoralu,ভঁৰালো
ohadi,অহাদি
xohojugitahe,সহযোগিতাহে
aapitur,আপিটোৰ
buddhindro,বুদ্ধীন্দ্ৰ
gorve,গৰ্ভে
gogoideu,গগৈদেউ
oximai,অসীমাই
aathxor,আঠশৰ
sabbas,চাববাছ
xorirtuloi,শৰীৰটোলৈ
dhokuwakhonak,ঢকুৱাখনাক
aamorir,আমৰিৰ
beparitu,বেপাৰীটো
bihunrityore,বিহুনৃত্যৰে
upotyaka,উপত্যাকা
guptabdor,গুপ্তাব্দৰ
natitu,নাতিটো
orhotabhukto,অর্হতাভুক্ত
porgona,পৰগণা
pehenoke,পেহেনকে
nrigen,নৃগেন
recordsor,ৰেকৰ্ডছৰ
lejaar,লেজাৰ
hose,হছে
opobadere,অপবাদেৰে
ekbrihot,একবৃহৎ
marileu,মাৰিলেও
debixokol,দেৱীসকল
xitahoron,সীতাহৰণ
mainpurit,মেইনপুৰীত
motinor,মতিনৰ
aarhitu,আর্হিটো
bohujone,বহুজনে
xotidak,সতীদাক
tumunge,তুমুঙে
xongkrantor,সংক্ৰান্তৰ
puronikalot,পুৰণিকালত
soritroxomuhok,চৰিত্রসমূহক
bhuguwar,ভোগোৱাৰ
xormma,শৰ্ম্মা
runumar,ৰুণুমাৰ
borwar,বৰৱাৰ
uposthitxomuh,উপস্থিতসমূহ
jugburor,যুগবোৰৰ
xoxangxoi,শশাংশই
diuwar,দিওৱাৰ
digholibarit,দীঘলীবাৰীত
xiddhipursthito,সিদ্ধিপুৰস্থিত
kolabez,কলাবেজ
aabhug,আভোগ
punornimanot,পুনৰ্নিমাণত
aatmoprokax,আত্মপ্রকাশ
tumot,টোমত
sahewalar,চাহেৱালাৰ
tulakoi,তোলাকৈ
xadirkhal,সাদিৰখাল
aapottixomuhor,আপত্তিসমূহৰ
walkhonot,ৱালখনত
poharot,পহাৰত
xikhyarthiku,শিক্ষার্থীকো
upoharor,উপহাৰৰ
sarighontajura,চাৰিঘণ্টাজোৰা
atmoxomorponor,আত্মসমৰ্পনৰ
podburot,পদবোৰত
budhor,বোধৰ
bodhiror,বধিৰৰ
uxringkholota,উশৃংখলতা
gunjori,গুঞ্জৰি
berkhon,বেৰখন
hiror,হিৰৰ
srisrihorimondiror,শ্রীশ্রীহৰিমন্দিৰৰ
waaku,ৱাকো
danpatror,দানপাত্রৰ
karzokaritai,কার্যকাৰিতাই
centerxomuhor,চেণ্টাৰসমূহৰ
jyotimoni,জ্যোতিমনি
tetra,টেট্ৰা
jubokkeijonor,যুৱককেইজনৰ
jerir,জেৰীৰ
hafington,হাফিংতন
pustikar,পুস্তিকাৰ
chemestry,কেমেষ্ট্রী
kochuwar,কচুৱাৰ
bhobisyotei,ভৱিষ্যতেই
moskorar,মস্কৰাৰ
argentine,আর্জেণ্টাইন
kegor,কেগৰ
onupranito,অনুপ্রাণিত
bonanchole,বনাঞ্চলে
abirbhawot,আৱিৰ্ভাৱত
tulatuwe,তোলাটোৱে
kerektar,কেৰেক্টাৰ
protyaxixokole,প্রত্যাশীসকলে
melbornor,মেলবৰ্ণৰ
tirthobhumi,তীর্থভূমি
modahir,মদাহীৰ
bomdilat,বমডিলাত
xorboxonmotikrome,সৰ্বসন্মতিক্রমে
xikhyoxokolorhe,শিক্ষসকলৰহে
borgitoke,বৰগীতকে
nojonkoi,নজনকৈ
altimatum,আল্টিমেটাম
ramaswamy,ৰামাস্বামী
porixonghoi,পৰিসংঘই
naainoloi,নাইনলৈ
dhorat,ধৰাত
opradexik,অপ্ৰাদেশিক
gitburor,গীতবোৰৰ
tikuwe,টিকুৱে
bhaxabilakor,ভাষাবিলাকৰ
ekpokhyiyo,একপক্ষীয়
kothasun,কথাচোন
sulen,চুলেন
doboli,দবলি
jangkhrithai,জাংখ্রিথাই
orunasolorpora,অৰুণাচলৰপৰা
kolajolot,কলাজলত
bindur,বিন্দুৰ
gosoka,গচকা
bagchi,বাগচি
metrokor,মেট্ৰকৰ
srinibaxonor,শ্রীনিবাসনৰ
xongbidhanik,সংবিধানিক
jodhemodhe,যধেমধে
aahede,আহেদে
montrodhwoni,মন্ত্ৰধ্বনি
upodestajone,উপদেষ্টাজনে
prodhanmontrirupe,প্ৰধানমন্ত্ৰীৰূপে
xunaritu,সোণাৰিতো
ifalor,ইফালৰ
krishnokumar,কৃষ্ণকুমাৰ
porikromatuwe,পৰিক্রমাটোৱে
dhongxokarik,ধ্বংসকাৰীক
nobohibo,নবহিব
khetit,খেতিত
punalu,পোনালোঁ
bodonot,বদনত
emajonor,এমাজনৰ
bogabor,বগাবৰ
thanhaulak,থানহাওলাক
jonaleheten,জনালেহেঁতেন
kostokorbhabe,কষ্টকৰভাৱে
motadorxo,মতাদৰ্শ
belotlaloi,বেলতলালৈ
durgutxowokoloi,দুৰ্গোৎসৱকলৈ
gonodhorxonor,গণধৰ্ষণৰ
bondukoti,বন্দুকটি
fulxing,ফুলসিং
knc,কেএনচি
dekajonor,ডেকাজনৰ
goristhota,গৰিষ্ঠতা
bhotte,ভট্টে
tamarair,তামাৰাইৰ
prarthitwok,প্ৰাৰ্থিত্বক
xoitendro,সৈতেন্দ্ৰ
jorar,জৰাৰ
bojak,বজাক
prostutei,প্ৰস্তুতেই
madhyakorxonik,মাধ্যাকৰ্ষণিক
swakhyorotar,স্বাক্ষৰতাৰ
sokabondho,চকাবন্ধ
dhaalor,ঢালৰ
pathoku,পাঠকো
monoloiu,মনলৈও
xohojegot,সহযেগত
hengarsworup,হেঙাৰস্বৰূপ
rajyikbhittik,ৰাজ্যিকভিত্তিক
horidwarot,হৰিদ্বাৰত
rojasworup,ৰজাস্বৰূপ
karzokarini,কাৰ্যকাৰিণী
jehirul,জেহিৰুল
kuramor,কোৰামৰ
xexbaror,শেষবাৰৰ
ghugadlongto,ঘোগাদলংত
bondhumoholor,বন্ধুমহলৰ
nibisariba,নিবিচাৰিবা
lengeri,লেঙেৰী
juwokhe,যুৱকহে
trendingot,ট্ৰেণ্ডিঙত
konamunakoi,কণামুনাকৈ
xoilyen,শৈল্যেন
doibyokrome,দৈৱ্যক্ৰমে
bogurihatir,বগুৰিহাটীৰ
kolagoto,কলাগত
kaniduworikoi,কাণিদুৱৰীকৈ
pukhranot,পোখৰাণত
nubulile,নুবুলিলে
sarjonjone,চাৰ্জনজনে
xundorrupot,সুন্দৰৰূপত
enti,এনটি
bohukal,বহুকাল
nyajyo,ন্যায্য
khondonor,খণ্ডনৰ
tolokotonu,তলকতনো
tatwikbhabe,তাত্ত্বিকভাৱে
lokipar,লকিপাৰ
matritwor,মাতৃত্বৰ
xongomostholiloi,সংগমস্থলীলৈ
pahoriye,পাহৰিয়ে
gohobore,গহবৰে
outpostot,আউটপোষ্টত
lorasuwalir,লৰাছোৱালীৰ
totwawodhak,তত্ত্বাৱধাক
daudaukoi,দাউদাউকৈ
bitorkou,বিতর্কও
bhogowanrupi,ভগৱানৰূপী
ekela,একেলা
dudonir,দুদনিৰ
murkhaji,মুৰ্খাজী
shrutak,শ্ৰোতাক
nobhowakoi,নভৱাকৈ
uparjonor,উপাৰ্জনৰ
ohetukbhabe,অহেতুকভাৱে
naamor,নামৰ
ghatbure,ঘাটবোৰে
kanpuror,কানপুৰৰ
portugalor,পর্তুগালৰ
titagurit,তিতাগুৰিত
neman,নেমান
bidyarthik,বিদ্যাৰ্থীক
kukaror,কুকাৰৰ
xibirkeitat,শিবিৰকেইটাত
beljiyamot,বেলজিয়ামত
rupoke,ৰূপকে
tarikholoike,তাৰিখলৈকে
naukhoni,নাওখনি
soukatut,চৌকাটোত
kolomor,কলমৰ
jakhili,জাখিলি
aakhorkhini,আখৰখিনি
kelorijukto,কেলৰিযুক্ত
antojatik,আন্তজাতিক
romoni,ৰমণী
jibobidhe,জীৱবিধে
preview,প্ৰিভিউ
jamuwal,জামোৱাল
verekoni,ভেৰেকনি
kalangxo,কালাংশ
matrivaxi,মাতৃভাষী
biswobidyaloiyot,বিশ্ববিদ্যালত
burhaloike,বুঢ়ালৈকে
panerir,পানেৰিৰ
xusolbhabe,সুচলভাৱে
lokiparor,লকিপাৰৰ
kurihat,কুৰিহাত
pujaxomuh,পূজাসমূহ
bolana,বলানা
xundorpurot,সুন্দৰপুৰত
gutote,গোটতে
guxaixokolor,গোঁসাইসকলৰ
hostogotokoron,হস্তগতকৰণ
puwaisil,পুৱাইছিল
internetor,ইন্টাৰনেটৰ
khadyou,খাদ্যও
upodolot,উপদলত
malyopon,মাল্যপন
gitore,গীতৰে
monjira,মঞ্জিৰা
soukhamsthito,চৌখামস্থিত
pakistanorpora,পাকিস্তানৰপৰা
stoburot,ষ্টবোৰত
kormoxongsthaponot,কর্মসংস্থাপনত
korben,করবেন
saporigaon,চাপৰিগাঁও
nijorai,নিজৰাই
nirlojjo,নিৰ্লজ্জ
diutaloi,দিওতালৈ
jeewanchorja,জীৱনচর্যা
nirdexonatu,নির্দেশনাটো
pmegp,পিএমইজিপি
eibaroloi,এইবাৰলৈ
suworor,চোঁৱৰৰ
poisar,পইছাৰ
quinor,কুইনৰ
oxomorhe,অসমৰহে
jaffrey,জাফ্ৰি
kelengkaritu,কেলেংকাৰীতো
priyangxuk,প্ৰিয়াংশুক
esarir,এচাৰিৰ
baliporat,বালিপৰাত
xongxadhonor,সংসাধনৰ
smartphone,স্মাৰ্টফোনে
kharif,খাৰিফ
xotrote,সত্ৰতে
humsistinor,হোমচিষ্টিনৰ
principale,প্ৰিন্সিপালে
gogona,গগনা
finalkhon,ফাইনেলখন
bohubaru,বহুবাৰো
kanchona,কাঞ্চনা
drishyoraji,দৃশ্যৰাজী
moitra,মৈত্ৰা
boleru,বলেৰো
dibosun,দিবচোন
aadyo,আদ্য
jahorar,জাহৰাৰ
boiplowikbhabe,বৈপ্লৱিকভাৱে
onischito,অনিশ্চিত
bhobisyothe,ভৱিষ্যতহে
dolonge,দলঙে
baskhonot,বাছখনত
karjyoxusit,কায্যসূচীত
jolvandar,জলভাণ্ডাৰ
matrixomaj,মাতৃসমাজ
lepetoktat,লেপেটকটাত
panihiloi,পানীহিলৈ
swarthor,স্বার্থৰ
proxarotei,প্ৰসাৰতেই
xonmilonike,সন্মিলনীকে
aasworjokorbhabe,আশ্বৰ্যকৰভাৱে
lesir,লেচীৰ
xirxonetai,শীর্ষনেতাই
manikjuri,মাণিকজুৰি
xadhokok,সাধকক
panimuror,পানীমুৰৰ
ognixakhyi,অগ্নিসাক্ষী
rajumoni,ৰাজুমণি
kemerune,কেমেৰুণে
interlocking,ইণ্টাৰলকিং
boxontokunjot,বসন্তকুঞ্জত
bahiniburor,বাহিনীবোৰৰ
hajipuror,হাজিপুৰৰ
xoike,সৈকে
bornovedor,বর্ণভেদৰ
kormoxalakhoni,কৰ্মশালাখনী
alahabadot,এলাহাবাদত
umot,উমত
bixorjon,বিসৰ্জন
korjokhyom,কৰ্যক্ষম
domestik,ডমেষ্টিক
tunikati,টুনিকাটি
duwarkhonot,দুৱাৰখনত
atmahuti,আত্মাহুতি
punabo,পোনাব
xunaniu,শুনানিও
protirokhyamulok,প্রতিৰক্ষামূলক
formulat,ফৰ্মুলাত
agendak,এজেণ্ডাক
prokolpobur,প্রকল্পবোৰ
thermometertu,থাৰ্মোমিটাৰটো
xoumyota,সৌম্যতা
bhinnoprantor,ভিন্নপ্ৰান্তৰ
protyaxa,প্রত্যাশা
tengabori,টেঙাবৰী
mukhofta,মুখফটা
timon,টিমন
odhyokhyoloi,অধ্যক্ষলৈ
banikona,বাণীকণা
festidisan,ফেষ্টিডিচান
garikhonxoho,গাড়ীখনসহ
telemeter,টেলিমিটাৰ
garisalokxokole,গাড়ীচালকসকলে
moranxoho,মৰাণসহ
ussaronei,উচচাৰণেই
omoya,অময়া
toporai,টপৰাই
kothaburor,কথাবোৰৰ
rongafalito,ৰঙাফালিত
dohobjat,দহবজাত
ottalikau,অট্টালিকাও
mohamuni,মহামুনি
bharotbyapi,ভাৰতব্যাপী
tiwariye,তিৱাৰীয়ে
bhabileheten,ভাবিলেহেঁতেন
punorxongsthapon,পুনৰসংস্থাপন
baganburor,বাগানবোৰৰ
buke,বুকে
fenkhone,ফেনখনে
bogau,বগাও
gonojuwe,গনজুৱে
borkakotiye,বৰকাকতিয়ে
mulyobriddhik,মূল্যবৃদ্ধিক
rajda,ৰাজদা
efdi,এফডি
clubere,ক্লাবেৰে
kafil,কফিল
proxikhyika,প্ৰশিক্ষিকা
mithyasarhe,মিথ্যাচাৰহে
moniruddin,মনিৰউদ্দিন
onontho,অনন্থ
anisile,আনিছিলে
bosorkal,বছৰকাল
oghotonot,অঘটনত
assistent,এচিষ্টেন্ট
nirgomonor,নির্গমনৰ
letest,লেটেষ্ট
xirunamotei,শিৰোনামতেই
bhuluk,ভুলুক
ghotaboloike,ঘটাবলৈকে
luwatuk,লোৱাটোক
bastobote,বাস্তৱতে
nilambor,নিলাম্বৰ
scriptkhon,স্ক্ৰিপ্টখন
rajsaxonor,ৰাজশাসনৰ
pollowihot,পল্লৱীহঁত
kens,কেন্স
matobobor,মাতববৰ
bokultolat,বকুলতলাত
mohouxodhrupe,মহৌষধৰূপে
soril,চৰিল
tempukhonot,টেম্পুখনত
hatdhuwa,হাতধোৱা
mondoptur,মণ্ডপটোৰ
fotohu,ফতহু
ondhobhoktoxokole,অন্ধভক্তসকলে
ojor,অজৰ
bhokbhokkoi,ভকভককৈ
nirbwason,নিৰ্ব্বাচন
dexbibhajonor,দেশবিভাজনৰ
tobukot,টবুকত
jikeitar,যিকেইটাৰ
durotwo,দূৰত্ব
xilpika,শিল্পীকা
xomajbudh,সমাজবোধ
xelai,সেলাই
garisalokjon,গাড়ীচালকজন
clippinge,ক্লিপিঙে
tiraxi,তিৰাশী
neinai,নেইনাই
xusok,সূচক
badhamukto,বাধামুক্ত
probadpurux,প্রবাদপুৰুষ
bohiskoronor,বহিস্কৰণৰ
