fusharun,फुशारुन
ovharkotachya,ओव्हरकोटाच्या
bhasharupe,भाषारूपे
vishvasasobat,विश्वासासोबत
kalpanesarkhich,कल्पनेसारखीच
rajyasthan,राज्यस्थान
champavati,चम्पावती
chitrapatsrushtitadekhil,चित्रपटसृष्टीतदेखील
wilderla,विल्डरला
pradushanpurak,प्रदूषणपूरक
bollywoodpasun,बॉलिवुडपासून
tanavatoon,ताणावातून
bahinikadil,बहिणीकडील
sadarikarane,सादरीकरणे
sanskrutyanchi,संस्कृत्यांची
gianluca,गियानलुका
californiasarkhe,कॅलिफोर्नियासारखे
gruhsankulancha,गृहसंकुलांचा
vaparkaroo,वापरकरू
mukkadas,मुक्कदस
sahkaryansathi,सहकार्यांसाठी
apilnusar,अपीलनुसार
shekhuchya,शेखूच्या
bhiryatil,भिऱ्यातील
jejurikaranni,जेजुरीकरांनी
bellary,बेळ्ळारी
kalavadhila,कालावधीला
khadayak,खदायक
patrihi,पत्रीही
signalkade,सिग्नलकडे
sarjakta,सर्जकता
mawaskar,मावस्कर
gichgichit,गिचगिचित
pakshakaransobat,पक्षकारांसोबत
hemalia,हेमालिया
swarnachya,स्वर्णच्या
hanumananagar,हनुमाननगर
phulgobi,फुलगोबी
dvipasamuhatil,द्विपसमूहातील
ekpakshi,एकपक्षी
chandravar,चंद्रवर
tharvanyapasun,ठरवण्यापासून
olympiyad,ऑलिम्पियाड
narine,नारायन
peshavaipramane,पेशवाईप्रमाणे
gondh,गोंध
humpback,हंपबॅक
bharveet,भरवीत
khatalyantargat,खटल्यांतर्गत
virkar,वीरकर
ladhainmadhye,लढाईंमध्ये
ghatanakramavirodhat,घटनाक्रमाविरोधात
zinge,झिंगे
yachyanvarhi,याच्यांवरही
chithvalyacha,चिथवल्याचा
vetorilach,व्हेटोरीलाच
photographaravaril,फोटोग्राफरवरील
kuthunanahi,कुठूननही
vajavanyache,वाजवण्याचे
todgyacha,तोडग्याचा
kudalayya,कुडालय्या
gandhijine,गांधीजीने
sarune,सरूने
chandrayanane,चांद्रयानने
aamarsatahi,आमरसातही
gundanchya,गुंडांच्या
pinkett,पिंकेट
jango,जंगो
vitthalbhaktamule,विठ्ठलभक्तामुळे
kasavanpaiki,कासवांपैकी
deshinni,देशींनी
francemadhun,फ्रान्समधून
norovirus,नोरोव्हायरस
tukdyanpramane,तुकड्यांप्रमाणे
prantanna,प्रांतांना
dettingsarkhya,डेटिंगसारख्या
swatacha,स्वतचा
sarasvatibainna,सरस्वतीबाईंना
bhanudaschi,भानुदासची
belchila,बेलचीला
invitational,इन्व्हिटेशनल
avtardharnahi,अवतारधारणाही
thalipithavar,थालीपीठावर
yojiti,योजिती
glycated,ग्लायकेटेड
halalelee,हाललेली
hutatmyambaddal,हुतात्म्यांबद्दल
ghungrusingh,घुंगरुसिंग
vidyutbharachi,विद्युतभाराची
nogang,नोगांग
labhakshetrak,लाभक्षेत्रक
mohalatil,मोहळातील
chaui,चौई
poultry,पोल्ट्री
gruhayuddhavar,गृहयुद्धावर
bdsmchya,बीडीएसएमच्या
ghatanasthalachi,घटनास्थळाची
parinamans,परिणामांस
gopewad,गोपेवाड
sandhyemadhye,संध्येमध्ये
namanatil,नमनातील
hindutvache,हिंदूत्वाचे
eksanghpanamule,एकसंघपणामुळे
kalisuddha,काळीसुद्धा
agnibanachi,अग्निबाणाची
baithakiy,बैठकीय
opportunity,ऑपॉरच्युनिटी
khatatopanantarhi,खटाटोपानंतरही
bhowarichiwadi,भोवरीचीवाडी
purushasarkhe,पुरुषासारखे
relvemargamule,रेल्वेमार्गामुळे
partyanpasunahi,पार्ट्यांपासूनही
pratapenkarun,प्रतापेंकरून
bhagankarita,भागांकरिता
godhana,गोधना
demographer,डेमोग्राफर
sukhsuvidhanvar,सुखसुविधांवर
erarla,एरारला
ammankudi,अम्मनकुडी
bidavaril,बिळावरील
kangorigad,कांगोरीगड
scrappage,स्क्रॅपेज
nighuyat,निघुयात
naikwadenchya,नाईकवाडेंच्या
minimise,मिनिमाइझ
murtijapurmadhye,मुर्तिजापूरमध्ये
narayanbhattas,नारायणभट्टास
devataranganchi,देवतरंगांची
prakalpavirodhatahi,प्रकल्पाविरोधातही
vyavasthesarkhe,व्यवस्थेसारखे
ghadvilyavar,घडविल्यावर
shastrijinshi,शास्त्रीजींशी
zarivinayakache,झरीविनायकाचे
sthankabaddal,स्थानकाबद्दल
condensat,कंडेन्सॅट
leftanantapadachi,लेफ्टनंटपदाची
zugarel,झुगारेल
kraypatra,क्रयपत्र
jattewadi,जट्टेवाडी
laluprasadankade,लालूप्रसादांकडे
lakhat,लाखात
alpavadhitil,अल्पावधीतील
gamavalyachi,गमावल्याची
navopakramacha,नवोपक्रमाचा
gaikadoon,गाईकडून
prathanemadhye,प्रार्थनेमध्ये
sohirobnath,सोहिरोबनाथ
tundla,टुंडला
fylip,फिलिप
gayakani,गायकानी
royalsaviruddhachya,रॉयल्सविरुद्धच्या
sagitalyavar,सागीतल्यावर
swarajyala,स्वराज्यला
atakahi,अटकही
mahagyukt,महागयुक्त
casalrockjaval,कॅसलरॉकजवळ
agnipuranant,अग्निपुराणांत
maakhlelya,माखलेल्या
dharavimadhyehi,धारावीमध्येही
alyanprakarani,अळ्यांप्रकरणी
aarthikdrashtayadekheel,आर्थिकदृष्टयादेखील
veshtanacha,वेष्टनाचा
bhagyanagarchya,भाग्यनगरच्या
lingopantanchya,लिंगोपंतांच्या
navlaukis,नावलौकिस
irwig,इर्विंग
ruijchya,रुइजच्या
latitudes,लॅटीट्यूड्स
wanganpada,वांगणपाडा
anuchhedat,अनुच्छेदात
ghotalyanmulehi,घोटाळ्यांमुळेही
taikwandoche,ताइक्वांडोचे
chitrapur,चित्रापूर
wanedkar,वानेडकर
tivkanyasathi,टिवकण्यासाठी
ichchinaryans,इच्छिणाऱ्यांस
harivar,हरीवर
oriyeent,ओरियेंट
abudabhi,अबुदाभि
vruttinidarshak,वृत्तीनिदर्शक
kondabadi,कोंदाबाडी
filmmekingkade,फिल्ममेकिंगकडे
nanasahebanchahi,नानासाहेबांचाही
interarilation,इंटररिलेशन
mitasathi,मितासाठी
samitiveli,समितीवेळी
chukvinaryanvar,चुकविणाऱ्यांवर
vruddhalok,वृद्धलोक
kumakvadhavanyachi,कुमकवाढवण्याची
arthsanstha,अर्थसंस्था
matties,मॅटीज
jalgangene,जलगंगेने
karanesuddha,कारणेसुद्धा
janaandolak,जनआंदोलक
bhaujinna,भाऊजींना
partyanpaiki,पार्ट्यांपैकी
hurisane,हुरिसाने
muranyat,मुरण्यात
salan,सलून
sumbhache,सुंभाचे
khairach,खैरच
kartrutvacha,कर्तृत्त्वाचा
bedcrums,बेडक्रम्स
sankalpanan,संकल्पनां
tayarikarita,तयारीकरीता
pittanlikant,पित्तनलिकांत
vishuv,विषुव
aakalanshaktichya,आकलनशक्तीच्या
patlansobatch,पाटलांसोबतच
datdukhivarhi,दातदुखीवरही
avadhu,अवधू
upayuktatevar,उपयुक्ततेवर
suchavilyapramane,सुचविल्यप्रमाणे
latkavanare,लटकवणारे
samarambhasthalakade,समारंभस्थळाकडे
germanynech,जर्मनीनेच
ninde,निंदे
blacing,ब्लेसिंग
karanyamadhye,करण्यामध्ये
magaschich,मगासचीच
nivadanadekhil,निवडणदेखील
dnyankhand,ज्ञानखंड
tulle,तुल्ले
pritampura,प्रितमपुरा
yalasuddha,यालासुद्धा
jalshree,जलश्री
karpya,करप्या
adalatimadhil,अदालतीमधील
premiche,प्रेमीचे
samosamadhye,समोसामध्ये
kadhaychans,काढायचंस
physicist,फिजिसिस्ट
vitalalele,वितळलेले
kondal,कोंडल
dupiaza,दुपियाझा
sanghatnesah,संघटनेसह
vadhanyache,वाढण्याचे
nalesafaisathi,नालेसफाईसाठी
dakshineshwarla,दक्षिणेश्वरला
hetunkarata,हेतूंकरता
upalkar,उपलकर
machchimaryanchi,मच्छीमाऱ्यांची
mayamarathishi,मायमराठीशी
punaravlokananmadhye,पुनरावलोकनांमध्ये
kavyarang,काव्यरंग
dedipyamanach,देदीप्यमानच
yogeshwarne,योगेश्वरने
jivansathibaddal,जीवनसाथीबद्दल
ghatnenant,घटनेनंत
retingkadoon,रेटिंगकडून
chandrabhagetiri,चंद्रभागेतिरी
bolshevikvad,बोल्शेविकवाद
dashakanpurvichya,दशकांपूर्वीच्या
rahasmayamay,रहस्मयमय
panchopacharanni,पंचोपचारांनी
tochalech,टोचलेच
matpranali,मतप्रणाली
samudkinaryala,समुदकिनाऱ्याला
gondhalale,गोंधळले
suttikaranna,सुट्टीकरांना
murkule,मुरकुळे
sukhantacha,सुखांताचा
pithalya,पिठल्या
yapramanench,याप्रमाणेंच
sushikshitanchahi,सुशिक्षीतांचाही
decending,डिसेंडिंग
befikirji,बेफिकिरजी
bichhadna,बिछडना
darushivay,दारूशिवाय
takkarchi,टक्करची
tahaste,तहस्ते
talkokanant,तळकोकणांत
meemcha,मीमचा
pantpradhananpeksha,पंतप्रधानांपेक्षा
giarohak,गियारोहक
sirinbagh,सिरीनबाग
disujasobat,डिसूजासोबत
lezmicha,लेझमीचा
vaghinisarkhi,वाघिणीसारखी
abhyasanpaiki,अभ्यासांपैकी
everestvar,एवरेस्टवर
vidanchkar,विदांचकार
kalamandir,कलामंदिर
sakurli,साकुर्ली
bhagidaranvishayi,भागीदारांविषयी
punyashilaji,पुण्यशीलाजी
meenapur,मीनापुर
ichchukach,इच्छुकच
survenumberchi,सर्व्हेनंबरची
agatikpane,अगतिकपणे
kapanimadhye,कापणीमध्ये
karyakshamatesah,कार्यक्षमतेसह
kacharapetimadhyech,कचरापेटीमध्येच
madhyej,मध्येज
ransingwadit,रणसिंगवाडीत
sahbhagitene,सहभागीतेने
umge,उमगे
karbad,करबड
bedhekar,बेढेकर
guhejavalil,गुहेजवळील
freezmadhye,फ्रीझमध्ये
rajkarnyasathi,राजकारण्यासाठी
bauddhbhikshoopeksha,बौद्धभिक्षूपेक्षा
skyfit,स्कायफिट
mahattvavar,महत्त्वावर
jaalalee,जाळली
bhautikshastrancha,भौतिकशास्त्रांचा
usalimadhye,उसळीमध्ये
jayshriche,जयश्रीचे
ekvisashe,एकविसशे
ramajicha,रामाजीचा
rashtrakulmule,राष्ट्रकुलमुळे
chhapemarichi,छापेमारीची
alamenchi,अलामेनची
apaghatavarun,अपघातावरून
provancemadhye,प्रोव्हन्समध्ये
harijanansathi,हरिजनांसाठी
shuddhatevar,शुद्धतेवर
kamataratanchya,कमतरतांच्या
soniyancha,सोनियांचा
parasparanni,परस्परांनी
lakhatil,लाखातील
samudrasap,समुद्रसाप
kuliche,कुलीचे
kulmukhatyarpatracha,कुलमुखत्यारपत्राचा
divyadivyanni,दिव्यादिव्यांनी
ullekhanni,उल्लेखांनी
sharyatala,शर्याताला
vyaparatmak,व्यापारात्मक
hayvelgatchya,हायवेलगतच्या
radhaswami,राधास्वामी
nidhnanantar,निधनानंतर
bapardekaranchya,बापर्डेकरांच्या
uuralela,ऊरलेला
padadhikaryana,पदाधिकाऱ्याना
nasikasdrush,नासिकासदृश
rugnasevebarobar,रुग्णसेवेबरोबर
havenantar,हवेनंतर
mutationvishayi,म्यूटेशनविषयी
dostani,दोस्तानी
biip,बीप
kuravadya,कुरवड्या
hairband,हेअरबॅन्ड
satyavvala,सत्यव्वाला
babysitorchi,बेबीसीटरची
nandurikade,नांदुरीकडे
sangvila,सांगवीला
upkarnannusar,उपकरणांनुसार
kalange,कलांगे
gadkilyanchya,गडकिल्यांच्या
buchkabhar,बुचकाभर
marganmadhil,मार्गांमधील
mahilanril,महिलांरील
tatalya,ताटल्या
yachikartyanna,याचिकार्त्यांना
zarkhandmadhye,झारखंडमध्ये
mutsadyachi,मुत्सद्याची
shelibajar,शेळीबाजार
firkalas,फिरकलास
dangalivarahi,दंगलीवरही
hydroelectric,हायड्रोएलेक्ट्रीक
kobayashi,कोबायाशी
nirashachi,निराशाची
methination,मेथिनेशन
asifchya,असिफच्या
sheravgar,शेरवगार
bhadakabe,भडकबे
pravidave,प्रविदावे
nehmeechach,नेहमीचच
barnawala,बरनावाला
mahaprasadas,महाप्रसादास
garbhagruhasamoril,गर्भगृहासमोरील
gurutvakarshaniy,गुरुत्वाकर्षणीय
yuddhanitivaril,युद्धनीतीवरील
pramanikpanacha,प्रमाणिकपणाचा
mutravikaranche,मूत्रविकारांचे
todanari,तोडणारी
nostrademus,नॉस्ट्राडेमस
kosoge,कोसोगे
batameey,बातमीय
praveshbandila,प्रवेशबंदीला
pranishastracha,प्राणिशास्त्राचा
shalemadhyesuddha,शाळेमध्येसुद्धा
muktidinapurvi,मुक्तीदिनापूर्वी
varshansatha,वर्षांसाठा
madhumehagrastanna,मधुमेहग्रस्तांना
ekvar,एकवर
utaravanyaadhi,उतरवण्याआधी
tekdiwadi,टेकडीवाडी
balkantil,बालकांतील
shikshanababatcha,शिक्षणाबाबतचा
jachavirodhat,जाचाविरोधात
kaloghat,कालोघात
aditipramane,अदितीप्रमाणे
shaktinadiche,शक्तीनाडीचे
dharmarajakade,धर्मराजाकडे
jatidharmanmadhil,जातीधर्मांमधील
kangvyavar,कंगव्यावर
plotmadhe,प्लॉटमधे
sarkarbarobarchya,सरकारबरोबरच्या
vruttapantram,वृत्तपंत्रं
koshimbirchi,कोशिंबीरची
footbalvishwatun,फुटबॉलविश्वातून
swapnavasthetach,स्वप्नावस्थेतच
tadakte,तडकते
maddevadhidev,मद्देवाधिदेव
terkhedkar,तेरखेडकर
rajsthanchahi,राजस्थानचाही
kamitilahi,कमिटीलाही
ekantpanamule,एकांतपणामुळे
adavanyaparyant,अडवण्यापर्यंत
pimpalparavaril,पिंपळपारावरील
kaljesah,काळजेसह
sanghanaik,संघानाईक
paryatananagaritil,पर्यटननगरीतील
transition,ट्रान्झिशन
malkhede,मालखेडे
sampavilyavar,संपविल्यावर
universitychya,यूनिव्हर्सिटीच्या
brahmasamadhan,ब्रह्मसमाधान
kharedipeksha,खरेदीपेक्षा
barboza,बार्बोझा
vidyarthinesobat,विद्यार्थिनेसोबत
ujanitach,उजनीतच
programmerchya,प्रोग्रॅमरच्या
vahanyanche,वाहन्यांचे
dabholjavalil,दाभोळजवळील
milakatimadhun,मिळकतीमधून
chinyane,चिन्याने
bhoomisampadanachi,भूमिसंपादनाची
reshimagathichi,रेशिमगाठीची
tavangavar,तवंगावर
kullyala,कुल्ल्याला
josefpramane,जोसेफप्रमाणे
validitychya,व्हॅलिडिटीच्या
uchchavargiyanmadhye,उच्चवर्गीयांमध्ये
rugnalayanchach,रुग्णालयांचाच
faisalne,फैसलने
hetkari,हेटकरी
jhalyachansuddha,झाल्याचंसुद्धा
shambharkrosh,शंभरक्रोश
vipini,विपिनी
mopasah,मोपासह
tambekarne,तांबेकरने
safaiprashni,सफाईप्रश्नी
kontavetvar,कोंटावेटवर
chudidarach,चुडीदारच
chirun,चिरून
striyankar,स्त्रियांकर
praveena,प्रवीणा
fedorawa,फेडोरावा
mulanpeksha,मुलांपेक्षा
gajendrachi,गजेंद्रची
dharmiyanpaiki,धर्मीयांपैकी
ency,एन्सी
mrugdeep,मृगदीप
mashidibaddalachya,मशिदीबद्दलच्या
yogeshwarchi,योगेश्वरची
unhyalyala,उन्ह्याळ्याला
nilikh,निलिख
varshaahoon,वर्षाहून
vajanvadhicha,वजनवाढीचा
helalia,हेलालिया
disnyaitke,दिसण्याइतके
saranishi,सारणीशी
sahastrakund,सहस्त्रकुंड
campensdwara,कॅम्पेन्सद्वारा
vyavharanmulech,व्यवहारांमुळेच
kajalbhai,काजलभाई
nyaymurtinna,न्यायमुर्तींना
bagwanali,बागवानाली
shingadayacha,शिंगाडयाचा
fitanare,फिटणारे
shylo,शायलो
tankachya,टंकाच्या
hitasanrakshanala,हितसंरक्षणाला
renukamateche,रेणुकामातेचे
granthasampada,ग्रंथसंपदा
markspasoon,मार्क्सपासून
mukhyamantryapadachi,मुख्यमंत्र्यापदाची
khandateel,खंडातील
ansarcha,अन्सारचा
asanyababat,असण्याबाबत
tipradarshanane,तिप्रदर्शनाने
purushavishayak,पुरूषविषयक
jalvayumule,जलवायूमुळे
preterche,प्रिटरचे
subhankhan,सुभानखान
parameshware,परमेश्वरे
shabdambaddalache,शब्दांबद्दलचे
madhyamikottar,माध्यमिकोत्तर
pranarpanahi,प्राणार्पणही
kingslayer,किंगस्लेयर
hyavarshat,ह्यावर्षात
fortroadvaril,फोर्टरोडवरील
jagarasathi,जागरासाठी
effectsla,इफेक्ट्सला
sensual,सेन्शुअल
jagannathan,जगन्नाथन
pohachatech,पोहचतेच
adchaninpayi,अडचणींपायी
kothirichya,कोठीरीच्या
rovalyacha,रोवल्याचा
basolit,बसोलीत
suvarnajallosh,सुवर्णजल्लोष
arthanishpattiche,अर्थनिष्पत्तीचे
jamenashi,जमेनाशी
babeet,बाबीत
resultchya,रिझल्टच्या
sangramani,संग्रामनी
mahitisangrah,माहितीसंग्रह
amitabhapramane,अमिताभप्रमाणे
dukandarkade,दुकानदारकडे
nemayalach,नेमायलाच
farshyanvar,फरश्यांवर
nandoskaranni,नांदोस्करांनी
aramkokadun,अरामकोकडून
kilreskar,किलरेस्कर
rudrachya,रुद्राच्या
heynard,हेनार्ड
lavandene,लवंडेने
thanasak,थानासाक
khalvinyat,खळविण्यात
dhoranambabatchi,धोरणांबाबतची
gadapanache,गडपणाचे
shadley,शॅडली
puravanara,पुरवणारा
adhiveshanatsuddha,अधिवेशनातसुद्धा
jabadyatil,जबड्यातील
vilgikaranachi,विलगीकरणाची
rupaheen,रूपहीन
dirangaichya,दिरंगाईच्या
bharatyukt,भारतयुक्त
rashtrapadipadasathi,राष्ट्रपदीपदासाठी
netravatila,नेत्रावतीला
jalarangancha,जलरंगांचा
nagarisuvidhanvar,नागरीसुविधांवर
bujurgansathi,बुजुर्गांसाठी
urugvenantar,उरुग्वेनंतर
cardiothoracic,कार्डिओथोरेसिक
mutravahinidware,मूत्रवाहिनीद्वारे
uddishtala,उद्दिष्टाला
bhayavar,भयावर
dhaddhadanari,धडधडणारी
dudhya,दुध्या
ghatdurusti,घाटदुरूस्ती
gatasathi,गटासाठी
vimuktaye,विमुक्तये
chetalele,चेतलेले
portraitswar,पोर्ट्रेट्सवर
purvapar,पुर्वापार
prasarmadhyamansamorach,प्रसारमाध्यमांसमोरच
titakse,तितकसे
aayaramanvar,आयारामांवर
aavruttivar,आवृत्तीवर
aathvanimbhovati,आठवणींभोवती
asprushyates,अस्पृश्यतेस
sphurtitun,स्फूर्तीतून
haukin,हॉकिन
regimentanmadhye,रेजिमेंटांमध्ये
thomaz,थॉमाझ
panjabit,पंजाबीत
karajanagi,काराजनगी
agralekhamule,अग्रलेखामुळे
marnyaitaki,मारण्याइतकी
suvidhamadhun,सुविधामधून
vidvanambaddal,विद्वानांबद्दल
devaniche,देवणीचे
chanchari,चांचरी
manekajinnich,मनेकाजींनीच
pohar,पोहर
karjatoon,कर्जातून
tyantalyatyant,त्यांतल्यात्यांत
hardevsinhji,हरदेवसिंहजी
sakshidarachi,साक्षीदाराची
rubin,रूबिन
jayanna,जयांना
arkatcha,अर्काटचा
sanganyasah,सांगण्यासह
samasyebabatchi,समस्येबाबतची
gopalganjmadhil,गोपालगंजमधील
narsimhavtar,नरसिंहावतार
serenasobat,सेरेनासोबत
barcylonakadunchi,बार्सिलोनाकडूनची
mukarmabad,मुकरमाबाद
kujbujaychi,कुजबुजायची
ultraviolette,अल्ट्राव्हायोलेट
varmanla,वर्मनला
mangaldayak,मंगलदायक
doghimbabat,दोघींबाबत
clisht,क्लिश्ट
lasurkar,लासूरकर
uktinpramane,उक्तींप्रमाणे
sansargbadhit,संसर्गबाधित
tarunansathicha,तरुणांसाठीचा
hisarmadhalya,हिसारमधल्या
jalkundanchya,जलकुंडांच्या
jhalelyanantar,झालेल्यानंतर
spondylitis,स्पॉंडिलायटिस
bcock,ब्कॉक
divyapeksha,दिव्यापेक्षा
patnibabatahi,पत्नीबाबतही
setanvarhi,सेतांवरही
gargekakunni,गार्गेकाकूंनी
mangadvarpathopath,मंगळवारपाठोपाठ
tekadacha,टेकाडाचा
rajyaghatanevaril,राज्यघटनेवरील
narine,नरेनने
sankalpanebarobarach,संकल्पनेबरोबरच
rajsahebanchyavar,राजसाहेबांच्यावर
kamalahasan,कमलहसन
bhedbhavachya,भेदभावाच्या
asahishnutahi,असहिष्णुताही
nagarsevakanpaiki,नगरसेवकांपैकी
gorjeshwarachya,गोरजेश्वराच्या
kongresjan,काँग्रेसजन
chandrakumari,चंद्रकुमारी
vanaspatinshivay,वनस्पतींशिवाय
algudekar,अलगुडेकर
formality,फॉर्मेलिटी
lizvar,लिझवर
gundekar,गुंडेकर
mastaranmadhil,मास्टरांमधील
sehmatchya,सेहमतच्या
ashantatekadun,अशांततेकडून
mamadhye,ममध्ये
pasantahi,पसंतही
bilavarunach,बिलावरूनच
ahobhagya,अहोभाग्य
yakshakatha,यक्षकथा
badalansambandhichi,बदलांसंबंधीची
goshtisamor,गोष्टीसमोर
kolalen,कोललें
sumalyacho,सुमल्याचो
vyajdarabarobarach,व्याजदराबरोबरच
bhabe,भाबे
aashvasananshi,आश्वासनांशी
pararashtrakhatyane,परराष्ट्रखात्याने
purvayushya,पूर्वायुष्य
ramodia,रामोडिया
shekave,शेकावे
natekarne,नाटेकरने
vedche,वेदचे
deshadeshanmadhil,देशादेशांमधील
tapasalya,तपासल्या
dadagirine,दादागिरीने
samanyapane,सामान्यपणे
bhivandimadhalya,भिवंडीमधल्या
shenganchehi,शेंगांचेही
chikanachya,चिकनाच्या
vicharavatancha,विचारवतांचा
paryavarantadnyancha,पर्यावरणतज्ञांचा
shamarav,शामराव
prasarmadhyamanchi,प्रसारमाध्यमांची
durani,दुराणी
bibhutibhushan,बिभूतिभूषण
jamvoonahi,जमवूनही
daivatmashraye,दैवतमाश्रये
nesses,नेसेस
bhusampadanavishayi,भुसंपादनाविषयी
dhanoa,धनोआही
prashasansuddha,प्रशासनसुध्दा
kodaji,कोडाजी
khobrepak,खोबरेपाक
shariyavar,शरीयावर
sahityatun,साहित्यातून
jansamudrachya,जनसमुद्राच्या
nesarikaranchya,नेसरीकरांच्या
chennainchya,चेन्नईनच्या
jaldushtijanya,जलदुष्टीजन्य
upasoochanetil,उपसूचनेतील
baithakya,बैठक्या
darvajababat,दरवाजाबाबत
mishalsarkhich,मिशालसारखीच
shasakannahi,शासकांनाही
aaravalikar,आरवलीकर
madhyamantunach,माध्यमांतूनच
killyamagchya,किल्ल्यामागच्या
hadapanyachya,हडपण्याच्या
kashimira,काशीमीरा
shireleetala,शिरेलीतला
samupadeshakach,समुपदेशकच
havoo,हावू
nagarsevkachihi,नगरसेवकाचीही
khambansarkhe,खांबांसारखे
kalpanenach,कल्पनेनच
drushyatdekhil,दृश्यातदेखील
muddetilari,मुद्देतिलारी
gogalgayachya,गोगलगायच्या
kalakalimule,कळकळीमुळे
pradeshne,प्रदेशने
lakhocha,लाखोचा
swarsyane,स्वारस्याने
majalyamule,मजल्यामुळे
nisargasaundaryacham,निसर्गसौंदर्याचं
kumarikela,कुमारीकेला
recordings,रेकॉर्डिंग्ज
sosava,सोसवा
visera,विसेरा
panktichya,पंक्तीच्या
pendhyanpasun,पेंढ्यांपासून
amingad,अमीनगड
ginavaya,गिनवाया
plotsambandhi,प्लॉटसंबंधी
bazarmadhil,बझारमधील
sangrahapasun,संग्रहापासून
dhopatanyas,धोपटण्यास
aamlapana,आम्लपणा
rajyabhishekdini,राज्याभिषेकदिनी
akshayatrutiyenantar,अक्षयतृतीयेनंतर
chirdis,चिरडीस
nalyakadela,नाल्याकडेला
anantaroopi,अनंतरूपी
tiswarupat,तीस्वरूपात
khachalepan,खचलेपण
reino,रेइनो
hessel,हेसल
nandvel,नांदवेल
bhajun,भजून
aamdaranvaril,आमदारांवरील
jatiyavadich,जातीयवादीच
bhavishyavishayichya,भविष्याविषयीच्या
mauritney,मॉरिटने
sudhakarkade,सुधाकरकडे
bhagvave,भागवावे
ghaditil,घडीतील
shunyatechya,शून्यतेच्या
vishvotpattichya,विश्वोत्पत्तीच्या
trendscha,ट्रेंड्सचा
teacherche,टिचरचे
jyotik,ज्योतिक
indigomadhil,इंडिगोमधील
kuldevicha,कुलदेवीचा
mulyanver,मूल्यांवर
shatakbharapurvicha,शतकभरापूर्वीचा
maldivanantar,मालदीवनंतर
havnanantar,हवनानंतर
jivitahanicha,जिवीतहानीचा
chuktayat,चुकतायत
pavananadichya,पवनानदीच्या
chilhas,चिल्हास
sarsamsah,सरसमसह
kamathipuryatalya,कामाठीपुऱ्यातल्या
nangles,नांगल्स
vahinyanche,वाहिण्यांचे
atiya,अतिया
ghasaralelech,घसरलेलेच
kamatarach,कमतरच
gunhyasarkhi,गुन्ह्यासारखी
herode,हेरोडे
jamshedjinche,जमशेदजींचे
deegdarshan,दिग्दर्शन
matsyapalanavar,मत्स्यपालनावर
shrikhandach,श्रीखंडच
muhammadane,मुहम्मदाने
rachayach,रचायच
officemadhyech,ऑफीसमध्येच
deshdrohyanvarhi,देशद्रोह्यांवरही
chinchvadkaranchya,चिंचवडकरांच्या
malakangiri,मलकनगिरी
shankhanadanantar,शंखनादानंतर
chaukashyanchi,चौकश्यांची
janalokpalsarkha,जनलोकपालसारखा
pingulit,पिंगुळीत
dighechya,दिघेच्या
thigalacha,ठिगळाचा
sahishnutevaril,सहिष्णुतेवरील
hanumantgad,हनुमंतगड
hotmixing,हॉटमिक्सिंगचे
krayavastunche,क्रयवस्तूंचे
dujera,दुजेरा
vefarachya,वेफरच्या
ozuchya,ओझूच्या
dyspinia,डिस्पिनिया
aashvinatil,आश्विनातील
swatantryavirancha,स्वातंत्र्यवीरांचा
vardhishnu,वर्धिष्णु
efzedchya,एफझेडच्या
phoenixne,फिनिक्सने
chhotach,छोटच
indjit,इंदजीत
swikrutit,स्वीकृतीत
nivadanukanantarchya,निवडणुकांनंतरच्या
samudram,समुद्रम
gheralyane,घेरल्याने
yogashikshikach,योगशिक्षिकाच
sahabhinetyasobat,सहअभिनेत्यासोबत
badhatil,बाधतील
nirminar,निर्मिणार
vastavyasambandhi,वास्तव्यासंबंधी
sushantvar,सुशांतवर
lakewood,लेकवुड
sanvardhanacha,संवर्धनाचा
nagaradhyakshapadasathi,नगराध्यक्षपदासाठी
latanmage,लाटांमागे
itihasadarmyan,इतिहासादरम्यान
rolapadu,रोलापाडू
hajarannantar,हजारांनंतर
saniasobat,सानियासोबत
yesji,येसजी
marlekar,मार्लेकर
pashunsarkhe,पशूंसारखे
dahashatvadasambandhit,दहशतवादासंबंधित
mahinyamadhil,महिन्यामधील
vavloli,वावलोली
rajyasansthevaril,राज्यसंस्थेवरील
tyatarunichi,त्यातरुणीची
mitramandalikade,मित्रमंडळीकडे
khopaditoon,खोपडीतून
flipkartchihi,फ्लिपकार्टचीही
thagache,ठगाचे
udavanarach,उडवणारच
chaityabhumivar,चैत्यभूमीवर
anantarrashtriya,आनंतरराष्ट्रीय
dijalachya,डीजलच्या
eidgahchya,ईदगाहच्या
internela,इंटरनेला
mangsulichi,मंगसुळीची
kilkilesathi,किलकिलेसाठी
bakavarun,बाकावरून
sarkarbarobach,सरकारबरोबच
paryavaranik,पर्यावरणिक
kambarvar,कंबरवर
naivaiday,नैवैदय
rokhanyalahi,रोखण्यालाही
virappanchehi,विरप्पनचेही
vimanasarkhe,विमानासारखे
shripadbhaunchya,श्रीपादभाऊंच्या
mandtos,मांडतोस
bhaygrast,भयग्रस्त
saterichya,सातेरीच्या
kevadyachya,केवड्याच्या
darvajandware,दरवाजांद्वारे
devasthalyanni,देवस्थळ्यांनी
shastramanya,शास्त्रमान्य
brahmatej,ब्राह्मतेज
fayadhyanni,फायद्यांनी
